date,dynamic,eq_rolling,eq_hold
2021-08-06,99.900000,99.900000,99.900000
2021-08-13,119.648069,119.648069,119.648069
2021-08-20,129.340305,129.340305,129.340305
2021-08-27,134.192161,134.192161,134.192161
2021-09-03,151.163032,151.178447,151.178447
2021-09-10,140.879781,142.158492,142.158492
2021-09-17,156.228743,161.288063,161.288063
2021-09-24,137.639404,142.879176,142.879176
2021-10-01,145.801486,150.341252,150.341252
2021-10-08,155.911529,161.269223,161.303351
2021-10-15,168.112503,173.933825,167.756724
2021-10-22,170.846962,176.666731,171.753970
2021-10-29,183.986755,188.927265,221.901952
2021-11-05,205.512816,211.660642,242.960240
2021-11-12,214.960906,222.646879,244.706825
2021-11-19,210.580995,218.994479,242.784539
2021-11-26,217.027214,221.568745,253.298579
2021-12-03,212.732910,209.579664,244.979930
2021-12-10,167.692974,168.173112,193.837693
2021-12-17,167.308916,166.794736,194.605830
2021-12-24,189.977754,189.163382,214.577427
2021-12-31,183.712023,182.752492,205.061230
2022-01-07,146.119350,162.668581,175.621302
2022-01-14,139.385752,168.250649,180.899476
2022-01-21,97.202830,125.227533,130.780170
2022-01-28,85.128496,120.569472,122.802543
2022-02-04,94.317625,136.287272,138.173936
2022-02-11,85.366274,137.047888,143.044903
2022-02-18,82.492658,129.042991,134.287910
2022-02-25,70.974658,119.838986,123.865642
2022-03-04,79.057897,117.212205,120.821733
2022-03-11,85.029355,114.423655,116.376042
2022-03-18,105.034648,125.403580,126.834927
2022-03-25,104.501745,135.139043,138.216940
2022-04-01,129.837765,154.510355,156.541718
2022-04-08,102.907535,133.527854,135.003904
2022-04-15,104.883427,127.800504,128.711945
2022-04-22,104.843737,126.819401,126.253475
2022-04-29,93.445717,111.730405,108.408011
2022-05-06,73.619542,99.741042,97.308997
2022-05-13,48.814729,64.468889,61.659283
2022-05-20,46.935999,65.279309,62.051088
2022-05-27,53.034636,59.712990,56.022874
2022-06-03,53.351325,64.258108,60.046587
2022-06-10,49.840140,60.208392,55.911877
2022-06-17,38.842570,46.082084,43.239208
2022-06-24,42.822081,53.652912,50.534401
2022-07-01,31.254694,47.619701,44.346850
2022-07-08,43.421603,51.748594,48.463919
2022-07-15,42.488015,50.753444,47.272728
2022-07-22,40.365632,55.276838,52.245834
2022-07-29,42.826032,59.978304,56.311585
2022-08-05,41.637380,63.061124,59.978937
2022-08-12,43.440641,66.219768,63.468206
2022-08-19,33.394964,54.005120,51.134028
2022-08-26,32.762507,51.804457,48.440888
2022-09-02,32.271938,52.509106,49.146053
2022-09-09,36.709077,56.174461,52.622241
2022-09-16,34.205980,51.111208,47.735044
2022-09-23,33.233979,49.819497,46.471161
2022-09-30,34.430547,48.816897,45.313891
2022-10-07,33.534028,48.929280,45.372008
2022-10-14,29.491774,45.721130,42.159913
2022-10-21,31.159750,45.664231,41.868922
2022-10-28,31.266757,48.720172,45.057469
2022-11-04,34.566911,53.151569,49.588805
2022-11-11,27.218264,39.807293,36.591894
2022-11-18,28.008879,37.939059,34.442808
2022-11-25,26.643749,37.982070,34.726537
2022-12-02,27.951918,39.573027,36.459919
2022-12-09,27.285465,38.753828,35.326855
2022-12-16,23.926948,34.323845,31.331777
2022-12-23,24.041613,34.165903,31.050393
2022-12-30,23.697669,32.609702,29.457927
2023-01-06,24.394413,34.791560,31.734151
2023-01-13,30.365957,42.407231,39.622972
2023-01-20,32.918675,47.433500,44.268031
2023-01-27,33.584312,50.009131,47.968986
2023-02-03,34.039118,52.742040,52.125995
