date,nav_line1,nav_line2
2017-11-10,499.500000,499.500000
2017-11-17,519.361395,519.386716
2017-11-24,595.895079,597.486637
2017-12-01,668.380985,665.343200
2017-12-08,924.275672,899.774180
2017-12-15,2065.394146,1998.635098
2017-12-22,2675.350789,3165.019422
2017-12-29,3789.495601,3837.806404
2018-01-05,8827.132696,13846.120642
2018-01-12,8362.858540,8267.693535
2018-01-19,6380.609575,6098.624122
2018-01-26,5709.938530,5151.390983
2018-02-02,4256.912872,3428.483718
2018-02-09,4441.545047,3810.232451
2018-02-16,5042.559268,4245.975410
2018-02-23,4524.158552,3593.884033
2018-03-02,4767.182979,4089.832868
2018-03-09,3945.246072,3092.871565
2018-03-16,3503.222634,2661.492912
2018-03-23,3887.567429,3319.462700
2018-03-30,3253.611095,3106.221136
2018-04-06,3198.237056,2967.975429
2018-04-13,3850.928346,3280.777101
2018-04-20,4716.068803,4149.148189
2018-04-27,5155.372197,5216.358484
2018-05-04,5739.176444,5946.770210
2018-05-11,4782.221447,4680.194266
2018-05-18,4982.548733,4970.476388
2018-05-25,4520.469234,4865.001226
2018-06-01,4461.931032,4314.299292
2018-06-08,4687.267607,4404.196538
2018-06-15,3871.835322,3485.691528
2018-06-22,3747.179601,3490.642104
2018-06-29,3505.142992,3113.245488
2018-07-06,3602.000512,3077.984435
2018-07-13,3290.791697,2783.087422
2018-07-20,3473.616914,2881.138028
2018-07-27,3728.157983,3085.183587
2018-08-03,3454.189508,2769.554213
2018-08-10,2759.729497,2216.611304
2018-08-17,2774.145693,2141.737806
2018-08-24,2596.913502,1995.676488
2018-08-31,2763.136068,2233.094216
2018-09-07,2364.866215,1891.256577
2018-09-14,2310.583037,1839.389287
2018-09-21,3003.519372,2271.652782
2018-09-28,2815.990792,2080.351576
2018-10-05,2874.961668,2173.484932
2018-10-12,2584.886933,2021.377235
2018-10-19,2705.530774,2123.082548
2018-10-26,2696.985081,2097.782607
2018-11-02,2658.511756,2052.053780
2018-11-09,2737.585508,2082.762034
2018-11-16,2351.417566,1746.932278
2018-11-23,1775.594406,1291.286425
2018-11-30,1668.353973,1270.277294
2018-12-07,1441.335365,1136.984240
2018-12-14,1377.775163,1102.845309
2018-12-21,1801.328469,1571.963939
2018-12-28,1958.809603,1657.377649
2019-01-04,1994.643489,1686.236079
2019-01-11,1948.676124,1844.116911
2019-01-18,1941.662797,1848.201352
2019-01-25,1953.213100,1949.594978
2019-02-01,1884.697443,1906.467233
2019-02-08,2071.855942,2052.758340
2019-02-15,2054.575593,1950.852954
2019-02-22,2304.541681,2117.021622
2019-03-01,2239.444278,2068.225841
2019-03-08,2324.615306,2172.582489
2019-03-15,2383.496949,2246.350597
2019-03-22,2381.424043,2235.016440
2019-03-29,2455.116599,2333.602077
2019-04-05,2902.835683,2739.696114
2019-04-12,2805.241567,2632.618310
2019-04-19,3052.715848,2977.451321
2019-04-26,2826.071563,2733.488890
2019-05-03,2967.073801,2807.365804
2019-05-10,2917.968676,2560.880996
2019-05-17,3681.199507,3157.826103
2019-05-24,4014.605395,3660.870772
2019-05-31,4364.443191,3890.691251
2019-06-07,4214.965959,3846.530922
2019-06-14,4294.420478,3869.529228
2019-06-21,4790.782545,4278.901481
2019-06-28,4934.866453,4103.312908
2019-07-05,4522.507540,3844.567804
2019-07-12,4376.478319,3667.486629
2019-07-19,3929.494045,3396.502105
2019-07-26,3743.944326,3143.503311
2019-08-02,3689.150262,3021.360007
2019-08-09,3706.600507,3041.060155
2019-08-16,3274.168509,2724.301211
2019-08-23,3375.276228,2763.932286
2019-08-30,2967.569472,2335.009037
2019-09-06,2956.744244,2274.255438
2019-09-13,3021.970397,2271.803403
2019-09-20,3322.091915,2420.324579
2019-09-27,2638.439106,1862.315774
2019-10-04,2699.353126,1911.675591
2019-10-11,2840.370410,2040.426961
2019-10-18,2872.611073,2100.988996
2019-10-25,3048.685755,2245.974006
2019-11-01,3209.321339,2432.412027
2019-11-08,3104.758276,2355.856347
2019-11-15,3050.920717,2368.489066
2019-11-22,2509.921542,1857.366900
2019-11-29,2634.654488,1988.756925
2019-12-06,2521.692046,1876.260657
2019-12-13,2430.636028,1791.797051
2019-12-20,2253.253745,1669.237069
2019-12-27,2229.117553,1647.949520
2020-01-03,2276.817023,1675.522407
2020-01-10,2490.446954,1834.705121
2020-01-17,2898.159730,2192.310024
2020-01-24,2726.550276,2052.056211
2020-01-31,2994.802805,2256.659515
2020-02-07,3504.484550,2678.783098
2020-02-14,4144.226347,3181.023275
2020-02-21,3568.786601,2603.751527
2020-02-28,3071.177907,2215.662523
2020-03-06,3289.616986,2425.683146
2020-03-13,1892.066853,1316.222975
2020-03-20,2001.482291,1432.156799
2020-03-27,2098.483776,1490.975306
2020-04-03,2194.959111,1570.225019
2020-04-10,2306.398287,1629.456613
2020-04-17,2456.090925,1776.625260
2020-04-24,2594.001269,1857.052921
2020-05-01,2941.650573,2076.701646
2020-05-08,3013.442984,2094.785615
2020-05-15,2771.486245,1918.547196
2020-05-22,2827.968686,1967.234196
2020-05-29,2896.091042,2004.545884
2020-06-05,3077.528825,2149.214107
2020-06-12,2972.723574,2059.760090
2020-06-19,2861.986125,1974.859148
2020-06-26,2844.086522,1965.129947
2020-07-03,2823.167172,1974.815897
2020-07-10,3064.804776,2176.696582
2020-07-17,2981.535493,2112.474207
2020-07-24,3254.125548,2292.005768
2020-07-31,3819.271981,2537.163689
2020-08-07,4089.465962,2674.319595
2020-08-14,4460.227760,2979.895217
2020-08-21,4238.888352,2879.087930
2020-08-28,4249.020203,2914.308185
2020-09-04,4446.108894,3350.480033
2020-09-11,4494.690820,3477.797494
2020-09-18,4542.383354,3381.774021
2020-09-25,4262.334808,3114.680432
2020-10-02,4258.880947,3191.958793
2020-10-09,4463.115135,3294.560918
