date,nav_mult_3y,nav_mult_5y,nav_mult_10y,dd_3y,dd_5y,dd_10y,hs300_mult_10y,nav_3y_yuan,nav_5y_yuan,nav_10y_yuan
2016-07-29,,,1.0000,,,0.0000,1.0000,,,1980218.4944
2016-08-05,,,1.0000,,,0.0000,0.9998,,,1980251.5437
2016-08-12,,,1.0070,,,0.0000,1.0095,,,1994027.6574
2016-08-19,,,1.0217,,,0.0000,1.0459,,,2023277.1438
2016-08-26,,,1.0210,,,-0.0007,1.0388,,,2021828.1142
2016-09-02,,,1.0298,,,0.0000,1.0438,,,2039246.2200
2016-09-09,,,1.0383,,,0.0000,1.0452,,,2056063.4046
2016-09-14,,,0.9926,,,-0.0441,1.0234,,,1965474.9542
2016-09-23,,,0.9946,,,-0.0421,1.0270,,,1969432.4628
2016-09-29,,,0.9946,,,-0.0421,1.0270,,,1969432.4628
2016-09-30,,,0.9981,,,-0.0387,1.0181,,,1976453.3010
2016-10-10,,,0.9981,,,-0.0387,1.0181,,,1976453.3010
2016-10-14,,,1.0202,,,-0.0175,1.0322,,,2020142.5131
2016-10-21,,,1.0673,,,0.0000,1.0361,,,2113524.0022
2016-10-28,,,1.0792,,,0.0000,1.0550,,,2137003.5543
2016-11-04,,,1.0780,,,-0.0011,1.0506,,,2134640.8087
2016-11-11,,,1.0871,,,0.0000,1.0522,,,2152660.4505
2016-11-18,,,1.0902,,,0.0000,1.0794,,,2158896.0754
2016-11-25,,,1.1299,,,0.0000,1.0807,,,2237407.4686
2016-11-30,,,1.1299,,,0.0000,1.0807,,,2237407.4686
2016-12-02,,,1.1912,,,0.0000,1.1138,,,2358910.1234
2016-12-07,,,1.1912,,,0.0000,1.1138,,,2358910.1234
2016-12-09,,,1.2330,,,0.0000,1.0913,,,2441674.9270
2016-12-16,,,1.1640,,,-0.0560,1.0538,,,2304917.6034
2016-12-23,,,1.1582,,,-0.0607,1.0418,,,2293554.5184
2016-12-28,,,1.1582,,,-0.0607,1.0418,,,2293554.5184
2016-12-30,,,1.1529,,,-0.0650,1.0347,,,2282990.7018
2017-01-04,,,1.1529,,,-0.0650,1.0347,,,2282990.7018
