date,mult_10y_base,mult_10y_opt,mult_5y_base,mult_5y_opt,dd_10y_base,dd_10y_opt,hs300_10y
2016-07-29,1.0000,1.0000,,,0.0000,0.0000,1.0000
2016-08-05,1.0000,0.9985,,,0.0000,-0.0015,0.9998
2016-08-12,1.0070,1.0053,,,0.0000,0.0000,1.0095
2016-08-19,1.0217,1.0203,,,0.0000,0.0000,1.0459
2016-08-26,1.0210,1.0192,,,-0.0007,-0.0011,1.0388
2016-09-02,1.0298,1.0077,,,0.0000,-0.0124,1.0438
2016-09-09,1.0383,1.0103,,,0.0000,-0.0098,1.0452
2016-09-14,0.9926,1.0180,,,-0.0441,-0.0023,1.0234
2016-09-23,0.9946,1.0194,,,-0.0421,-0.0009,1.0270
2016-09-29,0.9946,1.0194,,,-0.0421,-0.0009,1.0270
2016-09-30,0.9981,1.0225,,,-0.0387,0.0000,1.0181
2016-10-10,0.9981,1.0225,,,-0.0387,0.0000,1.0181
2016-10-14,1.0202,1.0329,,,-0.0175,0.0000,1.0322
2016-10-21,1.0673,1.0731,,,0.0000,0.0000,1.0361
2016-10-28,1.0792,1.0833,,,0.0000,0.0000,1.0550
2016-11-04,1.0780,1.0841,,,-0.0011,0.0000,1.0506
2016-11-11,1.0871,1.0958,,,0.0000,0.0000,1.0522
2016-11-18,1.0902,1.0974,,,0.0000,0.0000,1.0794
2016-11-25,1.1299,1.1409,,,0.0000,0.0000,1.0807
2016-11-30,1.1299,1.1409,,,0.0000,0.0000,1.0807
2016-12-02,1.1912,1.1930,,,0.0000,0.0000,1.1138
2016-12-07,1.1912,1.1930,,,0.0000,0.0000,1.1138
2016-12-09,1.2330,1.2217,,,0.0000,0.0000,1.0913
2016-12-16,1.1640,1.1527,,,-0.0560,-0.0565,1.0538
2016-12-23,1.1582,1.1405,,,-0.0607,-0.0665,1.0418
2016-12-28,1.1582,1.1405,,,-0.0607,-0.0665,1.0418
2016-12-30,1.1529,1.1352,,,-0.0650,-0.0708,1.0347
2017-01-04,1.1529,1.1352,,,-0.0650,-0.0708,1.0347
2017-01-06,1.1734,1.1554,,,-0.0484,-0.0543,1.0496
2017-01-13,1.1752,1.1572,,,-0.0469,-0.0528,1.0481
2017-01-20,1.1751,1.1571,,,-0.0470,-0.0529,1.0338
2017-01-23,1.1751,1.1571,,,-0.0470,-0.0529,1.0338
2017-01-26,1.2022,1.1837,,,-0.0250,-0.0311,1.0628
2017-02-03,1.2122,1.1936,,,-0.0169,-0.0230,1.0650
2017-02-10,1.2038,1.1854,,,-0.0237,-0.0298,1.0602
2017-02-17,1.2154,1.1968,,,-0.0143,-0.0204,1.0822
2017-02-24,1.2170,1.2002,,,-0.0130,-0.0176,1.0837
2017-03-01,1.2232,1.2052,,,-0.0080,-0.0135,1.0837
2017-03-03,1.2474,1.2308,,,0.0000,0.0000,1.0809
2017-03-09,1.2641,1.2514,,,0.0000,0.0000,1.0809
2017-03-10,1.2830,1.2668,,,0.0000,0.0000,1.0815
2017-03-17,1.3096,1.2935,,,0.0000,0.0000,1.0809
2017-03-22,1.3096,1.2935,,,0.0000,0.0000,1.0809
2017-03-24,1.3301,1.3180,,,0.0000,0.0000,1.0863
2017-03-31,1.3150,1.3011,,,-0.0114,-0.0128,1.0839
2017-04-07,1.3232,1.3090,,,-0.0052,-0.0068,1.1006
2017-04-14,1.3212,1.3142,,,-0.0067,-0.0029,1.0978
2017-04-21,1.2953,1.2843,,,-0.0262,-0.0256,1.0827
2017-04-28,1.2828,1.2657,,,-0.0355,-0.0397,1.0767
2017-05-05,1.2897,1.2737,,,-0.0304,-0.0336,1.0662
2017-05-12,1.2872,1.2713,,,-0.0323,-0.0355,1.0492
2017-05-16,1.2872,1.2713,,,-0.0323,-0.0355,1.0492
2017-05-19,1.3168,1.3005,,,-0.0100,-0.0133,1.0685
2017-05-26,1.3342,1.3178,,,0.0000,-0.0002,1.0717
2017-06-02,1.3672,1.3503,,,0.0000,0.0000,1.0991
2017-06-06,1.3672,1.3503,,,0.0000,0.0000,1.0991
2017-06-09,1.3667,1.3498,,,-0.0004,-0.0004,1.0960
2017-06-16,1.3848,1.3677,,,0.0000,0.0000,1.1113
2017-06-23,1.3874,1.3703,,,0.0000,0.0000,1.1149
2017-06-30,1.4255,1.4079,,,0.0000,0.0000,1.1487
2017-07-07,1.4180,1.4005,,,-0.0053,-0.0053,1.1435
2017-07-14,1.4042,1.3866,,,-0.0150,-0.0151,1.1530
2017-07-18,1.4042,1.3866,,,-0.0150,-0.0151,1.1530
2017-07-21,1.3894,1.3764,,,-0.0253,-0.0224,1.1469
2017-07-28,1.4104,1.3987,,,-0.0106,-0.0066,1.1631
2017-08-03,1.4104,1.3987,,,-0.0106,-0.0066,1.1631
2017-08-04,1.4205,1.4085,,,-0.0035,0.0000,1.1741
2017-08-11,1.3816,1.3713,,,-0.0308,-0.0264,1.1545
2017-08-18,1.4146,1.4083,,,-0.0077,-0.0001,1.1564
2017-08-25,1.4157,1.4092,,,-0.0069,0.0000,1.1809
2017-09-01,1.4330,1.4256,,,0.0000,0.0000,1.2038
