date,dynamic,equal_weight_5,btc_eth_rolling,btc_eth_hold
2021-08-06,99.900000,99.900000,99.900000,99.900000
2021-08-13,123.289777,123.285064,113.157520,113.157520
2021-08-20,131.290456,130.690692,114.351416,114.351416
2021-08-27,130.717391,130.472767,113.741945,113.741945
2021-09-03,141.887451,142.195101,126.441420,126.446284
2021-09-10,120.546936,120.808510,108.243621,107.850597
2021-09-17,127.714790,127.986884,114.269780,113.862906
2021-09-24,112.643415,112.843707,101.061724,100.630818
2021-10-01,124.988130,125.612695,113.764514,113.281147
2021-10-08,131.075009,131.729968,125.082535,124.534248
2021-10-15,142.614841,143.323450,139.226252,138.594909
2021-10-22,142.350070,143.074299,140.143867,139.401210
2021-10-29,149.255795,149.882959,149.760295,148.874003
2021-11-05,157.158348,157.815273,149.646620,148.823391
2021-11-12,162.864490,163.606082,156.360825,155.483645
2021-11-19,151.071775,151.720477,142.840185,142.069271
2021-11-26,139.369354,139.780257,132.806127,132.141305
2021-12-03,141.326133,141.742816,135.992667,135.453865
2021-12-10,128.465129,128.843879,122.899371,122.645753
2021-12-17,123.867819,124.230695,121.089048,120.929900
2021-12-24,131.859380,132.447962,129.747450,129.230978
2021-12-31,122.175414,122.016369,118.129722,117.650317
2022-01-07,106.913923,108.921187,104.256580,103.654345
2022-01-14,116.960687,112.746501,108.097120,107.470942
2022-01-21,91.462680,92.822141,87.485976,86.727553
2022-01-28,92.181459,91.867187,88.891967,88.088371
2022-02-04,95.272258,100.840364,100.878812,99.965918
2022-02-11,95.604801,103.863786,101.030028,100.053015
2022-02-18,95.401089,102.051891,95.754242,94.832490
2022-02-25,89.514646,98.599574,94.415652,93.513499
2022-03-04,89.363258,95.566130,91.781230,90.877681
2022-03-11,88.862618,97.857412,90.378253,89.482865
2022-03-18,94.941792,103.875783,100.689175,99.655446
2022-03-25,97.987136,108.624419,106.515001,105.414911
2022-04-01,98.231909,117.386183,114.702259,113.594193
2022-04-08,87.081779,106.328254,105.472272,104.486053
2022-04-15,86.775805,104.888578,100.810193,99.851210
2022-04-22,79.433148,103.067378,98.537665,97.588058
2022-04-29,67.528346,96.666345,94.655651,93.690736
2022-05-06,66.485772,100.479233,89.466921,88.609717
2022-05-13,57.252214,78.167928,69.776559,68.967188
2022-05-20,55.048751,77.290266,68.758748,67.953591
2022-05-27,62.201519,75.941766,63.979668,63.200511
2022-06-03,62.604249,77.280317,66.113135,65.323329
2022-06-10,60.906904,74.585222,63.378199,62.698129
2022-06-17,46.194011,55.386091,42.983147,42.655158
2022-06-24,50.843963,61.184892,46.555840,45.966539
2022-07-01,50.105620,55.140681,41.233805,40.790539
2022-07-08,53.251880,61.181023,47.033653,46.474253
2022-07-15,51.746643,60.087677,46.282088,45.613930
2022-07-22,51.733531,66.410410,54.076870,53.062889
2022-07-29,53.458646,71.075198,58.714542,57.616959
2022-08-05,53.873729,72.286494,58.161420,57.099543
2022-08-12,54.327205,75.679361,63.356851,62.285997
2022-08-19,47.908152,65.463069,53.208612,52.225253
2022-08-26,46.959220,63.868922,50.703238,49.687101
2022-09-02,47.142875,64.101820,51.506767,50.548246
2022-09-09,48.761502,68.085877,55.643336,54.645931
2022-09-16,43.139293,63.315318,48.887487,47.816808
2022-09-23,41.805397,67.723633,46.521868,45.462558
2022-09-30,41.248813,67.580710,46.678653,45.614206
2022-10-07,42.758608,69.019453,46.896822,45.826850
2022-10-14,40.501415,67.281654,45.846857,44.799107
2022-10-21,38.193088,66.066222,45.875166,44.827337
2022-10-28,39.234024,71.808261,52.063989,50.902382
2022-11-04,43.286160,76.701372,54.261345,53.094593
2022-11-11,34.388059,62.030149,43.073440,42.113058
2022-11-18,32.501410,59.191374,41.394223,40.425987
2022-11-25,35.646593,61.402344,40.948015,39.989656
2022-12-02,34.681557,62.366118,43.260686,42.298851
2022-12-09,33.802835,61.612449,42.814529,41.832092
2022-12-16,27.321124,56.406362,40.592839,39.606372
2022-12-23,29.083484,58.082609,41.676726,40.677477
2022-12-30,29.039890,57.463546,41.076195,40.089155
2023-01-06,30.704441,58.651032,42.720118,41.708741
2023-01-13,34.682701,66.990913,49.513304,48.307793
2023-01-20,38.388662,72.903856,56.502187,55.132020
2023-01-27,38.242985,72.902524,55.971310,54.536910
2023-02-03,39.087269,74.989869,57.586740,56.119781
2023-02-10,36.737755,70.013924,52.781777,51.432479
2023-02-17,41.213001,75.929383,59.466372,57.941034
2023-02-24,39.245493,72.553199,56.295000,54.852726
2023-03-03,38.321882,70.934702,54.595379,53.200690
2023-03-10,34.067006,65.339878,49.505670,48.243713
2023-03-17,44.488631,78.954577,64.642406,62.963680
2023-03-24,43.460634,78.733249,63.994959,62.345859
2023-03-31,44.325424,84.365752,66.417886,64.704273
2023-04-07,43.713608,83.456864,66.552981,64.813145
2023-04-14,47.237789,88.498811,73.824372,71.877093
2023-04-21,41.485786,81.257802,65.519537,63.785912
2023-04-28,43.746677,84.465152,68.763362,66.927575
2023-05-05,44.254714,86.296265,70.853009,68.925877
2023-05-12,40.331082,80.283507,64.257790,62.510031
2023-05-19,41.539964,82.150443,64.441058,62.688310
2023-05-26,41.613680,83.290775,64.522037,62.767191
2023-06-02,44.132752,87.966709,66.553260,64.743328
2023-06-09,42.139709,82.406527,64.440300,62.687782
2023-06-16,39.272567,77.597959,62.062855,60.374573
2023-06-23,42.491187,83.478324,70.429334,68.514602
2023-06-30,43.283323,83.368343,70.929206,68.956801
2023-07-07,43.239030,82.830274,69.610015,67.717951
2023-07-14,51.127363,93.388315,70.879500,68.896163
2023-07-21,52.689906,93.885860,69.512214,67.583293
2023-07-28,51.419134,92.750188,68.513415,66.596061
2023-08-04,47.375198,88.118477,67.357201,65.497439
2023-08-11,47.548001,88.376874,68.089601,66.210374
2023-08-18,41.753201,78.510533,60.784829,59.087565
2023-08-25,43.090855,80.123921,60.633648,58.946964
2023-09-01,42.471860,78.289971,59.895600,58.236535
2023-09-08,44.164192,79.355570,60.158235,58.491065
2023-09-15,46.908092,80.735525,61.067165,59.406309
2023-09-22,46.535244,80.260774,60.133861,58.536554
2023-09-29,49.754135,82.913023,61.904151,60.214297
2023-10-06,48.683794,82.977740,62.679328,61.039532
2023-10-13,47.218353,79.182473,59.678452,58.154985
2023-10-20,50.109871,83.875016,63.841309,62.353923
2023-10-27,54.449595,90.601786,71.875528,70.315202
2023-11-03,56.142063,95.005954,73.809376,72.186181
2023-11-10,61.735291,103.843298,81.469072,79.439626
2023-11-17,59.364200,99.706334,78.370157,76.581142
2023-11-24,61.380463,101.044461,81.962961,79.963088
2023-12-01,61.669869,100.673210,83.123571,81.196368
2023-12-08,68.024154,109.726766,94.417005,92.279460
2023-12-15,63.573221,104.845538,89.238651,87.261471
2023-12-22,66.364027,110.306862,93.594924,91.526178
2023-12-29,68.625731,112.609168,91.039364,88.865010
2024-01-05,69.649620,111.698671,92.619656,90.718405
2024-01-12,69.728156,112.306700,96.464987,93.610671
2024-01-19,70.211537,112.382330,94.407271,91.566119
2024-01-26,67.340939,109.997671,90.381369,87.956746
2024-02-02,68.408057,110.467036,92.674828,90.259427
2024-02-09,74.012299,118.029203,100.533200,97.981783
2024-02-16,82.560624,129.793769,112.252774,109.292904
2024-02-23,84.037210,130.843586,113.058861,109.664937
2024-03-01,92.046919,147.522107,136.037362,132.194868
2024-03-08,105.049898,160.449302,151.469593,146.926770
2024-03-15,115.081437,167.310666,149.566259,145.504417
2024-03-22,102.633506,153.092728,135.486155,132.004526
