date,nav_line1,nav_line2
2016-08-05,199.800000,199.800000
2016-08-12,207.603782,207.603782
2016-08-19,196.238377,196.238377
2016-08-26,201.494085,201.494085
2016-09-02,208.549054,208.553345
2016-09-09,212.739423,212.217611
2016-09-16,218.610136,217.856913
2016-09-23,224.726748,224.198366
2016-09-30,224.834910,224.144878
2016-10-07,221.753141,220.692149
2016-10-14,219.116638,217.762733
2016-10-21,219.019743,217.612731
2016-10-28,220.278003,219.263619
2016-11-04,222.645384,221.802224
2016-11-11,216.233418,216.406629
2016-11-18,213.339884,215.547506
2016-11-25,210.695864,212.838441
2016-12-02,197.104253,204.221377
2016-12-09,205.880683,209.939038
2016-12-16,199.832618,206.413951
2016-12-23,208.220932,223.883536
2016-12-30,228.416997,240.353423
2017-01-06,248.234523,247.342863
2017-01-13,233.798908,231.073850
2017-01-20,253.144116,250.385468
2017-01-27,255.817494,254.055180
2017-02-03,276.467033,277.124520
2017-02-10,276.461014,273.892409
2017-02-17,300.465171,295.682898
2017-02-24,324.065147,321.848804
2017-03-03,417.560680,397.351670
2017-03-10,386.542878,365.566945
2017-03-17,639.449879,589.845136
2017-03-24,651.680145,635.832995
2017-03-31,681.380260,634.586307
2017-04-07,661.387860,582.612848
2017-04-14,696.867738,624.592499
2017-04-21,721.772192,644.516963
2017-04-28,932.738256,882.256703
2017-05-05,1137.191983,1091.671942
2017-05-12,1157.028709,1060.590531
2017-05-19,1516.822925,1463.518053
2017-05-26,1832.977621,1846.269052
2017-06-02,2277.812250,2416.386634
2017-06-09,2725.295957,2986.997321
2017-06-16,2942.972222,3603.065094
2017-06-23,2961.803557,3398.714186
2017-06-30,2606.672065,2933.311971
2017-07-07,2446.050493,2593.538434
2017-07-14,2084.179086,2150.357777
2017-07-21,2389.177634,2398.910427
2017-07-28,2309.595933,2192.195933
2017-08-04,2526.881436,2475.357217
2017-08-11,3365.127302,3401.116422
2017-08-18,3508.835026,3339.777393
2017-08-25,3820.989461,3709.459914
2017-09-01,4411.369268,4360.398814
2017-09-08,3635.521478,3486.451527
2017-09-15,3103.483497,2963.051416
2017-09-22,3118.259096,2988.673390
2017-09-29,3512.376377,3331.356727
2017-10-06,3695.231018,3509.075883
2017-10-13,4409.905045,3982.446374
2017-10-20,4337.039960,3753.172900
2017-10-27,4214.099104,3663.438357
2017-11-03,4788.784750,3986.469589
2017-11-10,4540.043526,3823.748682
2017-11-17,5165.537237,4309.392738
2017-11-24,6454.942426,5677.496182
2017-12-01,7461.771092,6075.563008
2017-12-08,9278.362586,6953.448132
2017-12-15,11919.303761,9192.104316
2017-12-22,10531.058993,8433.223449
2017-12-29,11459.059723,9279.960895
2018-01-05,14398.941806,11943.185435
2018-01-12,14960.558280,13805.600033
2018-01-19,12315.393360,11301.489748
2018-01-26,12176.564752,11369.340844
2018-02-02,10105.015259,9717.219571
2018-02-09,9875.254311,9415.705176
2018-02-16,11064.307780,10214.978304
2018-02-23,10631.550419,9511.617009
2018-03-02,10991.457112,9582.492730
2018-03-09,9303.950330,8135.477816
2018-03-16,7992.335361,6824.835624
2018-03-23,7839.309803,6364.441353
2018-03-30,5908.143818,4723.452856
2018-04-06,5616.821367,4461.620573
2018-04-13,7073.277284,5774.616948
2018-04-20,8381.228796,7038.561301
2018-04-27,8661.258829,7342.903899
2018-05-04,9942.277627,8705.296911
2018-05-11,8625.996522,7539.015589
2018-05-18,8621.900568,7637.994345
2018-05-25,7545.817502,6542.315785
2018-06-01,7534.797899,6493.179037
2018-06-08,7713.111240,6695.631275
2018-06-15,6414.530288,5509.091640
2018-06-22,6064.658903,5219.249836
2018-06-29,5938.166676,4976.282891
2018-07-06,6414.300819,5394.942556
2018-07-13,5934.100583,4962.003673
2018-07-20,6580.313668,5304.861231
2018-07-27,7081.456569,5615.222586
2018-08-03,6377.101465,5028.969394
2018-08-10,5201.192668,4060.508506
2018-08-17,5223.965415,3964.455222
2018-08-24,5008.079259,3695.912453
2018-08-31,5126.705202,3751.421870
2018-09-07,4322.711442,3064.338009
2018-09-14,4283.695863,3023.532045
2018-09-21,4704.495222,3373.412642
2018-09-28,4441.991331,3141.554058
2018-10-05,4486.672244,3184.249130
2018-10-12,4061.994199,2847.932198
2018-10-19,4196.030709,2943.633564
2018-10-26,4194.944976,2941.699679
2018-11-02,4139.194881,2902.632859
2018-11-09,4235.677387,2986.486199
2018-11-16,3615.158540,2533.930183
2018-11-23,2681.495712,1856.930200
2018-11-30,2469.668422,1709.158953
2018-12-07,2069.293348,1427.775296
2018-12-14,1916.803772,1316.649497
2018-12-21,2396.411621,1655.345901
2018-12-28,2712.736655,1911.645808
2019-01-04,2856.644683,2051.468606
2019-01-11,2543.684189,1780.312452
2019-01-18,2468.280551,1716.761480
2019-01-25,2401.447810,1665.283619
2019-02-01,2274.253550,1567.505176
2019-02-08,2455.714281,1702.744331
2019-02-15,2469.483482,1720.069581
2019-02-22,2876.096809,2028.095052
2019-03-01,2701.661481,1889.716048
2019-03-08,2703.169173,1885.169890
2019-03-15,2749.482975,1918.472401
2019-03-22,2766.500370,1924.866830
2019-03-29,2845.171469,1985.294598
2019-04-05,3401.391330,2353.977470
