date,BTC,ETH,OKB,AAVE,ADA,APT,AR,ARB,AVAX,DOT,DYDX,FIL,GALA,JUP,LDO,LINK,POL,SKY,NEAR,ONDO,OP,RENDER,SOL,TIA,GRAM,TRX,UNI,ZEC,BNB,CFG,INJ,XLM,LTC,RON,XRP,GLM,BCH,ICP,FET,GT
2017-08-11,4086.29,299.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-18,4310.01,348.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-25,4509.08,341.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,4130.37,293.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-08,3699.99,257.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-15,3660.02,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-22,4378.48,303.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-29,4640.0,311.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,5709.99,337.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-13,5950.02,293.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-20,6169.98,305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-27,7345.01,295.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-03,5811.03,305.24,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,,,,,,,,,,,
2017-11-10,8038.0,354.15,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,
2017-11-17,9128.02,462.84,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8388,,,,,,,,,,,
2017-11-24,11165.41,460.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2617,,,,,,,,,,,
2017-12-01,14899.98,427.35,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4619,,,,,,,,,,,
2017-12-08,18860.02,707.64,,,,,,,,,,,,,,,,,,,,,,,,,,,5.999,,,,311.4,,,,,,,
2017-12-15,13500.0,658.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.181,,,,262.9,,,,,,,
2017-12-22,13716.36,733.98,,,,,,,,,,,,,,,,,,,,,,,,,,,8.53,,,,223.69,,,,,,,
2017-12-29,16150.03,1123.09,,,,,,,,,,,,,,,,,,,,,,,,,,,18.594,,,,269.01,,,,,,,
2018-01-05,13474.99,1347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4541,,,,234.12,,,,,,,
2018-01-12,11530.0,1049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1334,,,,190.16,,,,,,,
2018-01-19,11879.95,1251.96,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7739,,,,196.74,,,,,,,
2018-01-26,8184.81,823.56,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3511,,,,147.09,,,,,,,
2018-02-02,8063.88,808.99,,,,,,,,,,,,,,,,,,,,,,,,,,,8.674,,,,148.28,,,,,,,
2018-02-09,10383.43,911.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6631,,,,213.66,,,,,,,
2018-02-16,9590.0,841.19,,,,,,,,,,,,,,,,,,,,,,,,,,,9.35,,,,217.78,,,,,,,
2018-02-23,11515.0,866.66,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4139,,,,213.19,,,,,,,
2018-03-02,9533.57,720.85,,,,,,,,,,,,,,,,,,,,,,,,,,,8.268,,,,188.16,,,,,,,
2018-03-09,8189.99,537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9648,,,,153.5,,,,,,,
2018-03-16,8470.15,523.74,1.0786,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,,,,160.01,,,,,,,
2018-03-23,6813.01,378.58,0.6984,,,,,,,,,,,,,,,,,,,,,,,,,,11.0767,,,,114.74,,,,,,,
2018-03-30,7018.0,400.4,0.8605,,,,,,,,,,,,,,,,,,,,,,,,,,12.1311,,,,117.55,,,,,,,
2018-04-06,8355.0,533.88,1.3718,,,,,,,,,,,,,,,,,,,,,,,,,,13.0989,,,,132.45,,,,,,,
2018-04-13,8787.02,620.92,1.7178,,0.2816,,,,,,,,,,,,,,,,,,,,,,,,12.8888,,,,146.38,,,,,,,
2018-04-20,9419.0,690.85,1.8468,,0.36254,,,,,,,,,,,,,,,,,,,,,,,,15.0489,,,,153.5,,,,,,,
2018-04-27,9659.01,794.3,2.0327,,0.34654,,,,,,,,,,,,,,,,,,,,,,,,14.012,,,,172.32,,0.86483,,,,,
2018-05-04,8679.71,729.08,3.8323,,0.27718,,,,,,,,,,,,,,,,,,,,,,,,13.1515,,,,144.24,,0.72999,,,,,
2018-05-11,8526.98,716.16,4.553,,0.25556,,,,,,,,,,,,,,,,,,,,,,,,14.1666,,,,139.64,,0.6994,,,,,
2018-05-18,7338.99,570.4,3.7926,,0.19186,,,,,,,,,,,,,,,,,,,,,,,,12.6046,,,,117.71,,0.60416,,,,,
2018-05-25,7714.26,619.66,4.685,,0.22659,,,,,,,,,,,,,,,,,,,,,,,,14.6995,,,0.30405,125.33,,0.6901,,,,,
2018-06-01,6764.99,524.11,4.6514,,0.17346,,,,,,,,,,,,,,,,,,,,,,,,14.18,,,0.24402,106.48,,0.58201,,,,,
2018-06-08,6449.61,497.14,4.02,,0.16044,,,,,,,,,,,,,,,,,,,,,0.04234,,,16.5987,,,0.22814,94.95,,0.52617,,,,,
2018-06-15,6136.97,454.41,3.4911,,0.13093,,,,,,,,,,,,,,,,,,,,,0.04205,,,14.4174,,,0.19277,80.37,,0.47331,,,,,
2018-06-22,6356.81,452.1,3.7323,,0.14211,,,,,,,,,,,,,,,,,,,,,0.03665,,,14.37,,,0.19989,79.95,,0.46222,,,,,
