date,ZEC_kraken,XMR_kraken,ZEC_okx,XMR_okx
2016-12-29,55.01,18.48,55.01,18.48
2017-01-05,40.03,11.9,40.03,11.9
2017-01-12,43.24,12.25,43.24,12.25
2017-01-19,39.13,11.92,39.13,11.92
2017-01-26,40.39,13.0,40.39,13.0
2017-02-02,34.58,12.63,34.58,12.63
2017-02-09,33.67,13.8,33.67,13.8
2017-02-16,27.0,12.94,27.0,12.94
2017-02-23,41.65,12.3,41.65,12.3
2017-03-02,36.0,12.4,36.0,12.4
2017-03-09,46.3,19.32,46.3,19.32
2017-03-16,66.42,20.39,66.42,20.39
2017-03-23,62.54,21.18,62.54,21.18
2017-03-30,59.99,19.71,59.99,19.71
2017-04-06,62.32,21.89,62.32,21.89
2017-04-13,70.0,20.21,70.0,20.21
2017-04-20,72.49,19.5,72.49,19.5
2017-04-27,92.92,25.55,92.92,25.55
2017-05-04,96.88,30.49,96.88,30.49
2017-05-11,92.96,27.31,92.96,27.31
2017-05-18,232.19,45.0,232.19,45.0
2017-05-25,231.36,41.77,231.36,41.77
2017-06-01,264.65,53.0,264.65,53.0
2017-06-08,384.5,46.21,384.5,46.21
2017-06-15,381.13,48.57,381.13,48.57
2017-06-22,339.0,47.38,339.0,47.38
2017-06-29,281.83,46.06,281.83,46.06
2017-07-06,210.46,40.23,210.46,40.23
2017-07-13,182.0,34.86,182.0,34.86
2017-07-20,187.79,45.7,187.79,45.7
2017-07-27,190.0,43.27,190.0,43.27
2017-08-03,245.05,51.89,245.05,51.89
2017-08-10,216.71,48.53,216.71,48.53
2017-08-17,231.49,92.0,231.49,92.0
2017-08-24,276.98,133.5,276.98,133.5
2017-08-31,252.0,125.0,252.0,125.0
2017-09-07,200.12,111.23,200.12,111.23
2017-09-14,188.8,95.64,188.8,95.64
2017-09-21,285.22,102.57,285.22,102.57
2017-09-28,237.56,89.85,237.56,89.85
2017-10-05,236.24,87.54,236.24,87.54
2017-10-12,229.97,90.0,229.97,90.0
2017-10-19,219.95,88.32,219.95,88.32
2017-10-26,222.82,85.33,222.82,85.33
2017-11-02,251.99,113.11,251.99,113.11
2017-11-09,289.0,120.72,289.0,120.72
2017-11-16,316.8,166.5,316.8,166.5
2017-11-23,299.56,166.57,299.56,166.57
2017-11-30,314.43,257.11,314.43,257.11
2017-12-07,415.2,291.2,415.2,291.2
2017-12-14,663.0,467.77,663.0,467.77
2017-12-21,517.67,377.97,517.67,377.97
2017-12-28,558.26,384.55,558.26,384.55
