month,available_date,fed_rate,dollar,credit,liquidity,sentiment,earnings,inflation,housing,semiconductor,ai_innovation,regulation,crypto_native,composite
2005-01,2005-03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2005-02,2005-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2005-03,2005-05,-1.0000,0.0000,0.0000,0.8122,-0.4898,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0617
2005-04,2005-06,-1.0000,0.0000,0.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0833
2005-05,2005-07,-1.0000,0.0000,0.0000,1.0000,-0.6720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0560
2005-06,2005-08,-1.0000,0.0000,0.0000,0.9152,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0739
2005-07,2005-09,-1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833
2005-08,2005-10,-1.0000,0.0000,0.0000,1.0000,-0.1178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0098
2005-09,2005-11,-1.0000,0.0000,0.0000,1.0000,0.1644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0137
2005-10,2005-12,-1.0000,0.0000,0.0000,0.9450,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0894
2005-11,2006-01,-1.0000,0.0000,0.0000,1.0000,0.6832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0569
2005-12,2006-02,-1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833
2006-01,2006-03,-1.0000,0.0000,0.0000,0.8411,0.6005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0324
2006-02,2006-04,-1.0000,0.0000,0.0000,1.0000,0.2190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0182
2006-03,2006-05,-1.0000,-1.0000,0.0000,0.9631,0.8548,0.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.0069
2006-04,2006-06,-0.9460,1.0000,0.0000,1.0000,0.6838,0.0000,0.2872,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1213
2006-05,2006-07,-1.0000,1.0000,0.0000,1.0000,-1.0000,0.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.1204
2006-06,2006-08,-1.0000,0.7369,0.0000,1.0000,-1.0000,0.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.1447
2006-07,2006-09,-1.0000,0.8547,0.0000,0.9944,-1.0000,0.0000,-0.9319,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.1294
2006-08,2006-10,-1.0000,1.0000,0.0000,1.0000,-0.1802,0.0000,-0.2774,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0015
2006-09,2006-11,-1.0000,0.5419,0.0000,1.0000,0.5804,0.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1171
2006-10,2006-12,-1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1944
2006-11,2007-01,-1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1944
2006-12,2007-02,-1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.7589,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1766
2007-01,2007-03,-1.0000,0.2235,0.0000,1.0000,1.0000,0.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1225
2007-02,2007-04,-0.9596,0.8461,0.0000,1.0000,0.9767,0.0000,0.7174,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1618
2007-03,2007-05,-0.6528,1.0000,0.0000,1.0000,-1.0000,0.0000,0.3003,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0145
2007-04,2007-06,-0.6971,1.0000,0.0000,1.0000,-0.1130,0.0000,0.5102,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0991
2007-05,2007-07,-0.7651,1.0000,0.0000,1.0000,-0.3409,0.0000,0.3622,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0616
2007-06,2007-08,-0.4180,1.0000,0.0000,1.0000,-1.0000,0.0000,0.3729,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0460
2007-07,2007-09,-0.2991,1.0000,0.0000,0.9769,-1.0000,0.0000,0.7768,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0866
2007-08,2007-10,0.1385,1.0000,0.0000,1.0000,-1.0000,0.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1543
2007-09,2007-11,0.5693,1.0000,0.0000,1.0000,-1.0000,0.0000,0.0980,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1353
2007-10,2007-12,0.4864,1.0000,0.0000,1.0000,-1.0000,0.0000,-0.8136,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0586
2007-11,2008-01,1.0000,1.0000,0.0000,1.0000,-1.0000,0.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1019
2007-12,2008-02,1.0000,1.0000,0.0000,1.0000,-1.0000,0.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1019
2008-01,2008-03,1.0000,1.0000,0.0000,1.0000,-1.0000,0.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1019
2008-02,2008-04,1.0000,1.0000,0.0000,1.0000,-1.0000,0.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1019
2008-03,2008-05,1.0000,1.0000,0.0000,1.0000,-1.0000,0.0000,-0.9038,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1090
2008-04,2008-06,1.0000,1.0000,0.0000,1.0000,-1.0000,0.0000,-0.8001,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1167
2008-05,2008-07,1.0000,1.0000,0.0000,1.0000,-0.4980,0.0000,-0.9814,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1451
2008-06,2008-08,1.0000,1.0000,0.0000,1.0000,-1.0000,0.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1019
2008-07,2008-09,1.0000,1.0000,0.0000,1.0000,-1.0000,-0.9565,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0221
2008-08,2008-10,1.0000,0.7956,0.0000,1.0000,-0.7715,-0.9565,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0223
2008-09,2008-11,1.0000,0.2889,0.0000,1.0000,-1.0000,-0.9565,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.0437
2008-10,2008-12,1.0000,-1.0000,0.0000,1.0000,-1.0000,-1.0000,-0.2510,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.1112
2008-11,2009-01,1.0000,-1.0000,0.0000,1.0000,-1.0000,-1.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.0185
2008-12,2009-02,1.0000,-0.9393,0.0000,1.0000,-1.0000,-1.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.0129
2009-01,2009-03,1.0000,-1.0000,0.0000,1.0000,-1.0000,0.0883,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0722
2009-02,2009-04,1.0000,-1.0000,0.0000,1.0000,-1.0000,0.0883,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0722
2009-03,2009-05,1.0000,-1.0000,0.0000,1.0000,-1.0000,0.0883,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0722
2009-04,2009-06,1.0000,-0.9879,0.0000,1.0000,-0.9709,0.3196,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0950
2009-05,2009-07,1.0000,-0.0443,0.0000,1.0000,-0.5045,0.3196,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.2212
2009-06,2009-08,1.0000,-0.2597,0.0000,1.0000,-0.2783,0.3196,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.2201
2009-07,2009-09,1.0000,0.1622,0.0000,1.0000,-0.0434,1.0000,1.0000,-0.8501,0.0000,0.0000,0.0000,0.0000,0.3438
2009-08,2009-10,1.0000,0.0870,0.0000,1.0000,0.0408,1.0000,1.0000,-0.7283,0.0000,0.0000,0.0000,0.0000,0.3506
2009-09,2009-11,1.0000,0.3741,0.0000,1.0000,0.0981,1.0000,1.0000,-0.6107,0.0000,0.0000,0.0000,0.0000,0.3885
2009-10,2009-12,1.0000,0.4850,0.0000,1.0000,0.1779,1.0000,1.0000,-0.4631,0.0000,0.0000,0.0000,0.0000,0.4136
2009-11,2010-01,1.0000,0.7325,0.0000,1.0000,0.2448,1.0000,0.2405,-0.2558,0.0000,0.0000,0.0000,0.0000,0.3974
2009-12,2010-02,1.0000,0.4055,0.0000,1.0000,0.4719,1.0000,-0.2026,-0.0571,0.0000,0.0000,0.0000,0.0000,0.3642
