,sh688981,sz002049,sh603501,sz300782,sh688012,sh688008,sz300661,sh603986,sz002185,sh600584,sz002156,sz300223,sh688521,sz300373,sh688036,sz002415,sz002236,sh600745,sz002475,sz002241,sh603160,sz300750,sz002594,sz300124,sh688599,sz002459,sh601012,sz300274,sh688223,sz002460,sh603799,sz002466,sh600438,sz300316,sh688390,sz300827,sh605117,sz002812,sh688567,sh600276,sz300760,sh600196,sz300347,sh603259,sz300759,sh688180,sz300142,sh600521,sz002422,sh688185,sz300601,sh603087,sz300529,sh688399,sh600893,sz000768,sh600760,sz002179,sh600038,sz300699,sh600967,sz002013,sh600519,sz000858,sh600887,sh603288,sz000651,sz000333,sh600690,sz002714,sh600298,sh600809,sz000568,sh600132,sh603833,sz002572,sh600111,sh601899,sh600362,sh601600,sz000933,sh600188,sh601088,sh600028,sh601857,sz000983,sh600585,sz002001,sh600309,sz000792,sh603993,sz000630,sh601168,sz002128,sz000001,sh600036,sh601318,sh600030,sh601166,sz000776,sh600837,sh600000,sz300059,sh600570,sz002230,sh601688,sh601788,sz002736,sh601633,sh600104,sh601127,sh600066,sh600031,sz002008,sh601766,sz300450,sh600150,sz002050,sh601100,sz002472,sz002027,sh600637,sz300413,sh603000,sz002739,sh600845,sz300454,sh688111,sz300496,sh600588,sz002410,sh600346,sz002648,sh603260,sz002064,sh600426,sh688065,sz002497,sh600900,sh601985,sz003035,sh600025
2005-01-07,,,,,,,,,,9.89,,,,,,,,4.049,,,,,,,,,,,,,,,7.95,,,,,,,22.529,,22.745,,,,,,33.68,,,,,,,5.492,6.362,5.451,,14.702,,5.73,8.1,59.227,56.996,52.164,,76.175,,29.344,,9.35,7.727,37.668,17.164,,,9.002,,5.38,,15.608,12.405,,4.48,,13.37,7.84,13.54,70.487,34.625,,15.363,,,215.318,9.824,,6.104,,6.203,35.538,10.715,,11.14,,,,,,14.551,,26.041,15.4,18.45,,,8.404,,,,11.03,10.89,,,,13.823,,,,33.82,,5.29,,,,12.37,,,8.83,,,
2005-01-14,,,,,,,,,,9.778,,,,,,,,4.111,,,,,,,,,,,,,,,7.25,,,,,,,23.546,,22.846,,,,,,33.392,,,,,,,5.744,6.323,5.646,,14.747,,5.63,8.13,60.831,57.42,54.27,,75.96,,29.045,,9.43,7.704,37.861,16.952,,,8.909,,5.41,,16.296,12.405,,4.39,,13.74,7.94,13.1,74.622,34.586,,16.012,,,214.937,10.1,,6.004,,6.065,35.788,11.045,,11.04,,,,,,14.78,,26.322,16.21,18.26,,,8.602,,,,11.0,10.801,,,,13.801,,,,31.933,,5.29,,,,12.99,,,8.8,,,
2005-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-21,,,,,,,,,,10.066,,,,,,,,4.215,,,,,,,,,,,,,,,7.11,,,,,,,23.546,,22.339,,,,,,33.77,,,,,,,5.506,6.226,5.763,,14.297,,5.31,7.66,60.8,57.505,54.971,,74.457,,28.806,,9.05,7.495,38.152,16.168,,,8.568,,5.23,,,12.525,,4.32,,13.23,8.15,12.41,75.166,33.845,,16.162,,,211.511,10.412,,5.604,,6.778,35.988,11.75,,10.7,,,,,,16.221,,25.479,17.2,17.35,,,8.69,,,,10.84,10.521,,,,13.801,,,,30.551,,5.3,,,,12.17,,,8.56,,,
2005-01-28,,,,,,,,,,9.442,,,,,,,,3.26,,,,,,,,,,,,,,,7.07,,,,,,,24.314,,22.643,,,,,,32.636,,,,,,,4.765,5.602,5.178,,13.78,,4.99,7.35,62.672,58.776,57.778,,75.316,,28.148,,8.83,7.426,37.28,15.76,,,8.304,,5.27,,16.592,12.555,,4.36,,13.8,8.17,11.49,77.668,35.249,,16.411,,,202.373,10.34,,5.394,,6.502,37.036,11.825,,10.44,,,,,,15.566,,25.985,16.48,16.04,,,8.723,,,,10.32,9.696,,,,13.603,,,,29.428,,5.1,,,,12.55,,,8.59,,,
2005-02-04,,,,,,,,,,9.842,,,,,,,,2.721,,,,,,,,,,,,,,,7.67,,,,,,,25.524,,23.86,,,,,,33.698,,,,,,,4.662,5.582,4.905,,13.51,,4.94,7.44,63.568,62.08,62.69,,79.325,,29.165,,9.1,7.484,37.861,16.593,,,8.041,,5.63,,17.805,13.675,,4.7,,15.7,9.09,12.35,82.401,37.121,,16.511,,,218.745,11.108,,5.704,,6.525,39.782,12.845,,9.66,,,,,,17.99,,28.233,17.68,16.14,,,9.273,,,,10.16,9.504,,,,13.042,,,,30.148,,5.02,,,,13.11,,,8.99,,,
2005-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-18,,,,,,,,,,9.842,,,,,,,,3.198,,,,,,,,,,,,,,,7.53,,,,,,,24.794,,24.367,,,,,,33.644,,,,,,,5.299,5.738,5.412,,13.465,,4.9,,62.939,60.386,60.702,,79.253,,28.866,,8.98,7.449,37.087,17.507,,,8.211,,5.76,,17.685,13.835,,4.67,,16.0,8.85,12.3,84.196,35.99,,17.558,,,218.745,10.784,,5.594,,6.686,38.134,12.365,,9.58,,,,,,17.073,,27.362,18.23,16.1,,,8.954,,,,10.2,9.622,,,,13.581,,,,30.724,,4.99,,,,12.77,,,8.79,,,
2005-02-25,,,,,,,,,,10.434,,,,,,,,3.53,,,,,,,,,,,,,,,8.08,,,,,,,25.735,,24.924,,,,,,32.78,,,,,,,5.551,5.992,5.763,,14.544,,5.36,8.03,68.791,63.012,65.79,,80.47,,29.942,,9.56,7.796,39.12,17.409,,,8.909,,6.11,,18.1,14.325,,4.74,,16.5,8.88,13.4,87.46,38.213,,21.199,,,220.268,10.976,,5.774,,7.031,40.431,12.62,,10.41,,,,,,17.106,,27.558,18.47,17.53,,,9.68,,,,10.76,10.669,,,,14.219,,,,32.696,,5.26,,,,13.11,,,8.79,,,
2005-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-04,,,,,,,,,,9.426,,,,,,,,3.219,,,,,,,,,,,,,,,7.86,,,,,,,24.852,,24.924,,,,,,31.898,,,,,,,5.329,5.914,5.841,,14.072,,5.3,7.58,69.137,61.996,63.86,,75.602,,29.224,,9.24,7.356,40.089,16.984,,,9.11,,5.92,,17.335,13.605,,4.69,,15.66,7.9,13.85,87.46,40.241,,20.202,,,209.607,10.592,,5.664,,,38.434,12.155,,10.18,,,,,,15.959,,26.912,18.05,17.03,,,9.163,,,,10.93,10.433,,,,14.076,,,,32.855,,5.21,,,,13.22,,,8.89,,,
2005-03-11,,,,,,,,,,9.554,,,,,,,,3.364,,,,,,,,,,,,,,,8.13,,,,,,,27.06,,27.408,,,,,,31.448,,,,,,,5.462,5.933,6.387,,14.027,,5.37,7.65,74.139,59.962,67.427,,74.457,,28.806,,9.37,7.403,39.024,17.164,,,9.11,,6.17,,17.149,13.275,,4.65,,15.2,7.89,13.01,96.708,43.595,,21.599,,,200.469,10.364,,5.294,,8.297,38.683,11.78,,10.09,,,,,,15.632,,26.547,20.0,18.2,,,9.394,,,,12.35,10.521,,,,14.087,,,,32.293,,5.22,,,,14.17,,,8.9,,,
2005-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-18,,,,,,,,,,8.642,,,,,,,,2.534,,,,,,,,,,,,,,,7.55,,,,,,,26.599,,25.684,,,,,,31.772,,,,,,,4.736,6.85,5.763,,12.723,,4.82,7.12,75.334,57.59,71.813,,69.159,,27.49,,9.34,7.264,37.28,17.197,,,8.537,,5.82,,16.635,13.025,,4.45,,14.61,7.26,11.95,,41.84,,18.805,,,193.235,10.352,,5.124,,6.962,36.387,11.45,,10.16,,,,,,14.059,,24.721,18.47,16.7,,,9.625,,,,12.26,9.386,,,,13.141,,,,31.444,,4.76,,,,14.08,,,8.62,,,
2005-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
