combo,excess,gamma,avg_vol,avg_corr,rebal,hold,tier
"AMD,MU,STX,WDC",4.782978893541445,4.651943971867513,51.02982405031031,0.5435890258717353,20.105334857096846,15.3223559635554,Q1低离散
"AMD,MU,STX,ON",5.360646247584788,5.1453038079902464,50.88741949958112,0.4833805718414667,20.217189852778496,14.856543605193707,Q1低离散
"AMD,MU,STX,ENTG",5.472416489636922,5.430456181744628,52.912721422781374,0.49245300574587764,19.912436457877636,14.440019968240714,Q1低离散
"AMD,MU,STX,RCL",6.181289579999838,6.142326382713717,53.31151487445053,0.4347351106210044,20.297504085927052,14.116214505927216,Q1低离散
"AMD,MU,STX,BIDU",6.664704283408862,6.4045356595652425,51.54952634582804,0.3658336425480085,22.171347611219282,15.506643327810421,Q2
"AMD,MU,STX,TCOM",6.455797155653853,6.1451530761609,50.712476249871386,0.36914185629292,22.17586095625399,15.720063800600137,Q1低离散
"AMD,MU,STX,FSLR",8.02493646230069,7.661715874951892,54.642602659018365,0.33052758399696786,22.589505978322677,14.564569516021987,Q3
"AMD,MU,STX,WLDN",7.678653182593753,7.43366589977932,54.0174837064023,0.3338119914407242,22.327309219945633,14.64865603735188,Q3
"AMD,MU,STX,27_HK",6.19082871841965,6.305193236007904,50.777612370307935,0.35400752718567435,20.289215202826117,14.098386484406467,Q1低离散
"AMD,MU,STX,921_HK",7.209185418397901,6.868376533557418,51.96877583910368,0.3291635196167322,22.238418022301644,15.029232603903742,Q2
"AMD,MU,STX,1919_HK",6.39991524750072,6.534094853660615,51.91826485466068,0.3607508476939308,21.307937907057784,14.908022659557062,Q2
"AMD,MU,STX,2018_HK",6.553606059430117,6.311687591983921,50.85932090656423,0.35451424612428445,21.72315550685875,15.169549447428633,Q1低离散
"AMD,MU,STX,2333_HK",6.757892142627164,6.725771528528567,51.51302302849471,0.329363584116002,23.40805192334483,16.650159780717665,Q2
"AMD,MU,STX,2382_HK",7.285418251492426,6.688048925620968,52.717748415001864,0.36413124876175124,24.23213724309572,16.946718991603294,Q2
"AMD,MU,STX,3323_HK",6.28088575091359,6.618182873775809,51.74110937444036,0.34558479737250414,19.210484388685156,12.929598637771566,Q2
"AMD,MU,STX,AMD_US",6.099001847948005,5.82323665237091,55.54111328183031,0.4967034030588589,22.76806986685187,16.669068018903864,Q1低离散
"AMD,MU,WDC,ON",4.90978441877119,4.701657073041831,49.909787248356515,0.5150726548543448,20.145987346511763,15.236202927740571,Q1低离散
