现有 A股 0 列 | 待抓 143
  1/143 sh688981 中芯国际         315周 2020-07-17~2026-09-09
  2/143 sz002049 紫光国微        1027周 2005-06-10~2026-09-09
  3/143 sh603501 韦尔股份         447周 2017-05-05~2026-09-09
  4/143 sz300782 卓胜微          371周 2019-06-21~2026-09-09
  5/143 sh688012 中微公司         364周 2019-07-26~2026-09-09
  6/143 sh688008 澜起科技         366周 2019-07-26~2026-09-09
  7/143 sz300661 圣邦股份         472周 2017-06-09~2026-09-09
  8/143 sh603986 兆易创新         475周 2016-08-19~2026-09-09
  9/143 sz002185 华天科技         960周 2007-11-23~2026-09-09
 10/143 sh600584 长电科技        1058周 2005-01-07~2026-09-09
 11/143 sz002156 通富微电         961周 2007-08-17~2026-09-09
 12/143 sz300223 北京君正         733周 2011-06-03~2026-09-09
 13/143 sh688521 芯原股份         309周 2020-08-21~2026-09-09
 14/143 sz300373 扬杰科技         642周 2014-01-24~2026-09-09
 15/143 sh688036 传音控股         356周 2019-09-30~2026-09-09
 16/143 sz002415 海康威视         827周 2010-05-28~2026-09-09
 17/143 sz002236 大华股份         936周 2008-05-23~2026-09-09
 18/143 sh600745 闻泰科技         937周 2005-01-07~2026-09-09
 19/143 sz002475 立讯精密         816周 2010-09-17~2026-09-09
 20/143 sz002241 歌尔股份         937周 2008-05-23~2026-09-09
 21/143 sh603160 汇顶科技         505周 2016-10-21~2026-09-09
 22/143 sz300750 宁德时代         422周 2018-06-15~2026-09-09
 23/143 sz002594 比亚迪          777周 2011-07-01~2026-09-09
 24/143 sz300124 汇川技术         816周 2010-09-30~2026-09-09
 25/143 sh688599 天合光能         321周 2020-06-12~2026-09-09
 26/143 sz002459 晶澳科技         809周 2010-08-13~2026-09-09
 27/143 sh601012 隆基绿能         735周 2012-04-13~2026-09-09
 28/143 sz300274 阳光电源         758周 2011-11-04~2026-09-09
 29/143 sh688223 晶科能源         236周 2022-01-28~2026-09-09
 30/143 sz002460 赣锋锂业         811周 2010-08-13~2026-09-09
 31/143 sh603799 华友钴业         591周 2015-01-30~2026-09-09
 32/143 sz002466 天齐锂业         796周 2010-09-03~2026-09-09
 33/143 sh600438 通威股份        1074周 2005-01-07~2026-09-09
 34/143 sz300316 晶盛机电         716周 2012-05-11~2026-09-09
 35/143 sh688390 固德威          309周 2020-09-04~2026-09-09
 36/143 sz300827 上能电气         328周 2020-04-10~2026-09-09
 37/143 sh605117 德业股份         276周 2021-04-23~2026-09-09
 38/143 sz002812 恩捷股份         494周 2016-09-14~2026-09-09
 39/143 sh688567 孚能科技         314周 2020-07-17~2026-09-09
 40/143 sh600276 恒瑞医药        1101周 2005-01-07~2026-09-09
  --- 阶段存盘: A股 40 列 ---
 41/143 sz300760 迈瑞医疗         405周 2018-10-19~2026-09-09
 42/143 sh600196 复星医药        1098周 2005-01-07~2026-09-09
 43/143 sz300347 泰格医药         696周 2012-08-17~2026-09-09
 44/143 sh603259 药明康德         427周 2018-05-11~2026-09-09
 45/143 sz300759 康龙化成         390周 2019-02-01~2026-09-09
 46/143 sh688180 君实生物         316周 2020-07-17~2026-09-09
 47/143 sz300142 沃森生物         760周 2010-11-12~2026-09-09
 48/143 sh600521 华海药业        1099周 2005-01-07~2026-09-09
 49/143 sz002422 科伦药业         831周 2010-06-04~2026-09-09
 50/143 sh688185 康希诺          312周 2020-08-14~2026-09-09
