组合,γ*预测%,实际超额pp,再平衡x,死拿x,平均相关性,平均波动%,赢家集中度,MDD,年数
"['NVDA', 'PLUG', 'OIH', 'PNGASJPUSDM']",17.297733146147706,10.522870194002731,234.5275566487971,37.58307441414263,0.13118859179210804,62.747158397297966,467.78179723494986,-0.6571840362415304,21.5
"['AAPL', 'F', 'PLUG', 'DHHNGSP']",17.700482694343812,5.573817262472192,56.55214077724529,20.262709566338163,0.13703766686791127,62.36215797787964,293.3934931268162,-0.5793612616941572,21.666666666666668
"['AMZN', 'ADI', 'AIG', 'PLUG']",17.49159610078661,4.787376942103538,38.41162204260086,15.699354872512943,0.17622599408060324,60.499297090453766,29.553770963013676,-0.6361058271604565,21.666666666666668
"['MSFT', 'AMZN', 'AIG', 'PLUG']",17.301127661138697,4.376980513593387,40.68372373021141,18.0195582353363,0.19183838026707664,59.499626152166485,15.28544314341535,-0.5899391490987318,21.666666666666668
"['XLB', 'MU', 'AIG', 'PLUG']",18.474283843371825,3.9452687566435385,23.42451747179837,11.043820337880623,0.2632394772219064,62.78190509877918,50.397733680098945,-0.7600784422236203,21.666666666666668
"['CRM', 'AIG', 'PLUG', 'SOXX']",17.91118983817534,2.2391617613573,20.297122086010255,13.251294869643106,0.22710482808689336,62.254927346981994,13.836931999337573,-0.6449720428796806,21.666666666666668
"['QQQ', 'AIG', 'PLUG', 'MGM']",18.332357325791364,0.005215367952460248,5.042270341867154,5.03698519465539,0.31228016530702035,62.16095892592668,34.603919278268854,-0.811166128464887,21.666666666666668
"['RTX', 'PLUG', '2899_HK', 'DHHNGSP']",17.338308220379098,-0.3890348371426766,24.004379782996256,25.813686490574646,0.09875629576579548,60.67071184505164,26.72052034520446,-0.7349699861643296,21.666666666666668
"['STX', 'ENTG', 'CCL', 'PLUG']",18.399652091694648,-0.862273893292298,16.732206689999337,19.702854049895553,0.3115354654582248,65.83758146920493,6.500058297329223,-0.8195631537407877,21.666666666666668
"['AAPL', 'UEC', 'PLUG', '6_HK']",17.590922806844354,-0.8666574261386728,23.13447326506558,26.680646008777078,0.1411196698722366,57.899353744316926,37.96608312393305,-0.49200229760144876,19.416666666666668
"['SMCI', 'C', 'SCHW', 'PLUG']",17.35645950407446,-1.1088181155080923,12.741009376291023,15.389326756433979,0.22721223481232633,63.41836156254571,14.66032817471754,-0.7317921849237023,19.5
"['NFLX', 'PLUG', '688_HK', 'AMD_US']",17.82622310800376,-1.127379602391776,67.75014764374102,80.81192881622924,0.0965476086841171,64.15482955416297,11.845728367464277,-0.7063163327979912,19.5
"['SMCI', 'PLUG', 'LVS', 'XOP']",18.759680979671618,-1.2180606940129124,11.638155356144242,14.333567662245008,0.2042336627133484,67.45061183917957,52.747749419273745,-0.7577062449913148,19.5
"['AIG', 'PLUG', '2382_HK', 'PB']",18.35902826946053,-1.5735086202820714,4.834799220240944,6.304453878813625,0.14491971127939077,65.75407919188163,42.275509150709055,-0.8129788429623107,18.5
"['USO', 'SMCI', 'BIDU', 'PLUG']",18.292332176507415,-2.0986322336919994,13.695605683979931,19.52445869902583,0.180520392966632,66.0141797855543,9.021745711804156,-0.6946884443043337,19.5
"['AIG', 'VLO', 'PLUG', 'NYT']",18.392253004775956,-2.2387066202419925,3.9086633861500926,6.134627834847654,0.1819084376455069,63.995023739241134,15.280700549756752,-0.8358746016747656,21.666666666666668
"['AIG', 'SPGI', 'PLUG', 'MGM']",18.603384076690467,-2.5524470677277478,2.6939580678641506,4.540233054323476,0.2477791586684347,63.77423928145316,17.52400382075163,-0.8678361849533319,21.666666666666668
"['AIG', 'PLUG', 'EBAY', '3328_HK']",17.214690794221895,-2.7761608299438745,3.401187419293337,5.893575327972433,0.1810081690211798,59.55210858314278,2.5137279319592256,-0.6785512847441748,21.25
"['SMCI', 'FCX', 'PLUG', 'LVS']",20.36227829733009,-3.012635237062522,11.919389661022187,19.861387075201634,0.20146729012889283,72.5163846904613,31.72790382502212,-0.752028343149356,19.5
"['USO', 'PLUG', '1919_HK', 'AMD_US']",18.17199514977395,-3.106646692998982,10.471905780301828,17.787339162864573,0.1620528469958806,66.19742843935899,13.933820699956419,-0.8944217004358077,19.5
"['AIG', 'PLUG', '1088_HK', '2331_HK']",17.902952817337674,-3.159990822053249,4.3579010944763965,8.080784024425695,0.14327714636035074,62.07390513016813,2.8537423198844225,-0.7302474315063777,21.25
"['MU', 'PLUG', 'LVS', 'ORANGE']",17.167670667771727,-3.194044046777589,7.817000295679054,14.19990107153651,0.12022392657014382,61.36488961109351,20.19732912851238,-0.7141133640772708,20.916666666666668
"['AIG', 'PLUG', '2331_HK', 'XAU']",17.479747368442744,-3.20837459242056,4.8633816130316685,8.97881135548156,0.04684951813691159,59.378607004513604,2.196587721279048,-0.7141393821078529,20.916666666666668
