组合,γ*预测%,实际超额pp,再平衡x,死拿x,平均相关性,平均波动%,赢家集中度,MDD,年数
"['EEM', 'NVDA', 'CLF', 'MARA']",23.972155416462012,21.21985906031685,184.67611584605433,18.424688360150213,0.3038125110666751,66.6896724113817,762.0397058559098,-0.6002393557009383,14.416666666666666
"['NVDA', 'VALE', 'MSTR', 'MARA']",25.632691793364387,15.596768493004687,186.61403213503377,35.62174583967554,0.2519351265424587,74.8316209859132,152.12504009429085,-0.6036315970614219,14.416666666666666
"['NVDA', 'BK', 'UEC', 'MARA']",24.2192257192774,12.55811523912358,190.77406394296258,51.704100117882085,0.28293320942896344,68.12717532724642,131.6338898752016,-0.5902114491872523,14.333333333333334
"['TSLA', 'AA', 'MARA', '2333_HK']",24.689549918568392,4.72449532933823,44.427182830979994,26.064923262820642,0.2069092589980848,73.43280298887824,84.56098895897242,-0.6621569028513685,14.416666666666666
"['NVDA', 'NFLX', 'AMAT', 'MARA']",22.904456715318496,4.426391524747175,213.04215184250793,136.2767947911171,0.31455132941921576,65.75438982670448,12.767550559270411,-0.5937241952803771,14.416666666666666
"['TSLA', 'INTC', 'AXP', 'MARA']",22.45453295720105,4.195862683189966,45.693681005928454,28.511052280792402,0.2841339634107865,66.3138655667705,37.843422597340215,-0.658571532179026,14.416666666666666
"['NVDA', 'MU', 'MARA', '981_HK']",23.563059780215838,3.104346191641394,226.60191571922493,166.10888800278283,0.19189760131463782,69.47217354486158,8.685295927099304,-0.5653869174129138,14.416666666666666
"['EWG', 'NFLX', 'UEC', 'MARA']",24.779990439151206,-1.1841608276018434,20.004784985677258,22.9654699986786,0.26300118126397404,68.2370391580989,22.870473732199738,-0.718301789507745,14.416666666666666
"['XLE', 'NFLX', 'RCL', 'MARA']",22.78121146611384,-1.3155177239335014,21.336805903516037,24.853609596196208,0.25403759592470626,65.16376572315585,12.504178741097167,-0.7212928950910044,14.416666666666666
"['MRVL', 'CCL', 'TRIP', 'MARA']",23.738971062595304,-1.7413123474085745,4.2824142325887875,5.36392738760779,0.30479155213228887,71.45587559419494,34.038110549175904,-0.6050334026922033,14.416666666666666
"['LLY', 'FDX', 'CLF', 'MARA']",23.058616081900162,-2.0355068353282935,7.9754468839471935,10.259916746258213,0.1994418917034849,65.7468803607699,11.898728377198019,-0.2525445877342737,14.416666666666666
