组合,γ*预测%,实际超额pp,再平衡x,死拿x,平均相关性,平均波动%,赢家集中度,MDD,年数
"['CRM', 'WDC', 'AIG', 'PLUG']",19.0947798307537,1.88493374585339,31.379916591049575,22.087029187441768,0.21241210064753924,66.17996395553665,2.598118443821569,-0.6514639888935849,21.666666666666668
"['AIG', 'FICO', 'VLO', 'PLUG']",18.463176829829614,-0.5251116774491082,10.14719334648772,11.236766288860494,0.22327844286014675,64.25616670425705,3.857134923706158,-0.7851541888585436,21.666666666666668
"['INTC', 'MU', 'ENTG', 'PLUG']",17.406868668481998,-0.8973990998537129,27.49817131905641,32.47072059868897,0.34863475760434764,62.884528947121446,9.067605022966072,-0.7737753344891924,21.666666666666668
"['ENTG', 'AIG', 'STLD', 'PLUG']",20.11539820497148,-0.9176985416454286,10.133001553658916,12.10651605074567,0.26976843759018915,69.11041751704155,3.2645243285545176,-0.8121097527326299,21.666666666666668
"['BIDU', 'FCX', 'PLUG', '2899_HK']",17.555791304432827,-1.1957935724330016,22.557716622514455,28.00652053828167,0.28117000577770157,64.01309916472087,9.692405350369917,-0.7480566661467415,21.083333333333332
"['MU', 'BIDU', 'PLUG', '2899_HK_ZIJIN']",17.203191805489503,-2.4984603149992957,43.08732975808122,66.64211114806078,0.23224250377892472,63.12697495499846,1.9781242783747488,-0.7431409192019496,21.083333333333332
"['GS', 'AIG', 'TGT', 'PLUG']",17.244113862558187,-2.6059956460895206,3.168304065553911,5.376594010537128,0.2244654958180866,59.54292790290888,5.863579992733925,-0.6933813462554181,21.666666666666668
"['AIG', 'PLUG', '688_HK', '1171_HK']",17.648359838624966,-2.6533317174803006,4.738007317564713,8.0379699482723,0.15048099361662395,61.26763862010729,3.865153979003756,-0.5758037475469108,21.666666666666668
"['EEM', 'PLUG', '921_HK', 'AMD_US']",17.252702851435853,-2.6970159199896315,24.89471239200728,37.936117171945405,0.17699412383413946,62.76581038062198,3.806441138398466,-0.7408159044792133,18.75
"['STX', 'PLUG', 'VZ', 'MSTR']",17.967101187912807,-2.8890200785010256,17.65972835753336,30.34794085906747,0.16119085800666402,61.50475175454042,5.260101967908643,-0.6483528971355584,21.666666666666668
"['MU', 'VRTX', 'PLUG', '981_HK']",17.238022666428243,-2.9571428047645565,35.32238030969385,60.42071005688707,0.14403494586128784,62.51802636014805,3.5212437305440583,-0.6119196316267009,21.666666666666668
"['BIDU', 'TCOM', 'PLUG', '1211_HK']",17.529352329188093,-3.0131812685510795,22.7640262119602,39.093072386039594,0.25709782148481325,63.992429865245846,5.80363359437176,-0.5566122895251928,21.083333333333332
"['AIG', 'GD', 'RIO', 'PLUG']",17.245916086396317,-3.1528578974930443,2.5680957732476064,4.891546193681545,0.2407510952966112,59.14094877717911,4.072296600438863,-0.735852020750652,21.666666666666668
"['ENTG', 'PLUG', 'WBD', '1211_HK']",17.736621395053213,-3.3393342566214956,18.493424197182904,33.934977691450875,0.19854755628214604,64.27748676530899,7.337471664738036,-0.682777497909943,21.166666666666668
"['SMCI', 'OXY', 'PLUG', '3968_HK']",17.566498881270178,-3.4663549336597876,13.438556570016562,24.06964340524038,0.1807511972127127,64.07849772444736,10.06405231935353,-0.709492443233872,19.5
"['ADBE', 'HAL', 'PLUG', 'AMD_US']",17.133287636617744,-3.7529396784536706,10.992265999867765,20.777127564776823,0.20017177137906728,62.67254397538436,9.977234571524994,-0.6900375548196613,19.5
"['PRU', 'F', 'PLUG', 'MSTR']",18.05245047869691,-3.8798872216275315,5.2873525763179545,11.360131921012213,0.24975282048254754,63.62853138958896,11.263991969167575,-0.7585309728271163,21.666666666666668
"['ENTG', 'CCL', 'PLUG', 'WBD']",17.28998678484914,-3.8909389135254546,4.078016846637779,8.693534087799597,0.2798141467255903,63.13820192813363,5.573802628158291,-0.6096117962891439,21.166666666666668
"['AIG', 'EOG', 'FCX', 'PLUG']",19.650319517392617,-3.983115662635295,2.951626871662196,6.607077368402234,0.22820573131201274,67.51799494319421,3.6273944305970085,-0.6989488720536419,21.666666666666668
"['ENTG', 'F', 'VALE', 'PLUG']",17.227849888537435,-4.0143929789827615,4.6305066216965995,10.260098262387881,0.2615872259855832,62.5774172671305,9.71578864255059,-0.7122973365350701,21.666666666666668
