,close
2004-06-18,4.025
2004-06-25,4.4
2004-07-02,4.35
2004-07-09,4.075
2004-07-16,3.7
2004-07-23,3.525
2004-07-30,3.85
2004-08-06,4.0
2004-08-13,3.75
2004-08-20,3.725
2004-08-27,3.5
2004-09-03,3.6
2004-09-10,3.7
2004-09-17,3.85
2004-09-24,3.8
2004-09-30,3.8
2004-10-08,4.275
2004-10-15,4.525
2004-10-21,4.3
2004-10-29,4.575
2004-11-05,4.525
2004-11-12,4.625
2004-11-19,4.9
2004-11-26,5.45
2004-12-03,5.85
2004-12-10,5.6
2004-12-17,5.55
2004-12-24,4.975
2004-12-31,4.65
2005-01-07,4.75
2005-01-14,4.75
2005-01-21,4.325
2005-01-28,4.5
2005-02-04,5.0
2005-02-08,4.825
2005-02-18,4.925
2005-02-25,5.25
2005-03-04,5.2
2005-03-11,5.25
2005-03-18,5.25
2005-03-24,5.8
2005-04-01,5.65
2005-04-08,5.5
2005-04-15,5.2
2005-04-22,5.42
2005-04-29,5.47
2005-05-06,5.67
2005-05-13,5.32
2005-05-20,5.57
2005-05-27,5.67
2005-06-03,5.72
2005-06-10,5.97
2005-06-17,6.32
2005-06-24,6.52
2005-06-30,5.97
2005-07-08,6.12
2005-07-15,6.42
2005-07-22,5.92
2005-07-29,6.17
2005-08-05,5.92
2005-08-12,7.42
2005-08-19,7.02
2005-08-26,8.02
2005-09-02,8.37
2005-09-09,8.22
2005-09-16,8.02
2005-09-23,9.07
2005-09-30,9.47
2005-10-07,9.02
2005-10-14,8.27
2005-10-21,8.82
2005-10-28,8.07
2005-11-04,8.72
2005-11-11,8.97
2005-11-18,8.27
2005-11-25,8.67
2005-12-02,8.22
2005-12-09,8.32
2005-12-16,8.27
2005-12-23,8.52
2005-12-30,8.37
2006-01-06,9.47
2006-01-13,10.07
2006-01-20,10.02
2006-01-27,10.07
2006-02-03,10.02
2006-02-10,10.07
2006-02-17,10.67
2006-02-24,10.47
2006-03-03,10.42
2006-03-10,10.02
2006-03-17,10.97
2006-03-24,12.07
2006-03-31,13.12
2006-04-07,14.07
2006-04-13,14.17
2006-04-21,15.22
2006-04-28,15.77
2006-05-04,15.77
2006-05-12,15.52
2006-05-19,15.2
2006-05-26,17.7
2006-06-02,17.45
2006-06-09,16.4
2006-06-16,16.05
2006-06-23,15.65
2006-06-30,16.45
2006-07-07,15.65
2006-07-14,15.6
2006-07-21,14.9
2006-07-28,15.11
2006-08-04,16.59
2006-08-11,16.61
2006-08-18,17.63
2006-08-25,17.11
2006-09-01,17.13
2006-09-08,18.25
2006-09-15,18.71
2006-09-22,18.71
2006-09-29,18.09
2006-10-06,18.43
2006-10-13,18.25
2006-10-20,18.65
2006-10-27,18.21
2006-11-03,20.2
2006-11-10,21.55
2006-11-17,21.45
2006-11-24,22.1
2006-12-01,21.4
2006-12-08,22.4
2006-12-15,22.7
2006-12-22,25.85
2006-12-29,27.85
2007-01-05,28.65
2007-01-12,27.9
2007-01-19,30.05
2007-01-26,31.75
2007-02-02,29.35
2007-02-09,30.65
2007-02-16,29.35
2007-02-23,27.9
2007-03-02,27.1
2007-03-09,28.45
2007-03-16,28.7
2007-03-23,27.1
2007-03-30,25.65
2007-04-04,25.4
2007-04-13,25.25
2007-04-20,25.05
2007-04-27,27.65
2007-05-04,30.15
2007-05-11,29.77
2007-05-18,33.12
2007-05-25,32.27
2007-06-01,33.17
2007-06-08,32.22
2007-06-15,32.17
2007-06-22,32.62
2007-06-29,31.77
2007-07-06,35.27
2007-07-13,36.17
2007-07-20,36.02
2007-07-27,34.92
2007-08-03,34.87
2007-08-10,35.27
2007-08-17,30.57
2007-08-24,35.57
2007-08-31,40.77
2007-09-07,41.47
2007-09-14,41.32
2007-09-21,45.27
2007-09-28,50.47
2007-10-05,45.97
2007-10-12,53.27
2007-10-18,58.02
2007-10-26,63.67
2007-11-02,64.37
2007-11-09,54.02
2007-11-16,55.47
2007-11-23,48.52
2007-11-30,58.47
2007-12-07,57.62
2007-12-14,56.67
2007-12-21,55.32
2007-12-28,56.27
2008-01-04,62.37
2008-01-11,59.12
2008-01-18,48.62
2008-01-25,49.32
2008-02-01,47.72
2008-02-06,47.02
2008-02-15,50.17
2008-02-22,47.47
2008-02-29,49.87
2008-03-07,47.22
2008-03-14,47.07
2008-03-20,39.37
2008-03-28,45.87
2008-04-03,48.27
2008-04-11,46.77
2008-04-18,49.87
2008-04-25,54.77
2008-05-02,56.32
2008-05-09,58.03
2008-05-16,67.38
2008-05-23,67.63
2008-05-30,66.13
2008-06-06,68.83
2008-06-13,62.53
2008-06-20,63.33
2008-06-27,60.43
2008-07-04,60.43
2008-07-11,66.03
2008-07-18,63.43
2008-07-25,67.13
2008-08-01,72.18
2008-08-08,67.03
2008-08-15,64.13
2008-08-21,64.83
2008-08-29,67.43
2008-09-05,60.08
2008-09-12,60.78
2008-09-19,61.43
2008-09-26,57.03
2008-10-03,51.43
2008-10-10,45.53
2008-10-17,50.18
2008-10-24,44.38
2008-10-31,55.43
2008-11-07,52.43
2008-11-14,50.58
2008-11-21,40.43
2008-11-28,42.93
2008-12-05,44.43
2008-12-12,47.18
2008-12-19,51.43
2008-12-24,50.28
2009-01-02,52.43
2009-01-09,43.43
2009-01-16,43.28
2009-01-23,44.68
2009-01-30,48.83
2009-02-06,46.28
2009-02-13,49.13
2009-02-20,46.08
2009-02-27,45.38
2009-03-06,46.93
2009-03-13,52.03
2009-03-20,53.23
2009-03-27,57.73
2009-04-03,59.88
2009-04-09,62.23
2009-04-17,66.23
2009-04-24,66.38
2009-04-30,69.43
2009-05-08,74.28
2009-05-15,80.33
2009-05-22,78.68
2009-05-29,87.18
2009-06-05,91.73
2009-06-12,90.58
2009-06-19,91.28
2009-06-26,93.78
2009-07-03,89.53
2009-07-10,91.08
2009-07-17,99.28
2009-07-24,104.28
2009-07-31,105.38
2009-08-07,107.48
2009-08-14,119.48
2009-08-21,115.98
2009-08-28,116.08
2009-09-04,123.08
2009-09-11,126.78
2009-09-18,127.08
2009-09-25,127.98
2009-10-02,123.68
2009-10-09,129.48
2009-10-16,137.98
2009-10-23,149.48
2009-10-30,137.88
2009-11-06,139.38
2009-11-13,149.28
2009-11-20,145.38
2009-11-27,139.78
2009-12-04,150.28
2009-12-11,158.08
2009-12-18,153.18
2009-12-24,162.38
2009-12-31,169.28
2010-01-08,168.68
2010-01-15,176.18
2010-01-22,151.28
2010-01-29,145.98
2010-02-05,139.18
2010-02-12,148.98
2010-02-19,143.48
2010-02-26,152.98
2010-03-05,159.08
2010-03-12,161.98
2010-03-19,156.78
2010-03-26,158.88
2010-04-01,154.88
2010-04-09,162.18
2010-04-16,159.28
2010-04-23,162.68
2010-04-30,164.18
2010-05-07,153.18
2010-05-14,162.58
2010-05-20,150.38
2010-05-28,151.38
2010-06-04,152.08
2010-06-11,134.08
2010-06-18,130.88
2010-06-25,130.88
2010-07-02,130.78
2010-07-09,140.18
2010-07-16,139.58
2010-07-23,139.18
2010-07-30,150.88
2010-08-06,153.98
2010-08-13,145.98
2010-08-20,149.78
2010-08-27,142.18
2010-09-03,146.38
2010-09-10,150.98
2010-09-17,156.48
2010-09-24,161.78
2010-09-30,170.78
2010-10-08,173.58
2010-10-15,185.18
2010-10-22,186.08
2010-10-29,178.68
2010-11-05,183.98
2010-11-12,176.48
2010-11-19,177.38
2010-11-26,167.28
2010-12-03,172.78
2010-12-10,183.28
2010-12-17,174.68
2010-12-24,174.88
2010-12-31,170.08
2011-01-07,179.18
2011-01-14,202.18
2011-01-21,191.28
2011-01-28,204.58
2011-02-02,209.58
2011-02-11,198.48
2011-02-18,209.38
2011-02-25,200.78
2011-03-04,222.18
2011-03-11,217.78
2011-03-18,192.98
2011-03-25,197.88
2011-04-01,194.08
2011-04-08,206.98
2011-04-15,201.98
2011-04-21,220.78
2011-04-29,222.18
2011-05-06,213.33
2011-05-13,220.73
2011-05-20,221.93
2011-05-27,216.93
2011-06-03,222.73
2011-06-10,206.53
2011-06-17,190.53
2011-06-24,211.53
2011-06-30,212.93
2011-07-08,214.33
2011-07-15,213.93
2011-07-22,207.93
2011-07-29,204.53
2011-08-05,199.23
2011-08-12,185.33
2011-08-19,173.73
2011-08-26,177.13
2011-09-02,189.03
2011-09-09,186.23
2011-09-16,180.03
2011-09-23,160.73
2011-09-30,165.93
2011-10-07,172.63
2011-10-14,174.33
2011-10-21,165.03
2011-10-28,188.73
2011-11-04,183.73
2011-11-11,159.43
2011-11-18,151.93
2011-11-25,152.73
2011-12-02,153.73
2011-12-09,150.53
2011-12-16,154.43
2011-12-23,160.73
2011-12-30,157.83
2012-01-06,156.23
2012-01-13,171.83
2012-01-20,183.43
2012-01-27,183.03
2012-02-03,187.63
2012-02-10,187.73
2012-02-17,199.73
2012-02-24,201.63
2012-03-02,201.73
2012-03-09,200.53
2012-03-16,218.73
2012-03-23,223.73
2012-03-30,218.33
2012-04-05,224.53
2012-04-13,227.93
2012-04-20,235.73
2012-04-27,235.73
2012-05-04,244.33
2012-05-11,225.33
2012-05-18,226.48
2012-05-25,219.48
2012-06-01,216.48
2012-06-08,223.08
2012-06-15,232.68
2012-06-22,225.28
2012-06-29,228.48
2012-07-06,238.08
2012-07-13,226.08
2012-07-20,234.48
2012-07-27,231.48
2012-08-03,232.88
2012-08-10,235.28
2012-08-17,250.68
2012-08-24,247.48
2012-08-31,239.48
2012-09-07,245.68
2012-09-14,258.08
2012-09-21,256.48
2012-09-28,266.68
2012-10-05,266.48
2012-10-12,261.28
2012-10-19,264.28
2012-10-26,269.28
2012-11-02,280.68
2012-11-09,269.48
2012-11-16,250.68
2012-11-23,258.88
2012-11-30,255.68
2012-12-07,253.48
2012-12-14,254.08
2012-12-21,250.28
2012-12-28,252.48
2013-01-04,261.68
2013-01-11,257.68
2013-01-18,272.88
2013-01-25,269.68
2013-02-01,271.08
2013-02-08,273.08
2013-02-15,276.88
2013-02-22,266.88
2013-03-01,271.08
2013-03-08,286.88
2013-03-15,276.68
2013-03-22,247.88
2013-03-28,249.28
2013-04-05,239.68
2013-04-12,252.48
2013-04-19,255.48
2013-04-26,261.48
2013-05-03,273.48
2013-05-10,279.28
2013-05-16,294.68
2013-05-24,302.88
2013-05-31,311.28
2013-06-07,303.28
2013-06-14,304.28
2013-06-21,289.28
2013-06-28,307.68
2013-07-05,311.88
2013-07-12,313.28
2013-07-19,337.28
2013-07-26,350.88
2013-08-02,363.68
2013-08-09,360.88
2013-08-16,370.08
2013-08-23,359.28
2013-08-30,367.08
2013-09-06,390.48
2013-09-13,414.28
2013-09-19,413.68
2013-09-27,421.28
2013-10-04,422.68
2013-10-11,422.48
2013-10-18,433.28
2013-10-25,429.68
2013-11-01,426.08
2013-11-08,404.88
2013-11-15,423.08
2013-11-22,428.08
2013-11-29,451.88
2013-12-06,463.48
2013-12-13,469.68
2013-12-20,467.08
2013-12-27,486.68
2014-01-03,497.48
2014-01-10,500.88
2014-01-17,532.48
2014-01-24,504.48
2014-01-30,546.98
2014-02-07,527.98
2014-02-14,551.98
2014-02-21,583.98
2014-02-28,625.98
2014-03-07,633.98
2014-03-14,567.48
2014-03-21,575.98
2014-03-28,538.48
2014-04-04,528.48
2014-04-11,528.48
2014-04-17,528.98
2014-04-25,526.98
2014-05-02,498.88
2014-05-09,482.28
2014-05-16,537.18
2014-05-23,560.18
2014-05-30,551.18
2014-06-06,545.68
2014-06-13,585.18
2014-06-20,583.68
2014-06-27,596.68
2014-07-04,630.18
2014-07-11,612.68
2014-07-18,619.18
2014-07-25,629.18
2014-08-01,645.68
2014-08-08,653.68
2014-08-15,656.18
2014-08-22,658.18
2014-08-29,637.18
2014-09-05,646.18
2014-09-12,619.18
2014-09-19,630.68
2014-09-26,587.18
2014-10-03,584.68
2014-10-10,583.18
2014-10-17,568.18
2014-10-24,602.18
2014-10-31,622.68
2014-11-07,620.18
2014-11-14,664.18
2014-11-21,625.68
2014-11-28,624.68
2014-12-05,599.18
2014-12-12,573.18
2014-12-19,583.18
2014-12-24,568.18
2015-01-02,568.68
2015-01-09,640.68
2015-01-16,614.18
2015-01-23,668.18
2015-01-30,664.68
2015-02-06,675.68
2015-02-13,655.68
2015-02-18,654.18
2015-02-27,684.18
2015-03-06,663.18
2015-03-13,672.68
2015-03-20,717.68
2015-03-27,714.18
2015-04-02,753.68
2015-04-10,813.68
2015-04-17,798.68
2015-04-24,812.68
2015-04-30,809.18
2015-05-08,774.68
2015-05-15,817.98
2015-05-22,800.48
2015-05-29,784.98
2015-06-05,779.98
2015-06-12,792.48
2015-06-19,777.48
2015-06-26,805.98
2015-07-03,781.98
2015-07-10,750.98
2015-07-17,774.48
2015-07-24,763.98
2015-07-31,729.98
2015-08-07,716.98
2015-08-14,723.48
2015-08-21,664.48
2015-08-28,659.98
2015-09-04,643.48
2015-09-11,643.48
2015-09-18,682.98
2015-09-25,661.48
2015-10-02,683.98
2015-10-09,715.98
2015-10-16,739.48
2015-10-23,752.48
2015-10-30,739.48
2015-11-06,778.98
2015-11-13,767.48
2015-11-20,781.98
2015-11-27,772.48
2015-12-04,761.48
2015-12-11,744.48
2015-12-18,762.98
2015-12-24,765.48
2015-12-31,768.98
2016-01-08,719.48
2016-01-15,691.48
2016-01-22,701.48
2016-01-29,730.98
2016-02-05,725.98
2016-02-12,672.98
2016-02-19,712.48
2016-02-26,719.98
2016-03-04,742.48
2016-03-11,746.98
2016-03-18,795.98
2016-03-24,800.48
2016-04-01,798.98
2016-04-08,806.48
2016-04-15,832.98
2016-04-22,820.48
2016-04-29,800.98
2016-05-06,775.98
2016-05-13,781.98
2016-05-20,801.33
2016-05-27,864.83
2016-06-03,862.83
2016-06-10,884.33
2016-06-17,853.33
2016-06-24,877.83
2016-06-30,889.33
2016-07-08,893.83
2016-07-15,932.83
2016-07-22,934.83
2016-07-29,941.33
2016-08-05,931.83
2016-08-12,947.83
2016-08-19,1017.83
2016-08-26,1010.83
2016-09-02,1017.83
2016-09-09,1077.83
2016-09-15,1057.83
2016-09-23,1099.83
2016-09-30,1073.83
2016-10-07,1089.83
2016-10-14,1053.83
2016-10-20,1079.83
2016-10-28,1048.83
2016-11-04,1008.83
2016-11-11,1008.83
2016-11-18,985.83
2016-11-25,973.83
2016-12-02,963.83
2016-12-09,949.83
2016-12-16,928.33
2016-12-23,907.33
2016-12-30,957.33
2017-01-06,984.33
2017-01-13,1007.33
2017-01-20,997.33
2017-01-27,1030.83
2017-02-03,1033.83
2017-02-10,1021.83
2017-02-17,1069.83
2017-02-24,1064.83
2017-03-03,1044.83
2017-03-10,1070.83
2017-03-17,1118.83
2017-03-24,1134.83
2017-03-31,1122.83
2017-04-07,1144.83
2017-04-13,1161.83
2017-04-21,1190.83
2017-04-28,1225.83
2017-05-05,1227.83
2017-05-12,1299.83
2017-05-19,1353.88
2017-05-26,1401.88
2017-06-02,1361.88
2017-06-09,1398.88
2017-06-16,1374.88
2017-06-23,1412.88
2017-06-30,1407.88
2017-07-07,1356.88
2017-07-14,1435.88
2017-07-21,1496.88
2017-07-28,1535.88
2017-08-04,1568.88
2017-08-11,1564.88
2017-08-18,1640.88
2017-08-25,1653.88
2017-09-01,1642.88
2017-09-08,1620.88
2017-09-15,1705.88
2017-09-22,1742.88
2017-09-29,1692.88
2017-10-06,1771.88
2017-10-13,1757.88
2017-10-20,1759.88
2017-10-27,1750.88
2017-11-03,1851.88
2017-11-10,1938.88
2017-11-17,2028.88
2017-11-24,2090.88
2017-12-01,1936.88
2017-12-08,1981.88
2017-12-15,1956.88
2017-12-22,2040.88
2017-12-29,2041.88
2018-01-05,2177.88
2018-01-12,2222.88
2018-01-19,2273.88
2018-01-26,2367.88
2018-02-02,2273.88
2018-02-09,2048.88
2018-02-15,2246.88
2018-02-23,2278.88
2018-03-02,2191.88
2018-03-09,2246.88
2018-03-16,2337.88
2018-03-23,2111.88
2018-03-29,2059.88
2018-04-06,2040.88
2018-04-13,2051.88
2018-04-20,2012.88
2018-04-27,1953.88
2018-05-04,1925.88
2018-05-11,2055.88
2018-05-18,2071.28
2018-05-25,2036.28
2018-06-01,2036.28
2018-06-08,2091.28
2018-06-15,2066.28
2018-06-22,2003.28
2018-06-29,1985.28
2018-07-06,1949.28
2018-07-13,1921.28
2018-07-20,1899.28
2018-07-27,1881.28
2018-08-03,1765.28
2018-08-10,1866.28
2018-08-17,1701.28
2018-08-24,1786.28
2018-08-31,1716.28
2018-09-07,1600.28
2018-09-14,1666.28
2018-09-21,1688.28
2018-09-28,1632.28
2018-10-05,1541.28
2018-10-12,1458.28
2018-10-19,1426.28
2018-10-26,1316.28
2018-11-02,1534.28
2018-11-09,1412.28
2018-11-16,1468.28
2018-11-23,1472.28
2018-11-30,1576.28
2018-12-07,1569.28
2018-12-14,1560.28
2018-12-21,1592.28
2018-12-28,1566.28
2019-01-04,1569.28
2019-01-11,1672.28
2019-01-18,1701.28
2019-01-25,1735.28
2019-02-01,1756.28
2019-02-08,1744.28
2019-02-15,1685.28
2019-02-22,1736.28
2019-03-01,1697.28
2019-03-08,1751.28
2019-03-15,1811.28
2019-03-22,1841.28
2019-03-29,1821.28
2019-04-04,1896.28
2019-04-12,1985.28
2019-04-18,1974.28
2019-04-26,1936.28
2019-05-03,1955.28
2019-05-10,1926.28
