,close
2005-01-07,7.95
2005-01-14,7.25
2005-01-21,7.11
2005-01-28,7.07
2005-02-04,7.67
2005-02-18,7.53
2005-02-25,8.08
2005-03-04,7.86
2005-03-11,8.13
2005-03-18,7.55
2005-03-25,7.68
2005-04-01,7.51
2005-04-08,7.63
2005-04-15,7.88
2005-04-22,8.12
2005-04-29,8.37
2005-05-13,8.29
2005-05-19,8.33
2005-05-27,7.76
2005-06-03,7.46
2005-06-10,8.57
2005-06-17,8.76
2005-06-24,9.27
2005-07-01,9.36
2005-07-08,9.3
2005-07-15,9.09
2005-07-22,9.29
2005-07-29,9.81
2005-08-05,9.62
2005-08-12,10.25
2005-08-19,10.23
2005-08-26,10.18
2005-09-02,10.47
2005-09-09,10.29
2005-09-16,10.54
2005-09-23,9.67
2005-09-30,9.68
2005-10-14,10.07
2005-10-21,10.74
2005-10-28,10.16
2005-11-04,10.75
2005-11-11,9.95
2005-11-18,10.17
2005-11-25,9.89
2005-12-02,9.69
2005-12-09,9.96
2005-12-16,10.29
2005-12-23,11.01
2005-12-30,11.62
2006-01-06,11.79
2006-01-25,12.93
2006-02-10,13.75
2006-03-03,14.288
2006-03-10,14.909
2006-03-17,15.346
2006-03-24,16.036
2006-03-31,15.335
2006-04-07,16.462
2006-04-14,16.381
2006-04-21,18.762
2006-04-28,19.36
2006-05-12,19.394
2006-05-19,19.923
2006-05-26,18.17
2006-06-02,19.09
2006-06-09,17.043
2006-06-16,17.756
2006-06-23,18.492
2006-06-30,21.206
2006-07-07,21.528
2006-07-14,18.814
2006-07-21,18.446
2006-07-28,17.802
2006-08-04,17.25
2006-08-11,19.504
2006-08-18,18.63
2006-08-25,19.458
2006-09-01,19.228
2006-09-08,18.791
2006-09-15,18.745
2006-09-22,18.515
2006-09-29,20.884
2006-10-13,20.976
2006-10-20,23.621
2006-10-27,22.908
2006-11-03,24.633
2006-11-10,23.368
2006-11-17,22.655
2006-11-24,22.218
2006-12-01,25.921
2006-12-08,24.541
2006-12-15,28.52
2006-12-22,30.061
2006-12-29,31.556
2007-01-05,30.268
2007-01-12,30.061
2007-01-19,36.087
2007-01-26,35.006
2007-02-02,34.868
2007-02-09,40.365
2007-02-16,41.009
2007-03-02,37.651
2007-03-09,42.573
2007-03-16,42.251
2007-03-23,47.38
2007-03-30,51.865
2007-04-06,60.927
2007-04-13,61.985
2007-04-20,66.286
2007-04-27,66.056
2007-05-11,63.549
2007-05-18,70.84
2007-05-25,75.256
2007-06-01,67.022
2007-06-08,68.402
2007-06-15,68.402
2007-06-22,68.034
2007-06-29,51.704
2007-07-06,49.634
2007-07-13,51.152
2007-07-20,53.958
2007-07-27,60.628
2007-08-03,68.862
2007-08-10,62.146
2007-08-17,62.56
2007-08-24,63.296
2007-08-31,66.838
2007-09-07,65.228
2007-09-14,61.502
2007-09-21,64.308
2007-09-28,64.124
2007-10-12,65.32
2007-10-19,70.702
2007-10-26,56.35
2007-11-02,54.004
2007-11-09,51.796
2007-11-16,49.266
2007-11-21,51.474
2007-11-30,50.784
2007-12-07,52.992
2007-12-14,59.892
2007-12-21,61.916
2007-12-28,63.664
2008-01-04,67.16
2008-01-10,71.852
2008-01-18,69.138
2008-01-24,73.738
2008-02-01,74.566
2008-02-05,72.22
2008-02-15,79.12
2008-02-22,100.234
2008-02-29,116.932
2008-03-07,107.962
2008-03-14,95.634
2008-03-21,96.324
2008-03-28,87.492
2008-04-03,68.862
2008-04-11,73.186
2008-04-18,67.62
2008-04-25,74.198
2008-04-30,81.65
2008-05-09,93.38
2008-05-16,85.33
2008-05-23,87.354
2008-05-30,81.65
2008-06-06,73.278
2008-06-13,63.572
2008-06-20,58.466
2008-06-27,60.858
2008-07-04,74.106
2008-07-11,74.474
2008-07-14,81.88
2008-07-25,79.534
2008-08-01,72.726
2008-08-08,60.72
2008-08-15,54.004
2008-08-22,53.544
2008-08-29,48.438
2008-09-05,40.986
2008-09-12,36.386
2008-09-19,39.744
2008-09-26,39.928
2008-10-10,33.212
2008-10-17,29.67
2008-10-24,29.394
2008-10-31,24.84
2008-11-07,24.748
2008-11-14,30.866
2008-11-21,30.314
2008-11-28,28.382
2008-12-05,35.696
2008-12-12,34.408
2008-12-19,36.202
2008-12-26,30.774
2008-12-31,31.142
2009-01-09,35.328
2009-01-16,35.88
2009-01-23,37.49
2009-02-06,40.71
2009-02-13,45.862
2009-02-20,43.746
2009-02-27,38.594
2009-03-06,39.928
2009-03-13,37.214
2009-03-20,40.112
2009-03-27,49.082
2009-04-03,48.208
2009-04-10,51.152
2009-04-17,49.45
2009-04-24,46.322
2009-04-30,44.528
2009-05-08,48.07
2009-05-15,46.276
2009-05-22,45.034
2009-05-27,44.942
2009-06-05,46.368
2009-06-12,43.102
2009-06-19,43.884
2009-06-26,45.862
2009-07-03,47.84
2009-07-10,47.334
2009-07-17,48.346
2009-07-24,47.794
2009-07-31,46.506
2009-08-07,47.104
2009-08-14,42.504
2009-08-21,38.41
2009-08-28,39.468
2009-09-04,41.584
2009-09-11,41.17
2009-09-18,41.86
2009-09-25,38.87
2009-09-30,36.34
2009-10-09,37.904
2009-10-16,39.652
2009-10-23,40.526
2009-10-30,39.192
2009-11-06,42.274
2009-11-13,43.792
2009-11-20,50.922
2009-11-27,46.966
2009-12-04,52.348
2009-12-11,52.118
2009-12-18,47.84
2009-12-25,47.564
2009-12-31,48.806
2010-01-08,49.91
2010-01-15,53.084
2010-01-22,51.428
2010-01-29,53.084
2010-02-05,54.924
2010-02-12,52.624
2010-02-26,57.822
2010-03-05,56.902
2010-03-12,53.728
2010-03-19,54.878
2010-03-26,53.59
2010-04-02,54.234
2010-04-09,53.406
2010-04-16,55.062
2010-04-23,52.072
2010-04-30,44.206
2010-05-07,46.69
2010-05-14,42.642
2010-05-21,37.444
2010-05-28,43.47
2010-06-04,41.584
2010-06-11,42.412
2010-06-18,39.836
2010-06-25,37.72
2010-07-02,33.948
2010-07-09,34.408
2010-07-16,36.064
2010-07-23,36.984
2010-07-30,38.364
2010-08-06,40.526
2010-08-13,39.698
2010-08-20,39.79
2010-08-27,39.192
2010-09-03,44.16
2010-09-10,45.448
2010-09-17,44.528
2010-09-21,43.792
2010-09-30,45.77
2010-10-08,46.92
2010-10-15,43.792
2010-10-22,43.424
2010-10-29,43.838
2010-11-05,48.714
2010-11-12,45.264
2010-11-19,44.436
2010-11-26,47.288
2010-12-03,46.644
2010-12-10,43.056
2010-12-17,46.184
2010-12-24,43.746
2010-12-31,42.734
2011-01-07,42.688
2011-01-14,45.172
2011-01-21,41.584
2011-01-28,41.124
2011-02-01,41.768
2011-02-11,43.194
2011-02-18,44.068
2011-02-25,45.08
2011-03-04,45.264
2011-03-11,46.138
2011-03-18,46.552
2011-03-25,46.322
2011-04-01,45.126
2011-04-08,45.218
2011-04-15,44.344
2011-04-22,41.906
2011-04-29,38.778
2011-05-06,38.87
2011-05-13,39.054
2011-05-20,39.652
2011-05-27,36.938
2011-06-03,35.236
2011-06-10,35.282
2011-06-17,35.052
2011-06-24,36.34
2011-07-01,36.478
2011-07-08,37.214
2011-07-15,37.858
2011-07-22,37.076
2011-07-29,35.696
2011-08-05,34.086
2011-08-12,35.972
2011-08-19,39.468
2011-08-26,39.836
2011-09-02,37.214
2011-09-09,34.546
2011-09-16,34.178
2011-09-23,32.614
2011-09-30,29.992
2011-10-14,31.418
2011-10-21,28.52
2011-10-28,30.176
2011-11-04,31.28
2011-11-11,29.762
2011-11-18,29.716
2011-11-25,28.75
2011-12-02,27.968
2011-12-09,26.726
2011-12-16,24.058
2011-12-23,22.954
2011-12-30,23.46
2012-01-06,22.218
2012-01-13,22.908
2012-01-20,23.966
2012-02-03,24.656
2012-02-10,24.978
2012-02-17,26.496
2012-02-24,27.922
2012-03-02,27.968
2012-03-09,27.83
2012-03-16,26.174
2012-03-23,26.266
2012-03-30,24.518
2012-04-06,25.346
2012-04-13,26.22
2012-04-20,27.14
2012-04-27,26.358
2012-05-04,25.346
2012-05-11,24.518
2012-05-18,23.874
2012-05-25,23.276
2012-06-01,24.426
2012-06-08,23.184
2012-06-15,24.15
2012-06-20,25.99
2012-06-29,29.394
2012-07-06,32.2
2012-07-13,34.776
2012-07-20,33.58
2012-07-27,30.176
2012-08-03,32.292
2012-08-10,32.706
2012-08-17,29.164
2012-08-24,27.232
2012-08-31,26.174
2012-09-07,29.072
2012-09-14,27.462
2012-09-21,25.162
2012-09-28,26.68
2012-10-12,26.588
2012-10-19,26.542
2012-10-26,25.024
2012-11-02,26.266
2012-11-09,25.576
2012-11-16,26.818
2012-11-23,26.542
2012-11-30,26.818
2012-12-07,30.682
2012-12-14,33.58
2012-12-21,31.786
2012-12-28,32.016
2013-01-04,30.314
2013-01-11,30.268
2013-01-18,30.728
2013-01-25,29.44
2013-02-01,30.866
2013-02-08,30.406
2013-02-22,31.05
2013-03-01,28.98
