,close
2015-05-22,44.72
2015-05-29,72.02
2015-06-05,115.98
2015-06-12,186.79
2015-06-19,145.08
2015-06-26,127.8
2015-07-03,115.83
2015-07-10,102.19
2015-07-17,122.5
2015-07-24,170.9
2015-07-31,148.99
2015-08-07,169.5
2015-08-14,188.0
2015-08-21,144.0
2015-08-28,142.11
2015-09-02,115.2
2015-09-11,138.86
2015-09-18,124.84
2015-09-25,135.36
2015-09-30,155.6
2015-10-09,166.2
2015-10-16,174.8
2015-10-23,187.2
2015-10-30,178.1
2015-11-06,205.2
2015-11-13,206.06
2015-11-20,200.0
2015-11-27,180.2
2015-12-04,181.2
2015-12-11,171.22
2015-12-18,203.24
2015-12-25,212.12
2015-12-31,198.98
2016-01-08,179.2
2016-01-15,159.0
2016-01-22,153.58
2016-01-29,163.7
2016-02-05,175.42
2016-02-19,233.6
2016-02-26,209.0
2016-03-04,233.68
2016-03-11,228.16
2016-07-22,281.74
2016-07-29,217.3
2016-08-05,209.26
2016-08-12,208.18
2016-08-19,207.7
2016-08-26,193.84
2016-09-02,187.54
2016-09-09,189.7
2016-09-14,182.74
2016-09-23,184.6
2016-09-30,184.96
2016-10-14,193.3
2016-10-21,204.04
2016-10-28,204.28
2016-11-04,204.94
2016-11-11,204.04
2016-11-14,205.24
2017-02-10,206.32
2017-02-17,191.92
2017-02-24,202.48
2017-03-03,233.62
2017-03-10,249.7
2017-03-17,252.16
2017-03-24,267.88
2017-03-31,257.8
2017-04-07,261.1
2017-04-14,277.36
2017-04-21,274.18
2017-04-28,275.56
2017-05-05,258.04
2017-05-12,244.78
2017-05-19,254.38
2017-05-26,247.78
2017-06-02,234.76
2017-06-07,250.96
2017-06-16,267.22
2017-06-23,301.6
2017-06-30,312.7
2017-07-07,358.18
2017-07-14,383.08
2017-07-21,384.22
2017-07-28,393.88
2017-08-04,391.48
2017-08-11,362.08
2017-08-18,369.28
2017-08-25,374.2
2017-09-01,440.14
2017-09-08,460.48
2017-09-15,471.28
2017-09-22,464.26
2017-09-29,449.68
2017-10-13,442.06
2017-10-20,465.76
2017-10-27,450.88
2017-11-03,481.24
2017-11-10,488.08
2017-11-17,405.28
2017-11-24,414.28
2017-12-01,408.88
2017-12-08,385.96
2017-12-15,384.28
2017-12-22,372.88
2017-12-29,343.9
2018-01-05,376.96
2018-01-12,363.04
2018-01-19,320.08
2018-01-26,333.22
2018-02-02,314.38
2018-02-09,326.44
2018-02-14,351.88
2018-02-23,349.48
2018-03-02,400.6
2018-03-09,451.42
2018-03-16,444.88
2018-03-23,405.16
2018-03-30,461.8
2018-04-04,428.08
2018-04-13,406.3
2018-04-20,372.28
2018-04-27,378.82
2018-05-04,392.62
2018-05-11,437.5
2018-05-18,420.28
2018-05-25,395.24
2018-06-01,372.596
2018-06-08,402.908
2018-06-15,364.928
2018-06-22,340.127
2018-06-29,365.767
2018-07-06,344.8
2018-07-13,386.853
2018-07-20,391.886
2018-07-27,364.209
2018-08-03,335.334
2018-08-10,331.141
2018-08-17,282.378
2018-08-24,279.023
2018-08-31,282.018
2018-09-07,280.341
2018-09-14,303.584
2018-09-21,331.86
2018-09-28,318.321
2018-10-12,261.65
2018-10-19,282.977
2018-10-26,287.41
2018-11-02,304.303
2018-11-09,313.169
2018-11-16,318.441
2018-11-23,300.349
2018-11-30,343.482
2018-12-07,348.274
2018-12-14,361.334
2018-12-21,347.915
2018-12-28,350.191
2019-01-04,323.353
2019-01-11,328.385
2019-01-18,347.555
2019-01-25,372.716
2019-02-01,384.337
2019-02-15,380.863
2019-02-22,377.269
2019-03-01,413.811
2019-03-08,425.792
2019-03-15,464.731
2019-03-22,454.427
2019-03-29,449.036
2019-04-04,442.925
2019-04-12,427.589
2019-04-19,439.571
2019-04-26,383.978
2019-04-30,385.296
2019-05-10,381.102
2019-05-17,361.933
2019-05-24,334.975
2019-05-31,345.878
2019-06-06,326.588
2019-06-14,355.223
2019-06-21,370.44
2019-06-28,409.378
2019-07-05,408.42
2019-07-12,402.789
2019-07-19,432.143
2019-07-26,446.52
2019-08-02,430.226
2019-08-09,406.503
2019-08-16,404.706
2019-08-23,405.185
2019-08-30,374.753
2019-09-06,390.688
2019-09-12,416.567
2019-09-20,432.981
2019-09-27,418.364
2019-09-30,410.576
2019-10-11,397.757
2019-10-18,385.416
2019-10-25,387.213
2019-11-01,406.503
2019-11-08,419.083
2019-11-15,417.645
2019-11-22,453.709
2019-11-29,459.699
2019-12-06,478.51
2019-12-13,477.791
2019-12-20,510.02
2019-12-27,555.549
2020-01-03,553.033
2020-01-10,545.005
2020-01-17,515.891
2020-01-23,533.863
2020-02-07,515.412
2020-02-14,594.607
2020-02-21,616.054
2020-02-28,679.554
2020-03-06,637.021
2020-03-13,592.451
2020-03-20,516.011
2020-03-27,470.962
2020-04-03,476.473
2020-04-10,458.98
2020-04-17,486.417
2020-04-24,462.096
2020-04-30,462.096
2020-05-08,474.915
2020-05-15,482.823
2020-05-22,471.92
2020-05-29,510.02
2020-06-05,535.9
2020-06-12,567.53
2020-06-19,579.511
2020-06-24,558.544
2020-07-03,560.581
2020-07-10,623.841
2020-07-17,585.657
2020-07-24,525.752
2020-07-31,536.295
2020-08-07,526.351
2020-08-14,602.311
2020-08-21,544.322
2020-08-28,549.474
2020-09-04,528.986
2020-09-11,512.213
2020-09-18,578.349
2020-09-25,567.087
2020-09-30,588.533
2020-10-09,636.098
2020-10-16,643.646
2020-10-23,650.955
2020-10-30,727.275
2020-11-06,809.106
2020-11-13,828.276
2020-11-20,789.937
2020-11-27,766.693
2020-12-04,808.148
2020-12-11,805.512
2020-12-18,882.911
2020-12-25,888.781
2020-12-31,1015.063
2021-01-08,1067.061
2021-01-15,1060.472
2021-01-22,1182.919
2021-01-29,1081.079
2021-02-05,1126.608
2021-02-10,1173.334
2021-02-19,1084.194
2021-02-26,1013.985
2021-03-05,943.296
2021-03-12,951.083
2021-03-19,901.362
2021-03-26,918.375
2021-04-02,955.756
2021-04-09,991.819
2021-04-16,992.418
2021-04-23,1015.782
2021-04-30,1067.9
2021-05-07,994.575
2021-05-14,919.932
2021-05-21,984.99
2021-05-28,1090.664
2021-06-04,1118.269
2021-06-11,1228.496
2021-06-18,1181.146
2021-06-25,1109.834
2021-07-02,1108.3
2021-07-09,1270.094
2021-07-16,1216.227
2021-07-23,1270.861
2021-07-30,1469.269
2021-08-06,1543.84
2021-08-13,1534.83
2021-08-20,1466.777
2021-08-27,1457.767
2021-09-03,1317.444
2021-09-10,1366.71
2021-09-17,1398.533
2021-09-24,1373.228
2021-09-30,1350.799
2021-10-08,1356.167
2021-10-15,1476.937
2021-10-22,1433.997
2021-10-29,1569.72
2021-11-05,1630.68
2021-11-12,1685.697
2021-11-19,1532.338
2021-11-26,1538.089
2021-12-03,1570.103
2021-12-10,1564.927
2021-12-17,1534.447
2021-12-24,1384.922
2021-12-31,1438.022
2022-01-07,1306.325
2022-01-14,1377.446
2022-01-21,1413.102
2022-01-28,1389.906
2022-02-11,1200.891
2022-02-18,1231.946
2022-02-25,1276.804
2022-03-04,1225.812
2022-03-11,1146.832
2022-03-18,1175.587
2022-03-25,1118.46
2022-04-01,1101.399
2022-04-08,1036.413
2022-04-15,925.803
2022-04-22,868.869
2022-04-29,861.009
2022-05-06,844.331
2022-05-13,917.752
2022-05-20,963.951
2022-05-27,890.722
2022-06-02,996.732
2022-06-10,1122.87
2022-06-17,1200.891
2022-06-24,1322.428
2022-07-01,1236.355
2022-07-08,1165.618
2022-07-15,1215.652
2022-07-22,1224.662
2022-07-29,1165.235
2022-08-05,1128.045
2022-08-12,1097.374
2022-08-19,1194.565
2022-08-26,1124.787
2022-09-02,1012.068
2022-09-09,1062.293
2022-09-16,987.338
2022-09-23,977.178
2022-09-30,928.87
2022-10-14,1030.087
2022-10-21,995.581
2022-10-28,944.398
2022-11-04,1051.174
2022-11-11,981.204
2022-11-18,895.131
2022-11-25,861.009
2022-12-02,852.958
2022-12-09,827.845
2022-12-16,829.954
2022-12-23,781.646
2022-12-30,793.531
2023-01-06,789.889
2023-01-13,847.398
2023-01-20,877.303
2023-02-03,936.347
2023-02-10,912.384
2023-02-17,886.121
2023-02-24,863.309
2023-03-03,846.248
2023-03-10,816.726
2023-03-17,764.776
2023-03-24,774.361
2023-03-31,797.94
2023-04-07,765.926
2023-04-14,767.46
2023-04-21,716.468
2023-04-28,755.191
2023-05-05,733.529
2023-05-12,724.711
2023-05-19,717.043
2023-05-26,703.816
2023-06-02,672.569
2023-06-09,607.583
2023-06-16,680.429
2023-06-21,674.103
2023-06-30,725.612
2023-07-07,702.416
2023-07-14,721.97
2023-07-21,675.195
2023-07-28,673.662
2023-08-04,669.061
2023-08-11,638.389
2023-08-18,617.686
2023-08-25,584.33
2023-09-01,598.132
2023-09-08,567.077
2023-09-15,550.974
2023-09-22,552.7
2023-09-28,554.042
2023-10-13,545.607
2023-10-20,522.028
2023-10-27,550.591
2023-11-03,555.0
2023-11-10,558.451
2023-11-17,557.875
2023-11-24,545.99
2023-12-01,528.929
2023-12-08,506.692
2023-12-15,498.065
2023-12-22,495.957
2023-12-29,522.986
2024-01-05,496.724
2024-01-12,503.05
2024-01-19,481.963
2024-01-26,459.726
2024-02-02,399.916
2024-02-08,432.313
2024-02-23,446.307
2024-03-01,472.186
2024-03-08,454.55
2024-03-15,472.569
2024-03-22,498.832
2024-03-29,495.573
2024-04-03,512.443
2024-04-12,477.745
2024-04-19,469.119
2024-04-26,450.141
2024-04-30,459.726
2024-05-10,454.166
2024-05-17,430.971
2024-05-24,419.469
2024-05-31,415.443
2024-06-07,401.066
2024-06-14,403.75
2024-06-21,384.196
2024-06-28,351.032
2024-07-05,342.033
2024-07-12,353.151
2024-07-19,362.545
2024-07-26,351.426
2024-08-02,353.535
2024-08-09,344.333
2024-08-16,336.665
2024-08-23,321.329
2024-08-30,314.045
2024-09-06,308.485
2024-09-13,293.341
2024-09-20,288.549
2024-09-27,352.193
2024-09-30,409.702
2024-10-11,384.398
2024-10-18,393.6
2024-10-25,419.479
2024-11-01,382.865
2024-11-08,429.064
2024-11-15,480.248
2024-11-22,507.277
2024-11-29,491.558
2024-12-06,483.698
2024-12-13,455.518
2024-12-20,459.161
2024-12-27,440.758
2025-01-03,392.833
2025-01-10,388.232
2025-01-17,405.868
2025-01-24,419.862
2025-01-27,411.428
2025-02-07,430.598
2025-02-14,446.7
2025-02-21,491.941
2025-02-28,477.18
2025-03-07,479.097
2025-03-14,490.024
2025-03-21,462.228
2025-03-28,449.959
2025-04-03,436.54
2025-04-11,396.284
2025-04-18,411.044
2025-04-25,397.05
2025-04-30,420.629
2025-05-09,422.163
2025-05-16,430.789
2025-05-23,436.54
2025-05-30,420.821
2025-06-06,422.163
2025-06-13,460.503
2025-06-20,470.471
2025-06-27,514.753
2025-07-04,499.141
2025-07-11,499.333
2025-07-18,523.487
2025-07-25,548.216
2025-08-01,529.43
2025-08-08,534.414
2025-08-15,548.983
2025-08-22,597.483
2025-08-29,720.554
2025-09-05,1071.171
2025-09-12,1090.341
2025-09-19,1105.677
2025-09-26,1295.267
2025-09-30,1232.581
2025-10-10,1090.149
2025-10-17,1042.416
2025-10-24,1094.558
2025-10-31,1161.844
2025-11-07,1067.912
2025-11-14,1089.191
2025-11-21,934.681
2025-11-28,980.114
2025-12-05,966.503
2025-12-12,975.897
2025-12-19,935.831
2025-12-26,1014.236
2025-12-31,997.942
2026-01-09,1159.352
2026-01-16,1197.692
