,close
2003-11-14,2.9
2003-11-21,2.8
2003-11-28,2.9
2003-12-05,2.875
2003-12-12,2.975
2003-12-19,2.95
2003-12-24,2.975
2004-01-02,4.0
2004-01-09,3.55
2004-01-16,3.525
2004-01-21,3.625
2004-01-30,3.275
2004-02-06,3.4
2004-02-13,3.725
2004-02-20,3.8
2004-02-27,4.375
2004-03-05,4.225
2004-03-12,4.075
2004-03-19,4.25
2004-03-26,4.125
2004-04-02,4.6
2004-04-08,5.2
2004-04-16,4.7
2004-04-23,4.45
2004-04-30,4.175
2004-05-07,4.275
2004-05-14,3.3
2004-05-21,3.975
2004-05-28,4.225
2004-06-04,4.0
2004-06-11,4.325
2004-06-18,3.95
2004-06-25,4.225
2004-07-02,4.375
2004-07-09,4.075
2004-07-16,4.15
2004-07-23,4.175
2004-07-30,4.0
2004-08-06,3.825
2004-08-13,3.75
2004-08-20,3.875
2004-08-27,3.95
2004-09-03,4.275
2004-09-10,4.225
2004-09-17,4.275
2004-09-24,4.325
2004-09-30,4.5
2004-10-08,4.7
2004-10-15,4.575
2004-10-21,4.475
2004-10-29,4.475
2004-11-05,4.75
2004-11-12,4.5
2004-11-19,4.625
2004-11-26,4.5
2004-12-03,4.125
2004-12-10,4.225
2004-12-17,4.1
2004-12-24,4.125
2004-12-31,4.25
2005-01-07,4.075
2005-01-14,3.975
2005-01-21,3.9
2005-01-28,3.775
2005-02-04,3.85
2005-02-08,3.975
2005-02-18,3.95
2005-02-25,3.95
2005-03-04,4.125
2005-03-11,4.125
2005-03-18,3.9
2005-03-24,3.8
2005-04-01,3.675
2005-04-08,4.025
2005-04-15,4.0
2005-04-22,4.125
2005-04-29,4.35
2005-05-06,4.275
2005-05-13,4.075
2005-05-20,4.161
2005-05-27,4.261
2005-06-03,4.411
2005-06-10,4.336
2005-06-17,4.361
2005-06-24,4.461
2005-06-30,4.411
2005-07-08,4.336
2005-07-15,4.336
2005-07-22,4.411
2005-07-29,4.511
2005-08-05,4.286
2005-08-12,4.386
2005-08-19,4.411
2005-08-26,4.561
2005-09-02,5.086
2005-09-09,4.911
2005-09-16,5.416
2005-09-23,5.316
2005-09-30,5.066
2005-10-07,4.966
2005-10-14,4.816
2005-10-21,4.666
2005-10-28,4.816
2005-11-04,4.716
2005-11-11,4.766
2005-11-18,4.841
2005-11-25,4.966
2005-12-02,5.091
2005-12-09,4.666
2005-12-16,4.416
2005-12-23,4.416
2005-12-30,4.491
2006-01-06,4.391
2006-01-13,4.666
2006-01-20,4.641
2006-01-27,5.116
2006-02-03,5.016
2006-02-10,5.366
2006-02-17,5.216
2006-02-24,5.316
2006-03-03,5.566
2006-03-10,5.091
2006-03-17,5.016
2006-03-24,5.716
2006-03-31,5.766
2006-04-07,5.766
2006-04-13,5.766
2006-04-21,6.116
2006-04-28,5.916
2006-05-04,6.116
2006-05-12,6.616
2006-05-19,6.576
2006-05-26,6.076
2006-06-02,6.126
2006-06-09,6.126
2006-06-16,5.926
2006-06-23,5.826
2006-06-30,6.776
2006-07-07,6.426
2006-07-14,6.376
2006-07-21,6.626
2006-07-28,6.706
2006-08-04,6.996
2006-08-11,7.146
2006-08-18,7.506
2006-08-25,7.276
2006-09-01,7.176
2006-09-08,7.686
2006-09-15,7.606
2006-09-22,7.666
2006-09-29,8.556
2006-10-06,8.556
2006-10-13,8.816
2006-10-20,9.596
2006-10-27,9.516
2006-11-03,10.356
2006-11-10,11.616
2006-11-17,11.036
2006-11-24,10.516
2006-12-01,10.256
2006-12-08,10.596
2006-12-15,11.136
2006-12-22,11.316
2006-12-29,12.056
2007-01-05,12.396
2007-01-12,11.796
2007-01-19,12.616
2007-01-26,11.916
2007-02-02,12.076
2007-02-09,12.816
2007-02-16,12.876
2007-02-23,12.936
2007-03-02,11.476
2007-03-09,12.316
2007-03-16,12.116
2007-03-23,12.716
2007-03-30,12.296
2007-04-04,13.816
2007-04-13,14.076
2007-04-20,13.816
2007-04-27,14.756
2007-05-04,14.836
2007-05-11,14.876
2007-05-18,15.636
2007-05-25,14.856
2007-06-01,15.956
2007-06-08,15.996
2007-06-15,16.836
2007-06-22,17.676
2007-06-29,19.116
2007-07-06,20.236
2007-07-13,20.436
2007-07-20,19.836
2007-07-27,19.996
2007-08-03,20.456
2007-08-10,19.776
2007-08-17,15.616
2007-08-24,20.256
2007-08-31,22.456
2007-09-07,23.256
2007-09-14,22.056
2007-09-21,21.506
2007-09-28,24.656
2007-10-05,28.606
2007-10-12,28.906
2007-10-18,29.456
2007-10-26,28.156
2007-11-02,27.606
2007-11-09,26.656
2007-11-16,25.606
2007-11-23,24.556
2007-11-30,27.206
2007-12-07,28.306
2007-12-14,25.756
2007-12-21,25.556
2007-12-28,26.906
2008-01-04,26.056
2008-01-11,24.056
2008-01-18,23.006
2008-01-25,22.256
2008-02-01,19.886
2008-02-06,21.156
2008-02-15,20.856
2008-02-22,19.406
2008-02-29,20.286
2008-03-07,16.986
2008-03-14,13.526
2008-03-20,13.706
2008-03-28,14.746
2008-04-03,17.826
2008-04-11,17.746
2008-04-18,16.506
2008-04-25,19.186
2008-05-02,21.456
2008-05-09,19.606
2008-05-16,20.506
2008-05-23,20.466
2008-05-30,22.356
2008-06-06,22.706
2008-06-13,21.356
2008-06-20,22.306
2008-06-27,19.586
2008-07-04,18.866
2008-07-11,18.506
2008-07-18,18.106
2008-07-25,19.346
2008-08-01,17.886
2008-08-08,17.806
2008-08-15,19.106
2008-08-21,19.686
2008-08-29,20.106
2008-09-05,19.326
2008-09-12,19.966
2008-09-19,19.536
2008-09-26,18.376
2008-10-03,16.456
2008-10-10,14.816
2008-10-17,16.496
2008-10-24,13.756
2008-10-31,15.136
2008-11-07,13.556
2008-11-14,13.316
2008-11-21,13.276
2008-11-28,16.256
2008-12-05,14.876
2008-12-12,14.616
2008-12-19,15.816
2008-12-24,15.356
2009-01-02,15.876
2009-01-09,14.816
2009-01-16,14.156
2009-01-23,13.756
2009-01-30,15.256
2009-02-06,16.116
2009-02-13,15.496
2009-02-20,14.956
2009-02-27,15.356
2009-03-06,15.176
2009-03-13,15.416
2009-03-20,16.316
2009-03-27,16.516
2009-04-03,17.936
2009-04-09,17.576
2009-04-17,16.396
2009-04-24,18.076
2009-04-30,18.256
2009-05-08,17.176
2009-05-15,16.676
2009-05-22,17.256
2009-05-29,17.356
2009-06-05,19.436
2009-06-12,18.636
2009-06-19,19.214
2009-06-26,19.368
2009-07-03,17.872
2009-07-10,17.586
2009-07-17,18.994
2009-07-24,19.17
2009-07-31,21.491
2009-08-07,20.094
2009-08-14,19.896
2009-08-21,20.094
2009-08-28,20.512
2009-09-04,20.468
2009-09-11,19.896
2009-09-18,19.236
2009-09-25,19.148
2009-10-02,18.686
2009-10-09,18.994
2009-10-16,18.884
2009-10-23,18.95
2009-10-30,17.454
2009-11-06,17.344
2009-11-13,17.124
2009-11-20,16.992
2009-11-27,17.058
2009-12-04,16.222
2009-12-11,15.496
2009-12-18,15.65
2009-12-24,15.672
2009-12-31,16.486
2010-01-08,17.036
2010-01-15,16.332
2010-01-22,15.056
2010-01-29,16.09
2010-02-05,16.442
2010-02-12,16.816
2010-02-19,16.706
2010-02-26,16.464
2010-03-05,17.124
2010-03-12,17.168
2010-03-19,18.158
2010-03-26,18.62
2010-04-01,17.784
2010-04-09,17.74
2010-04-16,17.652
2010-04-23,17.278
2010-04-30,17.014
2010-05-07,16.134
2010-05-14,16.486
2010-05-20,16.816
2010-05-28,16.882
2010-06-04,16.684
2010-06-11,17.454
2010-06-18,17.542
2010-06-25,18.642
2010-07-02,18.972
2010-07-09,18.664
2010-07-16,18.004
2010-07-23,18.004
2010-07-30,18.51
2010-08-06,18.906
2010-08-13,18.95
2010-08-20,18.686
2010-08-27,18.532
2010-09-03,18.642
2010-09-10,18.422
2010-09-17,19.17
2010-09-24,18.774
2010-09-30,18.268
2010-10-08,18.224
2010-10-15,17.916
2010-10-22,16.816
2010-10-29,16.332
2010-11-05,16.618
2010-11-12,16.178
2010-11-19,15.562
2010-11-26,14.308
2010-12-03,15.628
2010-12-10,14.572
2010-12-17,14.55
2010-12-24,15.166
2010-12-31,15.408
2011-01-07,14.858
2011-01-14,14.594
2011-01-21,14.726
2011-01-28,14.836
2011-02-02,15.034
2011-02-11,14.352
2011-02-18,13.802
2011-02-25,14.198
2011-03-04,14.308
2011-03-11,14.418
2011-03-18,15.188
2011-03-25,16.398
2011-04-01,16.376
2011-04-08,15.672
2011-04-15,15.43
2011-04-21,15.386
2011-04-29,15.65
2011-05-06,17.322
2011-05-13,17.41
2011-05-20,16.838
2011-05-27,16.926
2011-06-03,16.497
2011-06-10,15.969
2011-06-17,16.035
2011-06-24,15.793
2011-06-30,16.915
2011-07-08,17.135
2011-07-15,16.057
2011-07-22,17.157
2011-07-29,16.915
2011-08-05,16.585
2011-08-12,15.859
2011-08-19,15.287
2011-08-26,14.429
2011-09-02,14.605
2011-09-09,14.429
2011-09-16,13.769
2011-09-23,13.373
2011-09-30,13.329
2011-10-07,13.483
2011-10-14,13.659
2011-10-21,14.715
2011-10-28,15.463
2011-11-04,14.891
2011-11-11,16.717
2011-11-18,16.101
2011-11-25,16.717
2011-12-02,16.211
2011-12-09,15.595
2011-12-16,15.903
2011-12-23,16.431
2011-12-30,16.761
2012-01-06,16.431
2012-01-13,17.597
2012-01-20,16.431
2012-01-27,16.673
2012-02-03,16.475
2012-02-10,17.069
2012-02-17,17.685
2012-02-24,16.805
2012-03-02,16.651
2012-03-09,17.003
2012-03-16,17.025
2012-03-23,15.859
2012-03-30,16.101
2012-04-05,15.287
2012-04-13,15.375
2012-04-20,15.771
2012-04-27,15.529
2012-05-04,15.463
2012-05-11,15.331
2012-05-18,15.683
2012-05-25,15.243
2012-06-01,15.815
2012-06-08,16.387
2012-06-15,16.453
2012-06-22,16.717
2012-06-29,18.037
2012-07-06,17.971
2012-07-13,18.103
2012-07-20,18.609
2012-07-27,18.279
2012-08-03,19.071
2012-08-10,18.037
2012-08-17,18.565
2012-08-24,18.917
2012-08-31,18.785
2012-09-07,19.753
2012-09-14,19.203
2012-09-21,19.313
2012-09-28,19.291
2012-10-05,19.181
2012-10-12,18.125
2012-10-19,18.411
2012-10-26,18.917
2012-11-02,19.159
2012-11-09,18.169
2012-11-16,19.159
2012-11-23,19.445
2012-11-30,19.731
2012-12-07,19.863
2012-12-14,21.007
2012-12-21,21.447
2012-12-28,22.063
2013-01-04,22.668
2013-01-11,22.481
2013-01-18,22.613
2013-01-25,23.053
2013-02-01,25.088
2013-02-08,25.748
2013-02-15,25.143
2013-02-22,23.658
2013-03-01,25.143
2013-03-08,24.648
2013-03-15,22.833
2013-03-22,26.463
2013-03-28,26.188
2013-04-05,26.133
2013-04-12,27.233
2013-04-19,26.353
2013-04-26,28.058
2013-05-03,28.553
2013-05-10,25.748
2013-05-16,25.693
2013-05-24,22.833
2013-05-31,23.108
2013-06-07,21.117
2013-06-14,21.898
2013-06-21,20.688
2013-06-28,21.436
2013-07-05,22.184
2013-07-12,22.91
2013-07-19,19.654
2013-07-26,21.7
2013-08-02,20.512
2013-08-09,20.468
2013-08-16,21.678
2013-08-23,20.688
2013-08-30,20.688
2013-09-06,20.182
2013-09-13,21.568
2013-09-19,20.996
2013-09-27,21.37
2013-10-04,21.656
2013-10-11,22.712
2013-10-18,22.646
2013-10-25,22.954
2013-11-01,23.471
2013-11-08,22.58
2013-11-15,21.876
2013-11-22,21.414
2013-11-29,21.832
2013-12-06,21.766
2013-12-13,21.128
2013-12-20,20.798
2013-12-27,21.018
2014-01-03,20.622
2014-01-10,21.986
2014-01-17,22.47
2014-01-24,22.47
2014-01-30,21.458
2014-02-07,21.502
2014-02-14,22.14
2014-02-21,22.008
2014-02-28,21.81
2014-03-07,21.216
2014-03-14,20.622
2014-03-21,23.064
2014-03-28,22.822
2014-04-04,23.174
2014-04-11,25.176
2014-04-17,24.296
2014-04-25,23.064
2014-05-02,22.624
2014-05-09,22.228
2014-05-16,22.514
2014-05-23,23.746
2014-05-30,23.581
2014-06-06,24.186
2014-06-13,24.791
2014-06-20,25.033
2014-06-27,26.243
2014-07-04,26.078
2014-07-11,26.133
2014-07-18,26.408
2014-07-25,26.683
2014-08-01,25.913
2014-08-08,26.793
2014-08-15,26.628
2014-08-22,28.113
2014-08-29,27.728
2014-09-05,28.828
2014-09-12,28.608
2014-09-19,27.211
2014-09-26,27.046
2014-10-03,25.451
2014-10-10,24.296
2014-10-17,24.846
2014-10-24,24.956
2014-10-31,26.826
2014-11-07,25.011
2014-11-14,25.781
2014-11-21,24.461
2014-11-28,26.881
2014-12-05,25.231
2014-12-12,24.406
2014-12-19,24.186
2014-12-24,23.867
2015-01-02,23.933
2015-01-09,23.889
2015-01-16,24.406
2015-01-23,25.231
2015-01-30,26.111
2015-02-06,23.713
2015-02-13,23.933
2015-02-18,24.131
2015-02-27,24.626
2015-03-06,23.647
2015-03-13,22.063
2015-03-20,23.075
2015-03-27,23.361
2015-04-02,24.131
2015-04-10,25.231
2015-04-17,24.571
2015-04-24,27.651
2015-04-30,27.816
2015-05-08,26.771
2015-05-15,26.606
