datetime,close
2020-12-14,9.97
2020-12-21,10.03
2020-12-28,10.06
2021-01-04,10.37
2021-01-11,10.42
2021-01-18,10.6
2021-01-25,10.34
2021-02-01,11.32
2021-02-08,13.56
2021-02-15,16.28
2021-02-22,11.9
2021-03-01,11.03
2021-03-08,11.15
2021-03-15,10.68
2021-03-22,10.15
2021-03-29,10.12
2021-04-05,10.21
2021-04-12,9.92
2021-04-19,9.89
2021-04-26,9.94
2021-05-03,9.86
2021-05-10,9.87
2021-05-17,9.92
2021-05-24,9.93
2021-05-31,9.92
2021-06-07,9.99
2021-06-14,9.93
2021-06-21,9.98
2021-06-28,9.96
2021-07-05,9.92
2021-07-12,9.9
2021-07-19,9.88
2021-07-26,9.93
2021-08-02,9.9
2021-08-09,9.99
2021-08-16,9.95
2021-08-23,9.99
2021-08-30,10.0
2021-09-06,9.73
2021-09-13,9.48
2021-09-20,9.28
2021-09-27,8.39
2021-10-04,8.0
2021-10-11,7.1
2021-10-18,6.71
2021-10-25,5.7
2021-11-01,6.29
2021-11-08,5.74
2021-11-15,5.92
2021-11-22,6.15
2021-11-29,6.18
2021-12-06,7.31
2021-12-13,6.64
2021-12-20,6.86
2021-12-27,6.04
2022-01-03,4.64
2022-01-10,3.96
2022-01-17,3.33
2022-01-24,2.83
2022-01-31,3.03
2022-02-07,2.91
2022-02-14,2.94
2022-02-21,3.15
2022-02-28,2.88
2022-03-07,3.17
2022-03-14,4.43
2022-03-21,5.11
2022-03-28,4.75
2022-04-04,3.96
2022-04-11,4.07
2022-04-18,3.73
2022-04-25,4.61
2022-05-02,3.82
2022-05-09,4.0
2022-05-16,3.48
2022-05-23,4.1
2022-05-30,4.8
2022-06-06,4.11
2022-06-13,4.32
2022-06-20,4.07
2022-06-27,2.89
2022-07-04,3.33
2022-07-11,3.2
2022-07-18,3.15
2022-07-25,4.04
2022-08-01,4.38
2022-08-08,4.84
2022-08-15,3.65
2022-08-22,3.58
2022-08-29,3.36
2022-09-05,3.5
2022-09-12,3.01
2022-09-19,2.8
2022-09-26,2.61
2022-10-03,2.64
2022-10-10,2.71
2022-10-17,2.76
2022-10-24,2.88
2022-10-31,2.73
2022-11-07,2.77
2022-11-14,2.47
2022-11-21,2.51
2022-11-28,2.54
2022-12-05,2.14
2022-12-12,2.12
2022-12-19,1.8
2022-12-26,1.87
2023-01-02,2.3
2023-01-09,2.6
2023-01-16,2.81
2023-01-23,2.79
2023-01-30,2.9
2023-02-06,2.68
2023-02-13,2.81
2023-02-20,2.72
2023-02-27,3.09
2023-03-06,3.07
2023-03-13,2.54
2023-03-20,2.52
2023-03-27,2.86
2023-04-03,2.57
2023-04-10,2.14
