datetime,close
2018-03-26,11.0
2018-04-02,10.94
2018-04-09,11.4
2018-04-16,11.19
2018-04-23,10.61
2018-04-30,9.99
2018-05-07,11.46
2018-05-14,12.84
2018-05-21,14.24
2018-05-28,16.91
2018-06-04,18.95
2018-06-11,19.65
2018-06-18,16.65
2018-06-25,13.99
2018-07-02,13.3
2018-07-09,13.8
2018-07-16,14.41
2018-07-23,12.13
2018-07-30,11.06
2018-08-06,11.14
2018-08-13,10.7
2018-08-20,10.91
2018-08-27,12.83
2018-09-03,11.71
2018-09-10,13.52
2018-09-17,12.43
2018-09-24,13.48
2018-10-01,13.35
2018-10-08,13.71
2018-10-15,12.49
2018-10-22,13.17
2018-10-29,14.43
2018-11-05,13.4
2018-11-12,14.5
2018-11-19,14.98
2018-11-26,15.61
2018-12-03,14.69
2018-12-10,15.22
2018-12-17,13.3
2018-12-24,14.37
2018-12-31,13.7
2019-01-07,15.36
2019-01-14,16.71
2019-01-21,17.44
2019-01-28,17.83
2019-02-04,17.46
2019-02-11,17.74
2019-02-18,19.48
2019-02-25,17.98
2019-03-04,17.94
2019-03-11,18.71
2019-03-18,17.21
2019-03-25,18.95
2019-04-01,18.02
2019-04-08,18.32
2019-04-15,17.45
2019-04-22,17.78
2019-04-29,18.19
2019-05-06,17.1
2019-05-13,15.35
2019-05-20,14.05
2019-05-27,13.5
2019-06-03,14.8
2019-06-10,14.27
2019-06-17,15.44
2019-06-24,16.27
2019-07-01,16.74
2019-07-08,16.4
2019-07-15,15.54
2019-07-22,15.96
2019-07-29,14.72
2019-08-05,13.91
2019-08-12,14.52
2019-08-19,14.7
2019-08-26,14.05
2019-09-02,14.46
2019-09-09,15.06
2019-09-16,15.26
2019-09-23,14.33
2019-09-30,13.92
2019-10-07,14.37
2019-10-14,14.41
2019-10-21,15.52
2019-10-28,16.46
2019-11-04,16.58
2019-11-11,16.71
2019-11-18,16.59
2019-11-25,17.28
2019-12-02,17.17
2019-12-09,17.9
2019-12-16,17.94
2019-12-23,18.24
2019-12-30,22.08
2020-01-06,21.55
2020-01-13,22.8
2020-01-20,21.82
2020-01-27,21.55
2020-02-03,24.99
2020-02-10,28.69
2020-02-17,26.88
2020-02-24,25.68
2020-03-02,26.68
2020-03-09,23.37
2020-03-16,20.19
2020-03-23,22.11
2020-03-30,24.11
2020-04-06,26.83
2020-04-13,29.0
2020-04-20,27.74
2020-04-27,25.14
2020-05-04,29.0
2020-05-11,30.88
2020-05-18,33.040001
2020-05-25,32.43
2020-06-01,34.5
2020-06-08,35.87
2020-06-15,44.72
2020-06-22,44.52
2020-06-29,48.18
2020-07-06,47.55
2020-07-13,41.9
2020-07-20,40.099998
2020-07-27,43.58
2020-08-03,41.61
2020-08-10,41.58
2020-08-17,44.99
2020-08-24,47.39
2020-08-31,47.02
2020-09-07,43.02
2020-09-14,43.080002
2020-09-21,42.2
2020-09-28,41.8
2020-10-05,48.42
2020-10-12,43.82
2020-10-19,44.44
2020-10-26,44.67
2020-11-02,48.87
2020-11-09,48.9
2020-11-16,60.0
2020-11-23,64.86
2020-11-30,67.79
2020-12-07,75.91
2020-12-14,84.68
2020-12-21,82.010002
2020-12-28,85.72
2021-01-04,118.47
2021-01-11,122.63
2021-01-18,133.75
2021-01-25,113.89
2021-02-01,138.98
2021-02-08,153.12
2021-02-15,143.60001
2021-02-22,125.97
2021-03-01,118.84
2021-03-08,109.99
2021-03-15,108.86
2021-03-22,97.080002
2021-03-29,111.98
2021-04-05,105.8
2021-04-12,103.48
2021-04-19,116.66
2021-04-26,110.86
2021-05-03,101.67
2021-05-10,96.87
2021-05-17,102.43
2021-05-24,107.18
2021-05-31,108.93
2021-06-07,111.41
2021-06-14,118.38
2021-06-21,124.45
2021-06-28,119.58
2021-07-05,106.74
2021-07-12,109.010002
2021-07-19,95.21
2021-07-26,85.58
2021-08-02,78.68
2021-08-09,74.099998
2021-08-16,66.54
2021-08-23,75.33
2021-08-30,85.95
2021-09-06,83.46
2021-09-13,74.44
2021-09-20,70.73
2021-09-27,64.88
2021-10-04,70.96
2021-10-11,70.089996
2021-10-18,82.099998
2021-10-25,73.3
2021-11-01,74.82
2021-11-08,86.050003
2021-11-15,67.12
2021-11-22,68.79
2021-11-29,54.94
2021-12-06,59.13
2021-12-13,49.95
2021-12-20,45.91
2021-12-27,46.4
2022-01-03,38.44
2022-01-10,38.69
2022-01-17,36.080002
2022-01-24,30.54
2022-01-31,33.51
2022-02-07,35.14
2022-02-14,34.28
2022-02-21,31.46
2022-02-28,25.46
2022-03-07,19.02
2022-03-14,27.55
2022-03-21,27.53
2022-03-28,27.62
2022-04-04,25.71
2022-04-11,24.94
2022-04-18,21.08
2022-04-25,24.34
2022-05-02,20.85
2022-05-09,20.6
2022-05-16,21.8
2022-05-23,21.25
2022-05-30,24.17
2022-06-06,26.1
2022-06-13,26.32
2022-06-20,27.81
2022-06-27,26.74
2022-07-04,26.78
2022-07-11,22.88
2022-07-18,25.59
2022-07-25,24.44
2022-08-01,24.58
2022-08-08,25.4
2022-08-15,22.56
2022-08-22,25.24
2022-08-29,23.58
2022-09-05,19.32
2022-09-12,17.059999
2022-09-19,16.18
2022-09-26,15.32
2022-10-03,15.45
2022-10-10,11.18
2022-10-17,11.05
2022-10-24,8.95
2022-10-31,11.71
2022-11-07,12.67
2022-11-14,14.72
2022-11-21,12.33
2022-11-28,19.84
2022-12-05,25.41
2022-12-12,23.01
2022-12-19,23.17
2022-12-26,23.69
2023-01-02,28.65
2023-01-09,27.97
2023-01-16,25.39
2023-01-23,27.78
2023-01-30,24.33
2023-02-06,21.62
2023-02-13,22.049999
2023-02-20,20.47
2023-02-27,22.61
2023-03-06,19.73
2023-03-13,22.18
2023-03-20,23.9
2023-03-27,23.5
2023-04-03,21.51
2023-04-10,20.9
2023-04-17,20.38
2023-04-24,20.36
2023-05-01,20.25
2023-05-08,18.21
2023-05-15,18.2
2023-05-22,16.89
2023-05-29,15.32
2023-06-05,16.11
2023-06-12,17.47
2023-06-19,14.94
2023-06-26,15.1
2023-07-03,14.9
2023-07-10,16.74
2023-07-17,15.46
2023-07-24,18.67
2023-07-31,18.16
2023-08-07,16.030001
2023-08-14,14.37
2023-08-21,14.56
2023-08-28,15.58
2023-09-04,13.56
2023-09-11,13.8
2023-09-18,13.65
2023-09-25,13.77
2023-10-02,13.57
2023-10-09,13.66
2023-10-16,12.51
2023-10-23,13.3
2023-10-30,14.69
2023-11-06,14.16
2023-11-13,13.99
2023-11-20,14.14
2023-11-27,11.51
2023-12-04,11.93
2023-12-11,11.96
2023-12-18,11.0
2023-12-25,12.17
2024-01-01,11.12
2024-01-08,10.65
2024-01-15,9.41
2024-01-22,9.55
2024-01-29,8.94
2024-02-05,9.88
2024-02-12,10.36
2024-02-19,10.02
2024-02-26,10.05
2024-03-04,11.13
2024-03-11,11.78
2024-03-18,10.93
2024-03-25,11.2
2024-04-01,10.87
2024-04-08,11.48
2024-04-15,10.91
2024-04-22,13.12
2024-04-29,14.83
2024-05-06,14.07
2024-05-13,16.69
2024-05-20,13.94
2024-05-27,14.52
2024-06-03,13.97
2024-06-10,14.73
2024-06-17,18.14
2024-06-24,15.44
2024-07-01,16.049999
2024-07-08,16.71
2024-07-15,15.04
2024-07-22,14.94
2024-07-29,15.5
2024-08-05,13.86
2024-08-12,13.84
2024-08-19,14.94
2024-08-26,14.38
2024-09-02,15.12
2024-09-09,14.83
2024-09-16,15.9
2024-09-23,22.92
2024-09-30,27.57
2024-10-07,22.64
2024-10-14,20.15
2024-10-21,20.65
2024-10-28,21.9
2024-11-04,22.59
2024-11-11,18.3
2024-11-18,18.23
2024-11-25,19.17
2024-12-02,19.08
2024-12-09,19.81
2024-12-16,19.59
2024-12-23,18.84
2024-12-30,17.12
2025-01-06,15.97
2025-01-13,17.47
2025-01-20,16.89
2025-01-27,16.72
2025-02-03,18.51
2025-02-10,21.99
2025-02-17,22.82
2025-02-24,20.34
2025-03-03,24.1
2025-03-10,21.44
2025-03-17,19.87
2025-03-24,19.22
2025-03-31,16.55
2025-04-07,16.68
2025-04-14,16.21
2025-04-21,17.41
2025-04-28,18.13
2025-05-05,17.53
2025-05-12,18.93
2025-05-19,18.935
2025-05-26,18.3
2025-06-02,18.75
2025-06-09,20.02
2025-06-16,19.74
2025-06-23,21.42
2025-06-30,20.88
2025-07-07,21.455
2025-07-14,25.2
2025-07-21,23.365
2025-07-28,21.89
2025-08-04,22.75
2025-08-11,24.85
2025-08-18,23.98
2025-08-25,23.26
