datetime,close
2007-04-09,74.91
2007-04-16,75.26
2007-04-23,75.24
2007-04-30,75.34
2007-05-07,75.28
2007-05-14,74.94
2007-05-21,74.86
2007-05-28,74.34
2007-06-04,73.84
2007-06-11,73.84
2007-06-18,73.9
2007-06-25,74.28
2007-07-02,73.63
2007-07-09,73.93
2007-07-16,74.34
2007-07-23,74.65
2007-07-30,74.77
2007-08-06,74.39
2007-08-13,74.87
2007-08-20,75.040001
2007-08-27,75.53
2007-09-03,75.81
2007-09-10,75.55
2007-09-17,75.48
2007-09-24,75.69
2007-10-01,75.35
2007-10-08,75.35
2007-10-15,76.29
2007-10-22,76.35
2007-10-29,76.34
2007-11-05,76.3
2007-11-12,76.48
2007-11-19,76.85
2007-11-26,77.3
2007-12-03,76.51
2007-12-10,76.17
2007-12-17,76.49
2007-12-24,76.72
2007-12-31,77.55
2008-01-07,77.77
2008-01-14,78.28
2008-01-21,78.65
2008-01-28,78.31
2008-02-04,77.83
2008-02-11,77.21
2008-02-18,77.010002
2008-02-25,78.12
2008-03-03,76.92
2008-03-10,77.41
2008-03-17,78.010002
2008-03-24,77.87
2008-03-31,77.61
2008-04-07,77.87
2008-04-14,76.93
2008-04-21,76.73
2008-04-28,77.089996
2008-05-05,77.4
2008-05-12,77.23
2008-05-19,77.41
2008-05-26,76.5
2008-06-02,76.56
2008-06-09,75.18
2008-06-16,75.71
2008-06-23,76.0
2008-06-30,75.7
2008-07-07,75.91
2008-07-14,75.29
2008-07-21,75.31
2008-07-28,75.8
2008-08-04,75.7
2008-08-11,75.95
2008-08-18,76.0
2008-08-25,76.3
2008-09-01,76.46
2008-09-08,76.84
2008-09-15,76.61
2008-09-22,76.12
2008-09-29,75.99
2008-10-06,69.96
2008-10-13,73.74
2008-10-20,74.099998
2008-10-27,73.13
2008-11-03,74.6
2008-11-10,74.81
2008-11-17,74.5
2008-11-24,75.69
2008-12-01,75.71
2008-12-08,76.059998
2008-12-15,77.57
2008-12-22,78.23
2008-12-29,78.68
2009-01-05,78.24
2009-01-12,78.42
2009-01-19,77.56
2009-01-26,77.33
2009-02-02,76.8
2009-02-09,76.96
2009-02-16,76.97
2009-02-23,76.59
2009-03-02,76.2
2009-03-09,76.27
2009-03-16,77.0
2009-03-23,76.97
2009-03-30,76.47
2009-04-06,76.97
