datetime,close
1969-12-29,115.4
2010-06-14,31.01
2010-06-21,32.07
2010-06-28,30.86
2010-07-05,28.97
2010-07-12,26.45
2010-07-19,27.15
2010-07-26,26.6
2010-08-02,23.8
2010-08-09,23.0
2010-08-16,22.87
2010-08-23,20.87
2010-08-30,22.17
2010-09-06,21.94
2010-09-13,22.46
2010-09-20,20.61
2010-09-27,20.6
2010-10-04,20.85
2010-10-11,22.48
2010-10-18,24.54
2010-10-25,24.01
2010-11-01,24.65
2010-11-08,24.15
2010-11-15,25.02
2010-11-22,23.5
2010-11-29,24.4
2010-12-06,22.97
2010-12-13,22.11
2010-12-20,22.42
2010-12-27,22.86
2011-01-03,23.81
2011-01-10,23.8
2011-01-17,23.2
2011-01-24,22.97
2011-01-31,23.98
2011-02-07,26.32
2011-02-14,27.11
2011-02-21,29.43
2011-02-28,27.93
2011-03-07,27.77
2011-03-14,27.78
2011-03-21,29.09
2011-03-28,27.51
2011-04-04,26.88
2011-04-11,27.17
2011-04-18,27.1
2011-04-25,26.82
2011-05-02,26.33
2011-05-09,26.94
2011-05-16,28.17
2011-05-23,25.87
2011-05-30,25.53
2011-06-06,24.26
2011-06-13,23.79
2011-06-20,24.1
2011-06-27,24.72
2011-07-04,24.66
2011-07-11,23.049999
2011-07-18,23.2
2011-07-25,23.040001
2011-08-01,22.78
2011-08-08,23.6
2011-08-15,23.2
2011-08-22,24.51
2011-08-29,24.030001
2011-09-05,25.67
2011-09-12,27.28
2011-09-19,26.6
2011-09-26,24.47
2011-10-03,24.48
2011-10-10,25.69
2011-10-17,25.57
2011-10-24,26.2
2011-10-31,27.17
2011-11-07,27.040001
2011-11-14,26.34
2011-11-21,25.75
2011-11-28,26.57
2011-12-05,26.6
2011-12-12,25.97
2011-12-19,26.23
2011-12-26,25.86
2012-01-02,25.07
2012-01-09,25.7
2012-01-16,25.63
2012-01-23,25.58
2012-01-30,26.54
2012-02-06,28.07
2012-02-13,27.5
2012-02-20,27.65
2012-02-27,27.62
2012-03-05,27.37
2012-03-12,28.02
2012-03-19,29.51
2012-03-26,28.42
2012-04-02,27.71
2012-04-09,26.63
2012-04-16,26.29
2012-04-23,26.76
2012-04-30,25.88
2012-05-07,25.3
2012-05-14,24.92
2012-05-21,25.24
2012-05-28,25.1
2012-06-04,26.7
2012-06-11,27.24
2012-06-18,26.98
2012-06-25,27.68
2012-07-02,27.75
2012-07-09,28.18
2012-07-16,28.13
2012-07-23,28.67
2012-07-30,28.19
2012-08-06,28.93
2012-08-13,28.87
2012-08-20,28.79
2012-08-27,28.44
2012-09-03,28.85
2012-09-10,29.3
2012-09-17,30.24
2012-09-24,29.4
2012-10-01,29.7
2012-10-08,29.29
2012-10-15,28.97
2012-10-22,29.15
2012-10-29,30.2
2012-11-05,30.049999
2012-11-12,29.59
2012-11-19,29.56
2012-11-26,29.98
2012-12-03,29.99
2012-12-10,29.88
2012-12-17,30.14
2012-12-24,29.37
2012-12-31,31.25
2013-01-07,31.87
2013-01-14,33.12
2013-01-21,33.39
2013-01-28,34.0
2013-02-04,34.46
2013-02-11,35.96
2013-02-18,35.54
2013-02-25,35.42
2013-03-04,35.66
2013-03-11,36.17
2013-03-18,36.39
2013-03-25,36.94
2013-04-01,36.41
2013-04-08,36.96
2013-04-15,36.61
2013-04-22,36.53
2013-04-29,38.75
2013-05-06,39.31
2013-05-13,40.75
2013-05-20,40.52
2013-05-27,40.14
2013-06-03,41.2
2013-06-10,42.57
2013-06-17,42.61
2013-06-24,46.64
2013-07-01,47.43
2013-07-08,47.25
2013-07-15,48.67
2013-07-22,49.48
2013-07-29,50.84
2013-08-05,48.77
2013-08-12,47.86
2013-08-19,48.53
2013-08-26,45.89
2013-09-02,45.23
2013-09-09,46.16
2013-09-16,45.32
2013-09-23,45.36
2013-09-30,46.19
2013-10-07,47.049999
2013-10-14,49.48
2013-10-21,50.64
2013-10-28,48.99
2013-11-04,51.12
2013-11-11,51.58
2013-11-18,54.53
2013-11-25,52.28
2013-12-02,51.45
2013-12-09,51.75
2013-12-16,52.38
2013-12-23,52.61
2013-12-30,51.66
2014-01-06,49.85
2014-01-13,49.88
2014-01-20,50.029999
2014-01-27,52.02
2014-02-03,53.42
2014-02-10,56.31
2014-02-17,54.17
2014-02-24,54.029999
2014-03-03,57.28
2014-03-10,58.54
2014-03-17,55.98
2014-03-24,55.75
2014-03-31,53.74
2014-04-07,50.75
2014-04-14,52.2
2014-04-21,52.44
2014-04-28,52.78
2014-05-05,50.81
2014-05-12,48.72
2014-05-19,49.82
2014-05-26,50.68
2014-06-02,48.67
2014-06-09,50.2
2014-06-16,48.88
2014-06-23,49.09
2014-06-30,48.46
2014-07-07,46.94
2014-07-14,48.96
2014-07-21,48.83
2014-07-28,49.71
2014-08-04,50.68
2014-08-11,51.11
2014-08-18,51.060001
2014-08-25,53.029999
2014-09-01,53.33
2014-09-08,54.81
2014-09-15,55.12
2014-09-22,53.81
2014-09-29,54.49
2014-10-06,55.62
2014-10-13,54.34
2014-10-20,57.54
2014-10-27,58.94
2014-11-03,61.89
2014-11-10,60.81
2014-11-17,59.43
2014-11-24,59.91
2014-12-01,60.71
2014-12-08,62.34
2014-12-15,64.17
2014-12-22,64.19
2014-12-29,63.36
2015-01-05,66.0
2015-01-12,66.49
2015-01-19,65.87
2015-01-26,64.47
2015-02-02,62.46
2015-02-09,63.0099983
2015-02-16,62.61
2015-02-23,60.029999
