datetime,close
2013-11-11,9.13
2013-11-18,7.49
2013-11-25,8.21
2013-12-02,9.57
2013-12-09,8.01
2013-12-16,8.41
2013-12-23,8.35
2013-12-30,8.21
2014-01-06,7.61
2014-01-13,7.25
2014-01-20,7.21
2014-01-27,6.67
2014-02-03,7.12
2014-02-10,6.17
2014-02-17,6.4
2014-02-24,6.3
2014-03-03,6.38
2014-03-10,6.53
2014-03-17,7.19
2014-03-24,6.93
2014-03-31,6.81
2014-04-07,5.72
2014-04-14,5.5
2014-04-21,5.31
2014-04-28,5.82
2014-05-05,5.21
2014-05-12,5.27
2014-05-19,5.51
2014-05-26,5.57
2014-06-02,6.28
2014-06-09,6.37
2014-06-16,7.72
2014-06-23,7.29
2014-06-30,6.84
2014-07-07,6.5
2014-07-14,6.02
2014-07-21,6.05
2014-07-28,6.44
2014-08-04,7.03
2014-08-11,7.18
2014-08-18,6.85
2014-08-25,6.91
2014-09-01,6.78
2014-09-08,6.58
2014-09-15,6.48
2014-09-22,6.15
2014-09-29,6.4
2014-10-06,5.76
2014-10-13,6.05
2014-10-20,6.15
2014-10-27,6.65
2014-11-03,6.72
2014-11-10,6.9
2014-11-17,6.76
2014-11-24,6.76
2014-12-01,6.41
2014-12-08,6.41
2014-12-15,6.61
2014-12-22,7.01
2014-12-29,7.0
2015-01-05,7.09
2015-01-12,6.71
2015-01-19,7.13
2015-01-26,6.63
2015-02-02,6.7
2015-02-09,6.44
2015-02-16,6.44
2015-02-23,8.12
2015-03-02,8.3
2015-03-09,8.5
2015-03-16,8.45
2015-03-23,7.99
2015-03-30,7.85
2015-04-06,8.0
2015-04-13,7.97
2015-04-20,8.06
2015-04-27,7.46
2015-05-04,8.5
2015-05-11,8.18
2015-05-18,7.82
2015-05-25,7.61
2015-06-01,7.88
2015-06-08,7.69
2015-06-15,7.94
2015-06-22,7.84
2015-06-29,7.72
2015-07-06,8.3
2015-07-13,8.11
2015-07-20,8.05
2015-07-27,8.31
2015-08-03,8.4
2015-08-10,8.57
2015-08-17,7.62
2015-08-24,7.66
2015-08-31,7.34
2015-09-07,7.45
2015-09-14,8.0
2015-09-21,7.43
2015-09-28,7.3
2015-10-05,7.26
2015-10-12,7.34
2015-10-19,7.24
2015-10-26,6.9
2015-11-02,7.72
2015-11-09,6.75
2015-11-16,7.15
2015-11-23,7.28
2015-11-30,7.08
2015-12-07,6.91
2015-12-14,7.07
2015-12-21,7.03
2015-12-28,6.73
2016-01-04,6.24
2016-01-11,6.01
2016-01-18,5.9
2016-01-25,5.8
2016-02-01,5.29
2016-02-08,4.86
2016-02-15,5.2
2016-02-22,4.24
2016-02-29,4.4
2016-03-07,4.5
