datetime,close
2010-05-31,25.7913
2010-06-07,25.79
2010-06-14,26.39
2010-06-21,24.89
2010-06-28,26.39
2010-07-05,27.11
2010-07-12,27.69
2010-07-19,26.61
2010-07-26,27.69
2010-08-02,28.49
2010-08-09,28.88
2010-08-16,29.28
2010-08-23,29.14
2010-08-30,30.97
2010-09-06,31.36
2010-09-13,33.12
2010-09-20,33.71
2010-09-27,30.67
2010-10-04,37.15
2010-10-11,35.97
2010-10-18,35.97
2010-10-25,37.48
2010-11-01,37.96
2010-11-08,34.97
2010-11-15,33.9
2010-11-22,34.83
2010-11-29,36.29
2010-12-06,36.16
2010-12-13,37.24
2010-12-20,38.2
2010-12-27,39.0099983
2011-01-03,37.43
2011-01-10,40.23
2011-01-17,40.7
2011-01-24,40.099998
2011-01-31,42.15
2011-02-07,43.64
2011-02-14,43.5
2011-02-21,43.39
2011-02-28,43.8
2011-03-07,40.5
2011-03-14,41.87
2011-03-21,42.26
2011-03-28,44.36
2011-04-04,46.22
2011-04-11,45.39
2011-04-18,45.84
2011-04-25,46.24
2011-05-02,43.099998
2011-05-09,42.36
2011-05-16,45.02
2011-05-23,45.99
2011-05-30,46.2
2011-06-06,47.92
2011-06-13,44.54
2011-06-20,42.8
2011-06-27,41.14
2011-07-04,43.14
2011-07-11,45.72
2011-07-18,45.54
2011-07-25,44.76
2011-08-01,46.85
2011-08-08,47.27
2011-08-15,47.83
2011-08-22,50.07
2011-08-29,49.74
2011-09-05,48.67
2011-09-12,45.98
2011-09-19,42.45
2011-09-26,39.88
2011-10-03,40.55
2011-10-10,42.99
2011-10-17,43.34
2011-10-24,43.81
2011-10-31,43.54
2011-11-07,42.040001
2011-11-14,40.23
2011-11-21,38.5
2011-11-28,39.19
2011-12-05,38.96
2011-12-12,38.31
2011-12-19,40.41
2011-12-26,41.98
2012-01-02,41.35
2012-01-09,39.19
2012-01-16,39.45
2012-01-23,41.07
2012-01-30,41.29
2012-02-06,40.15
2012-02-13,40.64
2012-02-20,40.27
2012-02-27,41.13
2012-03-05,40.18
2012-03-12,41.57
2012-03-19,40.040001
2012-03-26,39.26
2012-04-02,39.65
2012-04-09,38.23
2012-04-16,37.51
2012-04-23,38.35
2012-04-30,37.51
2012-05-07,35.68
2012-05-14,37.34
2012-05-21,36.42
2012-05-28,35.68
2012-06-04,37.69
2012-06-11,35.47
2012-06-18,38.0
2012-06-25,42.099998
2012-07-02,45.33
2012-07-09,48.029999
2012-07-16,49.94
2012-07-23,50.080002
2012-07-30,51.0099983
2012-08-06,51.36
2012-08-13,50.78
2012-08-20,51.21
2012-08-27,50.94
2012-09-03,50.99
2012-09-10,50.5
2012-09-17,48.38
2012-09-24,48.42
2012-10-01,47.72
2012-10-08,48.060001
2012-10-15,48.24
2012-10-22,47.57
2012-10-29,47.58
2012-11-05,47.32
2012-11-12,46.18
2012-11-19,47.39
2012-11-26,47.85
2012-12-03,47.18
2012-12-10,46.57
2012-12-17,44.7
2012-12-24,44.17
2012-12-31,42.77
2013-01-07,43.99
2013-01-14,45.0099983
2013-01-21,44.42
2013-01-28,45.18
2013-02-04,43.35
2013-02-11,42.65
2013-02-18,41.96
2013-02-25,42.69
2013-03-04,42.11
2013-03-11,43.22
2013-03-18,43.59
2013-03-25,40.9
2013-04-01,39.82
2013-04-08,41.19
2013-04-15,40.62
2013-04-22,39.27
2013-04-29,41.62
2013-05-06,39.78
2013-05-13,39.59
2013-05-20,40.62
2013-05-27,42.47
2013-06-03,42.0
2013-06-10,40.26
2013-06-17,41.9
2013-06-24,38.67
2013-07-01,37.53
2013-07-08,38.55
2013-07-15,37.9
2013-07-22,36.16
2013-07-29,35.28
2013-08-05,34.5
2013-08-12,35.23
2013-08-19,35.58
2013-08-26,36.5
2013-09-02,35.4
2013-09-09,34.9
2013-09-16,34.27
2013-09-23,34.3
2013-09-30,33.62
2013-10-07,32.9
2013-10-14,33.43
2013-10-21,33.21
2013-10-28,32.15
2013-11-04,32.21
2013-11-11,31.49
2013-11-18,31.38
2013-11-25,31.030001
2013-12-02,31.68
2013-12-09,30.99
2013-12-16,31.44
2013-12-23,30.95
2013-12-30,30.76
2014-01-06,31.16
2014-01-13,30.63
2014-01-20,30.76
2014-01-27,30.9
2014-02-03,31.61
2014-02-10,31.49
2014-02-17,31.88
2014-02-24,32.48
2014-03-03,33.51
2014-03-10,33.54
2014-03-17,33.15
2014-03-24,33.65
2014-03-31,34.92
2014-04-07,34.49
2014-04-14,34.12
2014-04-21,34.84
2014-04-28,34.060001
2014-05-05,34.34
2014-05-12,33.19
2014-05-19,32.77
2014-05-26,31.57
2014-06-02,31.55
2014-06-09,30.91
2014-06-16,31.35
2014-06-23,30.96
2014-06-30,29.02
2014-07-07,26.89
2014-07-14,26.67
2014-07-21,26.21
2014-07-28,25.6
2014-08-04,25.79
2014-08-11,26.6
2014-08-18,26.21
2014-08-25,25.75
2014-09-01,25.15
2014-09-08,23.97
2014-09-15,23.54
2014-09-22,22.99
2014-09-29,23.1
2014-10-06,23.78
2014-10-13,24.55
2014-10-20,24.9
2014-10-27,26.27
2014-11-03,25.73
2014-11-10,26.61
