datetime,close
1995-05-08,6.27
1995-05-15,6.19
1995-05-22,6.49
1995-05-29,6.42
1995-06-05,6.57
1995-06-12,6.64
1995-06-19,6.49
1995-06-26,6.49
1995-07-03,6.64
1995-07-10,6.27
1995-07-17,6.19
1995-07-24,6.34
1995-07-31,6.12
1995-08-07,5.89
1995-08-14,6.34
1995-08-21,6.19
1995-08-28,5.97
1995-09-04,6.72
1995-09-11,6.57
1995-09-18,6.57
1995-09-25,6.86
1995-10-02,6.79
1995-10-09,6.94
1995-10-16,7.01
1995-10-23,6.72
1995-10-30,7.01
1995-11-06,6.94
1995-11-13,6.86
1995-11-20,6.72
1995-11-27,7.01
1995-12-04,6.86
1995-12-11,7.01
1995-12-18,6.86
1995-12-25,7.09
1996-01-01,6.72
1996-01-08,7.01
1996-01-15,6.94
1996-01-22,6.94
1996-01-29,7.01
1996-02-05,7.61
1996-02-12,7.46
1996-02-19,7.39
1996-02-26,7.46
1996-03-04,7.54
1996-03-11,7.91
1996-03-18,7.91
1996-03-25,8.06
1996-04-01,8.13
1996-04-08,7.91
1996-04-15,8.28
1996-04-22,7.91
1996-04-29,7.98
1996-05-06,7.01
1996-05-13,7.09
1996-05-20,7.01
1996-05-27,7.09
1996-06-03,7.09
1996-06-10,6.72
1996-06-17,6.57
1996-06-24,6.42
1996-07-01,6.12
1996-07-08,5.6
1996-07-15,5.37
1996-07-22,5.07
1996-07-29,4.92
1996-08-05,5.0
1996-08-12,4.92
1996-08-19,4.78
1996-08-26,4.78
1996-09-02,4.63
1996-09-09,5.0
1996-09-16,4.92
1996-09-23,5.22
1996-09-30,5.0
1996-10-07,5.07
1996-10-14,5.3
1996-10-21,5.3
1996-10-28,4.92
1996-11-04,5.15
1996-11-11,5.07
1996-11-18,5.07
1996-11-25,5.15
1996-12-02,5.3
1996-12-09,5.3
1996-12-16,5.37
1996-12-23,5.37
1996-12-30,5.07
1997-01-06,4.7
1997-01-13,4.63
1997-01-20,4.55
1997-01-27,4.33
1997-02-03,4.33
1997-02-10,4.25
1997-02-17,4.18
1997-02-24,4.33
1997-03-03,4.25
1997-03-10,4.4
1997-03-17,4.78
1997-03-24,4.7
1997-03-31,4.55
1997-04-07,4.25
1997-04-14,4.55
1997-04-21,4.55
1997-04-28,4.63
1997-05-05,4.78
1997-05-12,4.85
1997-05-19,4.92
1997-05-26,5.0
1997-06-02,5.52
1997-06-09,5.6
1997-06-16,5.37
1997-06-23,5.45
1997-06-30,5.63
1997-07-07,5.45
1997-07-14,5.41
1997-07-21,5.41
1997-07-28,5.71
1997-08-04,6.12
1997-08-11,5.89
1997-08-18,5.97
1997-08-25,6.01
1997-09-01,6.04
1997-09-08,6.6
1997-09-15,6.3
1997-09-22,6.34
1997-09-29,6.98
1997-10-06,6.98
1997-10-13,6.6
1997-10-20,6.75
1997-10-27,6.79
1997-11-03,6.57
1997-11-10,6.49
1997-11-17,6.68
1997-11-24,7.09
1997-12-01,7.05
1997-12-08,7.01
1997-12-15,6.57
1997-12-22,6.57
1997-12-29,7.05
1998-01-05,7.24
1998-01-12,7.69
1998-01-19,7.54
1998-01-26,7.61
1998-02-02,7.83
1998-02-09,7.91
1998-02-16,8.02
