datetime,close
2012-03-26,7.34
2012-04-02,7.43
2012-04-09,7.1
2012-04-16,7.02
2012-04-23,6.75
2012-04-30,8.36
2012-05-07,8.43
2012-05-14,7.99
2012-05-21,7.79
2012-05-28,5.95
2012-06-04,6.98
2012-06-11,7.01
2012-06-18,6.61
2012-06-25,6.22
2012-07-02,6.24
2012-07-09,6.04
2012-07-16,6.1
2012-07-23,5.84
2012-07-30,6.03
2012-08-06,5.63
2012-08-13,5.26
2012-08-20,4.94
2012-08-27,4.96
2012-09-03,4.53
2012-09-10,5.22
2012-09-17,5.11
2012-09-24,4.14
2012-10-01,3.65
2012-10-08,3.63
2012-10-15,3.7
2012-10-22,3.51
2012-10-29,3.33
2012-11-05,2.65
2012-11-12,1.99
2012-11-19,2.58
2012-11-26,2.79
2012-12-03,2.67
2012-12-10,3.22
2012-12-17,3.03
2012-12-24,3.6
2012-12-31,3.9
2013-01-07,3.78
2013-01-14,3.78
2013-01-21,3.68
2013-01-28,4.08
2013-02-04,4.23
2013-02-11,5.03
2013-02-18,5.24
2013-02-25,4.75
2013-03-04,5.24
2013-03-11,5.87
2013-03-18,5.96
2013-03-25,6.2
2013-04-01,6.1
2013-04-08,5.88
2013-04-15,5.55
2013-04-22,7.25
2013-04-29,7.74
2013-05-06,7.92
2013-05-13,9.05
2013-05-20,8.15
2013-05-27,7.72
2013-06-03,6.98
2013-06-10,6.6
2013-06-17,7.19
2013-06-24,7.73
2013-07-01,7.5
2013-07-08,7.62
2013-07-15,7.4
2013-07-22,6.6
2013-07-29,6.28
2013-08-05,6.07
2013-08-12,6.5
2013-08-19,6.98
2013-08-26,6.29
2013-09-02,6.94
2013-09-09,8.06
2013-09-16,8.73
2013-09-23,7.94
2013-09-30,8.93
2013-10-07,8.69
2013-10-14,8.84
2013-10-21,7.9
2013-10-28,7.61
2013-11-04,7.84
2013-11-11,7.77
2013-11-18,7.11
2013-11-25,7.25
2013-12-02,6.0
2013-12-09,5.7
2013-12-16,5.7
2013-12-23,5.87
2013-12-30,6.92
2014-01-06,7.79
2014-01-13,8.13
2014-01-20,7.61
2014-01-27,7.4
2014-02-03,6.69
2014-02-10,7.3
2014-02-17,7.37
2014-02-24,8.07
2014-03-03,8.52
2014-03-10,8.26
2014-03-17,8.27
2014-03-24,7.22
2014-03-31,7.68
2014-04-07,7.37
2014-04-14,7.57
2014-04-21,7.65
2014-04-28,7.3
2014-05-05,8.02
2014-05-12,8.39
2014-05-19,8.75
2014-05-26,8.45
2014-06-02,8.78
2014-06-09,8.43
2014-06-16,8.47
2014-06-23,8.49
2014-06-30,9.36
2014-07-07,9.34
2014-07-14,9.7
2014-07-21,11.43
2014-07-28,9.82
2014-08-04,11.59
2014-08-11,12.64
2014-08-18,13.87
2014-08-25,14.08
2014-09-01,15.03
2014-09-08,16.79
2014-09-15,16.85
2014-09-22,14.51
2014-09-29,12.51
2014-10-06,10.55
2014-10-13,12.02
2014-10-20,13.4
2014-10-27,15.02
2014-11-03,11.8
2014-11-10,11.06
2014-11-17,11.48
2014-11-24,10.51
2014-12-01,12.86
2014-12-08,12.45
2014-12-15,14.08
2014-12-22,14.82
2014-12-29,14.21
2015-01-05,11.53
2015-01-12,10.78
2015-01-19,11.84
2015-01-26,12.39
2015-02-02,13.86
2015-02-09,15.15
2015-02-16,13.3
2015-02-23,13.78
2015-03-02,15.1
2015-03-09,13.25
2015-03-16,12.48
