datetime,close
2000-07-10,13.25
2000-07-17,11.375
2000-07-24,9.8125
2000-07-31,9.9375
2000-08-07,7.25
2000-08-14,11.0625
2000-08-21,10.875
2000-08-28,11.0
2000-09-04,10.5625
2000-09-11,10.0
2000-09-18,8.8125
2000-09-25,9.5625
2000-10-02,8.125
2000-10-09,9.375
2000-10-16,9.90625
2000-10-23,8.875
2000-10-30,8.4375
2000-11-06,7.6875
2000-11-13,7.5
2000-11-20,7.625
2000-11-27,7.25
2000-12-04,7.25
2000-12-11,7.0
2000-12-18,7.0
2000-12-25,7.48438
2001-01-01,8.125
2001-01-08,8.625
2001-01-15,9.0
2001-01-22,8.875
2001-01-29,8.875
2001-02-05,7.9375
2001-02-12,7.875
2001-02-19,7.625
2001-02-26,7.9375
2001-03-05,7.90625
2001-03-12,7.125
2001-03-19,7.0
2001-03-26,7.3125
2001-04-02,7.25
2001-04-09,8.1
2001-04-16,9.1
2001-04-23,9.04
2001-04-30,11.32
2001-05-07,11.24
2001-05-14,12.25
2001-05-21,13.01
2001-05-28,13.0
2001-06-04,13.28
2001-06-11,11.06
2001-06-18,11.49
2001-06-25,11.45
2001-07-02,10.08
2001-07-09,11.2
2001-07-16,11.0
2001-07-23,11.1
2001-07-30,13.0
2001-08-06,12.75
2001-08-13,11.93
2001-08-20,11.75
2001-08-27,12.0
2001-09-03,10.2
2001-09-10,10.25
2001-09-17,7.33
2001-09-24,7.9
2001-10-01,7.5
2001-10-08,8.35
2001-10-15,6.95
2001-10-22,7.81
2001-10-29,8.5
2001-11-05,8.81
2001-11-12,9.39
2001-11-19,9.08
2001-11-26,9.95
2001-12-03,10.73
2001-12-10,9.65
2001-12-17,10.98
2001-12-24,11.04
2001-12-31,12.47
2002-01-07,12.6
2002-01-14,10.29
2002-01-21,10.8
2002-01-28,11.44
2002-02-04,9.97
2002-02-11,10.44
2002-02-18,10.07
2002-02-25,11.22
2002-03-04,12.97
2002-03-11,14.07
2002-03-18,15.01
2002-03-25,16.15
2002-04-01,15.43
2002-04-08,16.45
2002-04-15,15.83
2002-04-22,14.65
2002-04-29,14.33
2002-05-06,15.38
2002-05-13,17.0
2002-05-20,14.31
2002-05-27,12.82
2002-06-03,12.03
2002-06-10,11.94
2002-06-17,10.99
2002-06-24,14.6
2002-07-01,15.05
2002-07-08,13.05
2002-07-15,11.03
2002-07-22,9.5
2002-07-29,8.7
2002-08-05,9.8
2002-08-12,10.59
2002-08-19,10.19
2002-08-26,9.03
2002-09-02,9.35
2002-09-09,8.93
2002-09-16,7.99
2002-09-23,7.34
2002-09-30,7.0
2002-10-07,5.84
2002-10-14,6.4
2002-10-21,6.93
2002-10-28,8.55
2002-11-04,8.34
2002-11-11,9.0
2002-11-18,10.58
2002-11-25,10.62
2002-12-02,9.63
2002-12-09,8.59
2002-12-16,9.91
2002-12-23,10.26
2002-12-30,11.25
2003-01-06,11.92
2003-01-13,12.15
2003-01-20,11.2
2003-01-27,10.69
2003-02-03,10.04
2003-02-10,10.5
2003-02-17,11.74
2003-02-24,11.35
2003-03-03,9.26
2003-03-10,10.16
2003-03-17,11.77
2003-03-24,10.75
2003-03-31,10.49
2003-04-07,9.8
2003-04-14,11.0
2003-04-21,10.5
2003-04-28,11.47
2003-05-05,11.76
2003-05-12,10.81
2003-05-19,10.34
2003-05-26,12.41
2003-06-02,13.6
2003-06-09,12.6
2003-06-16,13.53
2003-06-23,13.05
2003-06-30,13.46
2003-07-07,13.69
2003-07-14,14.09
2003-07-21,14.99
2003-07-28,14.06
2003-08-04,12.66
2003-08-11,13.26
2003-08-18,14.25
2003-08-25,14.72
2003-09-01,14.94
2003-09-08,15.07
2003-09-15,12.4
2003-09-22,11.98
2003-09-29,12.0
2003-10-06,13.28
2003-10-13,12.45
2003-10-20,11.96
2003-10-27,13.16
2003-11-03,13.55
2003-11-10,12.66
2003-11-17,12.24
2003-11-24,12.89
2003-12-01,12.0
2003-12-08,13.07
2003-12-15,12.71
2003-12-22,12.74
2003-12-29,12.89
2004-01-05,14.2
2004-01-12,14.7
2004-01-19,13.53
2004-01-26,12.76
2004-02-02,12.42
2004-02-09,11.6
2004-02-16,11.87
2004-02-23,12.15
2004-03-01,12.42
2004-03-08,11.81
2004-03-15,12.08
2004-03-22,12.53
2004-03-29,13.18
2004-04-05,13.27
2004-04-12,11.24
2004-04-19,11.05
2004-04-26,10.19
2004-05-03,10.84
2004-05-10,10.84
2004-05-17,10.86
2004-05-24,11.35
2004-05-31,11.03
2004-06-07,11.44
2004-06-14,10.71
2004-06-21,10.92
2004-06-28,10.68
2004-07-05,10.21
2004-07-12,9.15
2004-07-19,8.65
2004-07-26,8.9
2004-08-02,8.2
2004-08-09,7.85
2004-08-16,8.33
2004-08-23,8.2
2004-08-30,7.67
2004-09-06,8.12
2004-09-13,8.69
2004-09-20,8.0
