datetime,close
1980-03-10,1.29
1980-03-17,1.3
1980-03-24,1.4
1980-03-31,1.49
1980-04-07,1.55
1980-04-14,1.46
1980-04-21,1.4
1980-04-28,1.45
1980-05-05,1.57
1980-05-12,1.71
1980-05-19,1.74
1980-05-26,1.74
1980-06-02,1.69
1980-06-09,1.65
1980-06-16,1.67
1980-06-23,1.73
1980-06-30,1.7
1980-07-07,1.67
1980-07-14,1.66
1980-07-21,1.63
1980-07-28,1.75
1980-08-04,1.83
1980-08-11,1.91
1980-08-18,1.82
1980-08-25,1.75
1980-09-01,1.77
1980-09-08,1.75
1980-09-15,1.76
1980-09-22,1.73
1980-09-29,1.7
1980-10-06,1.7
1980-10-13,1.66
1980-10-20,1.55
1980-10-27,1.58
1980-11-03,1.5
1980-11-10,1.53
1980-11-17,1.51
1980-11-24,1.53
1980-12-01,1.54
1980-12-08,1.52
1980-12-15,1.62
1980-12-22,1.7
1980-12-29,1.7
1981-01-05,1.84
1981-01-12,1.84
1981-01-19,1.83
1981-01-26,1.8
1981-02-02,1.73
1981-02-09,1.74
1981-02-16,1.7
1981-02-23,1.82
1981-03-02,1.83
1981-03-09,2.07
1981-03-16,2.19
1981-03-23,2.02
1981-03-30,2.1
1981-04-06,2.15
1981-04-13,2.18
1981-04-20,2.16
1981-04-27,2.16
1981-05-04,2.11
1981-05-11,2.16
1981-05-18,2.12
1981-05-25,2.16
1981-06-01,2.32
1981-06-08,2.43
1981-06-15,2.41
1981-06-22,2.4
1981-06-29,2.25
1981-07-06,2.12
1981-07-13,2.2
1981-07-20,2.11
1981-07-27,2.23
1981-08-03,2.2
1981-08-10,2.15
1981-08-17,2.06
1981-08-24,2.11
1981-08-31,2.11
1981-09-07,2.15
1981-09-14,2.12
1981-09-21,2.22
1981-09-28,2.25
1981-10-05,2.28
1981-10-12,2.18
1981-10-19,2.23
1981-10-26,2.37
1981-11-02,2.29
1981-11-09,2.2
1981-11-16,2.23
1981-11-23,2.31
1981-11-30,2.29
1981-12-07,2.3
1981-12-14,2.39
1981-12-21,2.3
1981-12-28,2.24
1982-01-04,2.14
1982-01-11,2.11
1982-01-18,2.09
1982-01-25,2.15
1982-02-01,2.16
1982-02-08,2.23
1982-02-15,2.34
1982-02-22,2.36
1982-03-01,2.29
1982-03-08,2.32
1982-03-15,2.34
1982-03-22,2.4
1982-03-29,2.44
1982-04-05,2.55
1982-04-12,2.48
1982-04-19,2.49
1982-04-26,2.56
1982-05-03,2.59
1982-05-10,2.55
1982-05-17,2.56
1982-05-24,2.49
1982-05-31,2.49
1982-06-07,2.62
1982-06-14,2.62
1982-06-21,2.62
1982-06-28,2.56
1982-07-05,2.66
1982-07-12,2.76
1982-07-19,2.84
1982-07-26,2.69
1982-08-02,2.56
1982-08-09,2.5
1982-08-16,2.81
1982-08-23,2.79
1982-08-30,2.86
1982-09-06,2.78
1982-09-13,2.86
1982-09-20,2.82
1982-09-27,2.79
1982-10-04,2.98
1982-10-11,2.97
1982-10-18,3.2
1982-10-25,3.19
1982-11-01,3.31
1982-11-08,3.41
1982-11-15,3.05
1982-11-22,3.05
1982-11-29,3.12
1982-12-06,3.02
1982-12-13,3.09
1982-12-20,3.02
1982-12-27,3.05
1983-01-03,3.04
1983-01-10,3.03
1983-01-17,2.8
1983-01-24,2.87
1983-01-31,2.87
1983-02-07,2.91
1983-02-14,3.08
1983-02-21,3.05
1983-02-28,3.1
1983-03-07,3.01
1983-03-14,3.09
1983-03-21,3.41
1983-03-28,3.28
1983-04-04,3.22
1983-04-11,3.27
1983-04-18,3.33
1983-04-25,3.47
1983-05-02,3.48
1983-05-09,3.42
1983-05-16,3.49
1983-05-23,3.52
1983-05-30,3.54
1983-06-06,3.41
1983-06-13,3.47
1983-06-20,3.44
1983-06-27,3.44
1983-07-04,3.45
1983-07-11,3.31
1983-07-18,3.27
1983-07-25,3.17
1983-08-01,3.17
1983-08-08,3.18
1983-08-15,3.02
1983-08-22,2.99
1983-08-29,3.23
1983-09-05,3.23
1983-09-12,3.44
1983-09-19,3.23
1983-09-26,3.02
1983-10-03,3.31
1983-10-10,3.18
1983-10-17,3.16
1983-10-24,3.31
1983-10-31,3.3
1983-11-07,3.44
1983-11-14,3.38
1983-11-21,3.3
1983-11-28,3.31
1983-12-05,3.3
1983-12-12,3.38
1983-12-19,3.22
1983-12-26,3.27
1984-01-02,3.36
1984-01-09,3.3
1984-01-16,3.28
1984-01-23,3.23
1984-01-30,2.96
1984-02-06,2.91
1984-02-13,2.8
1984-02-20,2.98
1984-02-27,2.98
1984-03-05,2.92
1984-03-12,2.97
1984-03-19,2.89
1984-03-26,2.91
1984-04-02,2.86
1984-04-09,2.95
1984-04-16,3.03
1984-04-23,3.07
1984-04-30,3.05
1984-05-07,3.13
1984-05-14,3.13
1984-05-21,3.13
1984-05-28,3.14
1984-06-04,3.34
1984-06-11,3.23
1984-06-18,3.25
1984-06-25,3.3
1984-07-02,3.26
1984-07-09,3.28
1984-07-16,3.28
1984-07-23,3.2
1984-07-30,3.34
1984-08-06,3.41
1984-08-13,3.34
1984-08-20,3.43
1984-08-27,3.4
1984-09-03,3.38
1984-09-10,3.62
1984-09-17,3.69
1984-09-24,3.44
1984-10-01,3.42
1984-10-08,3.48
1984-10-15,3.55
1984-10-22,3.3
1984-10-29,3.31
1984-11-05,3.39
1984-11-12,3.14
1984-11-19,3.19
1984-11-26,3.12
1984-12-03,3.06
1984-12-10,3.18
1984-12-17,3.17
1984-12-24,3.12
1984-12-31,3.09
1985-01-07,3.01
1985-01-14,3.1
1985-01-21,3.02
1985-01-28,3.47
1985-02-04,3.51
1985-02-11,3.63
1985-02-18,3.48
1985-02-25,3.49
1985-03-04,3.44
1985-03-11,3.5
1985-03-18,3.55
1985-03-25,3.63
1985-04-01,3.48
1985-04-08,3.54
1985-04-15,3.51
1985-04-22,3.37
1985-04-29,3.3
1985-05-06,3.44
1985-05-13,3.56
1985-05-20,3.63
1985-05-27,3.75
1985-06-03,3.7
1985-06-10,3.65
1985-06-17,3.7
1985-06-24,3.98
1985-07-01,3.85
1985-07-08,3.78
1985-07-15,3.75
1985-07-22,3.55
1985-07-29,3.55
1985-08-05,3.51
1985-08-12,3.51
1985-08-19,3.46
1985-08-26,3.55
1985-09-02,3.63
1985-09-09,3.55
1985-09-16,3.61
1985-09-23,3.79
1985-09-30,3.94
1985-10-07,3.95
1985-10-14,3.98
1985-10-21,3.96
1985-10-28,4.02
1985-11-04,4.09
1985-11-11,4.15
1985-11-18,4.3
1985-11-25,3.72
1985-12-02,3.67
1985-12-09,3.73
1985-12-16,3.89
1985-12-23,3.81
1985-12-30,3.77
1986-01-06,3.63
1986-01-13,3.57
1986-01-20,3.67
1986-01-27,3.86
1986-02-03,3.95
1986-02-10,3.88
1986-02-17,3.76
1986-02-24,4.33
1986-03-03,4.64
1986-03-10,5.0
1986-03-17,4.65
1986-03-24,4.7
1986-03-31,4.47
1986-04-07,4.64
1986-04-14,4.69
1986-04-21,4.62
1986-04-28,4.35
1986-05-05,4.52
1986-05-12,4.67
1986-05-19,4.77
1986-05-26,4.84
1986-06-02,4.85
1986-06-09,4.78
1986-06-16,5.19
1986-06-23,5.05
1986-06-30,5.38
1986-07-07,5.23
1986-07-14,5.16
1986-07-21,5.56
1986-07-28,5.59
1986-08-04,5.4
1986-08-11,5.59
1986-08-18,5.53
1986-08-25,5.42
1986-09-01,5.28
1986-09-08,4.8
1986-09-15,4.91
1986-09-22,5.0
1986-09-29,4.93
1986-10-06,4.88
1986-10-13,5.29
1986-10-20,5.36
1986-10-27,5.52
1986-11-03,5.58
1986-11-10,5.27
1986-11-17,5.14
1986-11-24,5.58
1986-12-01,5.38
1986-12-08,5.23
1986-12-15,5.5
1986-12-22,5.38
1986-12-29,5.5
1987-01-05,5.8
1987-01-12,5.67
1987-01-19,5.81
1987-01-26,6.02
1987-02-02,6.12
1987-02-09,6.36
1987-02-16,6.22
1987-02-23,6.31
1987-03-02,6.52
1987-03-09,6.7
1987-03-16,6.59
1987-03-23,6.55
1987-03-30,6.5
1987-04-06,6.08
1987-04-13,5.89
1987-04-20,5.5
1987-04-27,5.64
1987-05-04,5.88
1987-05-11,6.69
1987-05-18,6.38
1987-05-25,6.75
1987-06-01,6.94
1987-06-08,7.16
1987-06-15,7.05
1987-06-22,7.08
1987-06-29,6.97
1987-07-06,6.94
1987-07-13,6.88
1987-07-20,6.67
1987-07-27,7.16
1987-08-03,7.17
1987-08-10,7.19
1987-08-17,7.67
1987-08-24,7.36
1987-08-31,6.86
1987-09-07,7.09
1987-09-14,7.16
1987-09-21,7.11
1987-09-28,7.39
1987-10-05,6.7
1987-10-12,5.98
1987-10-19,5.75
1987-10-26,6.12
1987-11-02,5.91
1987-11-09,5.84
1987-11-16,5.66
1987-11-23,5.58
1987-11-30,5.27
1987-12-07,5.72
1987-12-14,6.09
1987-12-21,6.25
1987-12-28,6.2
1988-01-04,6.17
1988-01-11,6.14
1988-01-18,6.05
1988-01-25,6.28
1988-02-01,6.05
1988-02-08,6.25
1988-02-15,6.27
1988-02-22,6.12
1988-02-29,6.33
1988-03-07,6.16
1988-03-14,6.3
1988-03-21,5.84
1988-03-28,5.94
1988-04-04,6.08
1988-04-11,5.78
1988-04-18,5.83
1988-04-25,5.81
1988-05-02,5.7
1988-05-09,5.42
1988-05-16,5.75
1988-05-23,5.72
1988-05-30,6.02
1988-06-06,5.98
1988-06-13,5.88
1988-06-20,5.81
1988-06-27,5.72
1988-07-04,5.7
1988-07-11,5.86
1988-07-18,5.75
1988-07-25,5.94
1988-08-01,6.19
