datetime,close
2017-01-02,26.55
2017-01-09,25.049999
2017-01-16,26.6
2017-01-23,28.51
2017-01-30,29.31
2017-02-06,30.35
2017-02-13,29.48
2017-02-20,30.01
2017-02-27,30.07
2017-03-06,28.86
2017-03-13,29.030001
2017-03-20,28.85
2017-03-27,28.66
2017-04-03,30.61
2017-04-10,31.64
2017-04-17,31.16
2017-04-24,33.47
2017-05-01,36.0
2017-05-08,35.81
2017-05-15,35.84
2017-05-22,35.83
2017-05-29,35.97
2017-06-05,34.63
2017-06-12,36.6
2017-06-19,36.3
2017-06-26,36.060001
2017-07-03,35.31
2017-07-10,36.35
2017-07-17,36.14
2017-07-24,36.27
2017-07-31,36.17
2017-08-07,34.5
2017-08-14,34.72
2017-08-21,35.96
2017-08-28,36.54
2017-09-04,35.3
2017-09-11,36.42
2017-09-18,38.44
2017-09-25,38.63
2017-10-02,39.19
2017-10-09,39.9
2017-10-16,40.029999
2017-10-23,40.68
2017-10-30,40.75
2017-11-06,40.56
2017-11-13,40.48
2017-11-20,40.27
2017-11-27,39.68
2017-12-04,42.71
2017-12-11,41.81
2017-12-18,41.57
2017-12-25,41.95
2018-01-01,41.040001
2018-01-08,41.95
2018-01-15,43.97
2018-01-22,45.14
2018-01-29,44.049999
2018-02-05,43.39
2018-02-12,44.63
2018-02-19,44.060001
2018-02-26,44.45
2018-03-05,47.3
2018-03-12,44.5
2018-03-19,42.44
2018-03-26,43.02
2018-04-02,42.65
2018-04-09,42.49
2018-04-16,44.07
2018-04-23,43.37
2018-04-30,39.25
2018-05-07,40.32
2018-05-14,39.95
2018-05-21,39.88
2018-05-28,40.43
2018-06-04,39.62
2018-06-11,38.86
2018-06-18,37.029999
2018-06-25,34.7
2018-07-02,34.41
2018-07-09,35.65
2018-07-16,34.49
2018-07-23,33.99
2018-07-30,33.88
2018-08-06,31.57
2018-08-13,32.6
2018-08-20,32.52
2018-08-27,32.66
2018-09-03,31.75
2018-09-10,32.63
2018-09-17,33.24
2018-09-24,33.099998
2018-10-01,30.52
2018-10-08,29.3
2018-10-15,29.87
2018-10-22,27.97
2018-10-29,30.94
2018-11-05,27.73
2018-11-12,29.6
2018-11-19,30.07
2018-11-26,32.060001
2018-12-03,28.42
2018-12-10,28.12
2018-12-17,25.0
2018-12-24,26.19
2018-12-31,27.1
2019-01-07,29.51
2019-01-14,30.5
2019-01-21,29.77
2019-01-28,30.43
2019-02-04,29.47
2019-02-11,31.6
2019-02-18,32.64
2019-02-25,32.7
2019-03-04,32.22
2019-03-11,31.89
2019-03-18,30.51
2019-03-25,30.85
2019-04-01,32.72
2019-04-08,33.2
2019-04-15,32.67
2019-04-22,31.93
2019-04-29,30.48
2019-05-06,28.45
2019-05-13,27.33
2019-05-20,25.86
2019-05-27,25.42
2019-06-03,27.6
2019-06-10,29.1
2019-06-17,30.38
2019-06-24,31.82
2019-07-01,32.21
2019-07-08,32.12
2019-07-15,32.0099983
2019-07-22,32.7
2019-07-29,26.46
2019-08-05,26.73
2019-08-12,27.62
2019-08-19,31.79
2019-08-26,33.77
2019-09-02,33.4
2019-09-09,33.95
2019-09-16,33.49
2019-09-23,32.09
2019-09-30,32.14
2019-10-07,32.64
2019-10-14,34.34
2019-10-21,34.68
2019-10-28,35.34
2019-11-04,35.67
2019-11-11,35.15
2019-11-18,34.3
2019-11-25,34.63
2019-12-02,34.95
2019-12-09,34.5
2019-12-16,34.65
2019-12-23,34.45
2019-12-30,34.74
2020-01-06,34.38
2020-01-13,34.82
2020-01-20,33.76
