datetime,close
2021-07-26,35.15
2021-08-02,55.0099983
2021-08-09,50.63
2021-08-16,42.64
2021-08-23,46.87
2021-08-30,43.35
2021-09-06,41.17
2021-09-13,42.38
2021-09-20,44.91
2021-09-27,41.9
2021-10-04,41.78
2021-10-11,41.029999
2021-10-18,39.59
2021-10-25,34.97
2021-11-01,37.0099983
2021-11-08,35.21
2021-11-15,28.99
2021-11-22,27.92
2021-11-29,21.55
2021-12-06,20.13
2021-12-13,19.1
2021-12-20,18.9
2021-12-27,17.76
2022-01-03,15.89
2022-01-10,15.17
2022-01-17,12.98
2022-01-24,12.73
2022-01-31,15.18
2022-02-07,13.32
2022-02-14,11.81
2022-02-21,11.61
2022-02-28,10.96
2022-03-07,11.02
2022-03-14,13.44
2022-03-21,12.39
2022-03-28,13.5
2022-04-04,11.24
2022-04-11,11.38
2022-04-18,10.26
2022-04-25,9.805
2022-05-02,10.12
2022-05-09,10.69
2022-05-16,10.08
2022-05-23,10.38
2022-05-30,9.17
2022-06-06,7.81
2022-06-13,7.19
2022-06-20,8.0
2022-06-27,8.18
2022-07-04,9.0
2022-07-11,8.41
2022-07-18,9.08
2022-07-25,9.05
2022-08-01,10.4
2022-08-08,10.93
2022-08-15,9.26
2022-08-22,9.38
2022-08-29,9.45
2022-09-05,10.6
2022-09-12,10.25
2022-09-19,9.44
2022-09-26,10.1
2022-10-03,10.8
2022-10-10,9.89
2022-10-17,10.14
2022-10-24,11.5
2022-10-31,12.28
2022-11-07,10.47
2022-11-14,9.19
2022-11-21,9.39
2022-11-28,9.99
2022-12-05,9.31
2022-12-12,8.61
2022-12-19,7.95
2022-12-26,8.14
2023-01-02,8.25
2023-01-09,9.32
2023-01-16,9.52
2023-01-23,10.39
2023-01-30,10.74
2023-02-06,9.98
2023-02-13,10.35
2023-02-20,9.59
2023-02-27,9.9
2023-03-06,9.01
2023-03-13,9.19
2023-03-20,8.68
2023-03-27,9.71
2023-04-03,10.01
2023-04-10,10.0
2023-04-17,9.64
2023-04-24,8.85
2023-05-01,8.85
2023-05-08,8.74
2023-05-15,8.47
2023-05-22,8.82
2023-05-29,9.34
2023-06-05,9.41
2023-06-12,10.03
2023-06-19,9.49
2023-06-26,9.98
2023-07-03,10.79
2023-07-10,12.38
2023-07-17,12.76
2023-07-24,12.73
2023-07-31,11.28
2023-08-07,10.72
2023-08-14,10.25
2023-08-21,10.54
2023-08-28,11.11
2023-09-04,10.74
2023-09-11,10.67
2023-09-18,9.7
2023-09-25,9.81
2023-10-02,9.93
2023-10-09,9.14
2023-10-16,9.13
2023-10-23,8.9
2023-10-30,9.69
2023-11-06,8.23
2023-11-13,8.1
2023-11-20,8.29
2023-11-27,9.32
2023-12-04,11.73
2023-12-11,11.69
2023-12-18,12.95
2023-12-25,12.74
2024-01-01,11.89
2024-01-08,11.02
2024-01-15,10.71
2024-01-22,10.79
2024-01-29,10.92
2024-02-05,11.55
2024-02-12,14.0
2024-02-19,14.48
2024-02-26,16.58
2024-03-04,17.0
2024-03-11,18.15
2024-03-18,18.3
2024-03-25,20.13
2024-04-01,18.4
2024-04-08,17.97
2024-04-15,16.63
2024-04-22,17.88
2024-04-29,17.95
2024-05-06,16.23
2024-05-13,20.09
2024-05-20,20.51
2024-05-27,20.9
2024-06-03,22.18
2024-06-10,22.42
2024-06-17,22.29
2024-06-24,22.71
2024-07-01,22.68
2024-07-08,22.28
2024-07-15,23.41
2024-07-22,21.2
2024-07-29,17.88
2024-08-05,17.92
2024-08-12,19.98
2024-08-19,21.12
2024-08-26,20.12
2024-09-02,18.94
2024-09-09,22.07
2024-09-16,22.73
2024-09-23,23.89
2024-09-30,22.89
2024-10-07,26.27
2024-10-14,26.83
2024-10-21,27.059999
2024-10-28,23.97
2024-11-04,30.54
2024-11-11,32.32
2024-11-18,36.65
2024-11-25,37.54
2024-12-02,41.67
2024-12-09,40.2
2024-12-16,38.33
2024-12-23,39.02
2024-12-30,41.35
2025-01-06,40.080002
2025-01-13,48.15
2025-01-20,51.12
2025-01-27,51.95
2025-02-03,55.86
2025-02-10,65.28
2025-02-17,51.6
2025-02-24,50.099998
2025-03-03,44.42
2025-03-10,39.24
2025-03-17,44.36
2025-03-24,41.92
2025-03-31,34.51
2025-04-07,43.68
2025-04-14,41.18
2025-04-21,49.45
2025-04-28,48.59
2025-05-05,54.65
2025-05-12,61.76
2025-05-19,63.17
2025-05-26,66.15
2025-06-02,74.88
2025-06-09,72.6
2025-06-16,78.5
2025-06-23,83.029999
2025-06-30,94.4
2025-07-07,98.34
2025-07-14,109.74
2025-07-21,104.85
2025-07-28,99.9
2025-08-04,114.63
2025-08-11,114.17
2025-08-18,109.32
2025-08-25,104.029999
2025-09-01,101.25
2025-09-08,115.029999
2025-09-15,124.78
2025-09-22,121.78
2025-09-29,148.67
2025-10-06,138.96001
2025-10-13,129.91
2025-10-20,139.78999
2025-10-27,146.78
2025-11-03,130.36
2025-11-10,122.5
2025-11-17,107.3
2025-11-24,128.49001
2025-12-01,131.95
2025-12-08,119.5
2025-12-15,121.35
2025-12-22,118.13
2025-12-29,115.21
2026-01-05,115.27
2026-01-12,108.74
2026-01-19,106.99
2026-01-26,99.48
2026-02-02,82.82
2026-02-09,75.97
2026-02-16,76.11
2026-02-23,75.85
2026-03-02,77.089996
2026-03-09,73.39
2026-03-16,70.89
2026-03-23,66.019997
2026-03-30,68.9
2026-04-06,69.19
2026-04-13,90.75
2026-04-20,84.71
2026-04-27,73.66
2026-05-04,77.029999
2026-05-11,77.14
2026-05-18,73.64
2026-05-25,94.3
2026-06-01,82.47
2026-06-08,93.19
2026-06-15,108.15
2026-06-22,98.69
2026-06-29,112.73
2026-07-06,111.97
2026-07-13,99.96
2026-07-20,94.91
2026-07-27,86.56
2026-08-03,93.29
2026-08-10,95.56
2026-08-17,108.13
2026-08-24,104.26
2026-08-31,122.11
2026-09-07,117.37
