datetime,close
2005-11-14,7.0
2005-11-21,6.83
2005-11-28,7.22
2005-12-05,7.24
2005-12-12,6.84
2005-12-19,6.85
2005-12-26,7.27
2006-01-02,8.06
2006-01-09,8.91
2006-01-16,9.26
2006-01-23,10.2
2006-01-30,11.1
2006-02-06,10.35
2006-02-13,10.27
2006-02-20,10.9
2006-02-27,12.12
2006-03-06,13.43
2006-03-13,13.62
2006-03-20,13.44
2006-03-27,13.81
2006-04-03,10.6
2006-04-10,11.75
2006-04-17,13.8
2006-04-24,14.26
2006-05-01,14.84
2006-05-08,15.12
2006-05-15,14.0
2006-05-22,11.49
2006-05-29,10.95
2006-06-05,10.17
2006-06-12,10.12
2006-06-19,10.89
2006-06-26,11.59
2006-07-03,10.97
2006-07-10,11.92
2006-07-17,11.62
2006-07-24,11.79
2006-07-31,11.89
2006-08-07,12.05
2006-08-14,12.87
2006-08-21,12.42
2006-08-28,12.73
2006-09-04,12.81
2006-09-11,14.87
2006-09-18,14.74
2006-09-25,15.01
2006-10-02,17.08
2006-10-09,16.59
2006-10-16,16.36
2006-10-23,16.89
2006-10-30,16.35
2006-11-06,17.02
2006-11-13,20.24
2006-11-20,20.82
2006-11-27,19.02
2006-12-04,21.62
2006-12-11,21.27
2006-12-18,20.85
2006-12-25,21.58
2007-01-01,24.91
2007-01-08,26.95
2007-01-15,25.38
2007-01-22,27.030001
2007-01-29,28.49
2007-02-05,29.87
2007-02-12,31.66
2007-02-19,32.39
2007-02-26,27.72
2007-03-05,26.2
2007-03-12,25.28
2007-03-19,24.71
2007-03-26,24.44
2007-04-02,25.78
2007-04-09,25.96
2007-04-16,26.77
2007-04-23,25.35
2007-04-30,27.68
2007-05-07,28.11
2007-05-14,27.84
2007-05-21,29.0
2007-05-28,28.59
2007-06-04,29.13
2007-06-11,31.4
2007-06-18,31.1
2007-06-25,29.57
2007-07-02,31.22
2007-07-09,33.42
2007-07-16,32.049999
2007-07-23,30.28
2007-07-30,30.79
2007-08-06,30.21
2007-08-13,26.71
2007-08-20,28.5
2007-08-27,29.17
2007-09-03,26.57
2007-09-10,25.54
2007-09-17,27.09
2007-09-24,30.38
2007-10-01,31.55
2007-10-08,32.26
2007-10-15,32.79
2007-10-22,34.049999
2007-10-29,34.93
2007-11-05,33.09
2007-11-12,35.0099983
2007-11-19,33.6
2007-11-26,33.39
2007-12-03,35.11
2007-12-10,37.15
2007-12-17,37.29
2007-12-24,37.89
2007-12-31,34.16
2008-01-07,34.62
2008-01-14,27.72
2008-01-21,29.07
2008-01-28,27.09
2008-02-04,25.56
2008-02-11,26.47
2008-02-18,26.9
2008-02-25,26.059999
2008-03-03,26.38
2008-03-10,26.27
2008-03-17,24.97
2008-03-24,25.95
2008-03-31,29.49
2008-04-07,29.58
2008-04-14,31.33
2008-04-21,32.11
2008-04-28,32.22
2008-05-05,31.31
2008-05-12,30.9
2008-05-19,28.54
2008-05-26,27.64
2008-06-02,25.62
2008-06-09,24.6
2008-06-16,25.94
2008-06-23,23.76
2008-06-30,21.2
2008-07-07,17.68
2008-07-14,17.89
2008-07-21,20.58
2008-07-28,19.24
2008-08-04,17.54
2008-08-11,17.39
2008-08-18,17.62
2008-08-25,17.61
2008-09-01,19.55
2008-09-08,18.18
2008-09-15,17.32
2008-09-22,15.77
2008-09-29,15.64
2008-10-06,14.8
2008-10-13,16.82
2008-10-20,11.91
2008-10-27,17.11
2008-11-03,16.040001
2008-11-10,14.17
2008-11-17,11.7
2008-11-24,14.72
2008-12-01,14.32
2008-12-08,15.36
2008-12-15,16.040001
2008-12-22,15.32
2008-12-29,16.91
2009-01-05,12.78
2009-01-12,11.53
2009-01-19,11.33
2009-01-26,11.39
2009-02-02,12.69
2009-02-09,12.62
2009-02-16,11.61
2009-02-23,11.35
2009-03-02,12.08
