datetime,close
2008-06-16,50.058701
2008-06-23,50.16
2008-06-30,47.51
2008-07-07,48.26
2008-07-14,49.18
2008-07-21,47.51
2008-07-28,48.07
2008-08-04,46.54
2008-08-11,47.46
2008-08-18,50.19
2008-08-25,50.14
2008-09-01,44.14
2008-09-08,41.34
2008-09-15,43.099998
2008-09-22,40.39
2008-09-29,33.41
2008-10-06,24.09
2008-10-13,25.84
2008-10-20,19.54
2008-10-27,21.99
2008-11-03,22.63
2008-11-10,19.02
2008-11-17,14.44
2008-11-24,19.17
2008-12-01,18.2
2008-12-08,18.25
2008-12-15,19.84
2008-12-22,19.85
2008-12-29,22.58
2009-01-05,22.049999
2009-01-12,20.02
2009-01-19,18.5
2009-01-26,20.27
2009-02-02,19.43
2009-02-09,19.17
2009-02-16,16.36
2009-02-23,15.23
2009-03-02,13.58
2009-03-09,15.28
2009-03-16,15.39
2009-03-23,18.4
2009-03-30,18.78
2009-04-06,19.4
2009-04-13,19.83
2009-04-20,19.51
2009-04-27,21.0
2009-05-04,23.54
2009-05-11,21.54
2009-05-18,22.96
2009-05-25,23.67
2009-06-01,24.43
2009-06-08,24.76
2009-06-15,23.38
2009-06-22,22.47
2009-06-29,22.62
2009-07-06,20.49
2009-07-13,21.85
2009-07-20,24.27
2009-07-27,23.35
2009-08-03,23.28
2009-08-10,22.57
2009-08-17,21.76
2009-08-24,21.49
2009-08-31,21.27
2009-09-07,22.86
2009-09-14,24.54
2009-09-21,22.95
2009-09-28,21.93
2009-10-05,22.78
2009-10-12,22.69
2009-10-19,22.22
2009-10-26,20.43
2009-11-02,21.040001
2009-11-09,21.5
2009-11-16,21.53
2009-11-23,21.37
2009-11-30,21.94
2009-12-07,21.97
2009-12-14,21.67
2009-12-21,22.26
2009-12-28,22.26
2010-01-04,23.86
2010-01-11,22.22
2010-01-18,20.0
2010-01-25,19.24
2010-02-01,18.88
2010-02-08,18.68
2010-02-15,18.81
2010-02-22,17.88
2010-03-01,18.87
2010-03-08,18.99
2010-03-15,18.29
2010-03-22,18.57
2010-03-29,19.01
2010-04-05,19.36
2010-04-12,19.51
2010-04-19,19.21
2010-04-26,18.4
2010-05-03,16.059999
2010-05-10,16.18
2010-05-17,15.14
2010-05-24,15.21
2010-05-31,14.56
2010-06-07,15.3
2010-06-14,16.18
2010-06-21,15.61
2010-06-28,15.15
2010-07-05,16.46
2010-07-12,16.13
2010-07-19,17.1
2010-07-26,16.25
2010-08-02,16.88
2010-08-09,15.99
2010-08-16,15.59
2010-08-23,15.75
2010-08-30,16.39
2010-09-06,16.27
2010-09-13,16.4
2010-09-20,16.84
2010-09-27,17.18
2010-10-04,17.4
2010-10-11,17.69
2010-10-18,17.2
2010-10-25,16.96
2010-11-01,17.48
2010-11-08,16.39
2010-11-15,16.030001
2010-11-22,15.41
2010-11-29,15.71
2010-12-06,16.030001
2010-12-13,15.8
2010-12-20,15.8
2010-12-27,15.84
2011-01-03,15.77
2011-01-10,16.47
2011-01-17,16.81
2011-01-24,16.23
2011-01-31,16.97
2011-02-07,17.049999
2011-02-14,17.91
2011-02-21,17.4
2011-02-28,16.95
2011-03-07,16.31
2011-03-14,17.51
2011-03-21,17.99
2011-03-28,18.77
2011-04-04,18.4
2011-04-11,17.85
2011-04-18,17.6
2011-04-25,18.37
2011-05-02,17.29
2011-05-09,17.12
2011-05-16,16.72
2011-05-23,16.33
2011-05-30,16.56
2011-06-06,15.87
2011-06-13,15.89
2011-06-20,15.36
2011-06-27,16.33
2011-07-04,15.67
2011-07-11,14.92
2011-07-18,15.55
2011-07-25,14.67
2011-08-01,12.93
2011-08-08,12.77
2011-08-15,11.86
2011-08-22,12.75
2011-08-29,12.36
2011-09-05,11.26
2011-09-12,11.12
2011-09-19,9.67
2011-09-26,9.27
2011-10-03,9.31
2011-10-10,9.86
2011-10-17,9.64
2011-10-24,10.48
2011-10-31,9.65
2011-11-07,9.58
2011-11-14,9.0
2011-11-21,8.57
2011-11-28,9.17
2011-12-05,9.1
2011-12-12,8.49
2011-12-19,8.56
2011-12-26,8.54
2012-01-02,8.54
2012-01-09,9.03
2012-01-16,9.27
2012-01-23,9.58
2012-01-30,9.72
2012-02-06,10.1
2012-02-13,10.08
2012-02-20,9.74
2012-02-27,9.57
2012-03-05,9.41
2012-03-12,9.47
2012-03-19,9.37
2012-03-26,9.1
2012-04-02,8.89
2012-04-09,8.71
2012-04-16,8.73
2012-04-23,8.58
2012-04-30,8.26
2012-05-07,8.0
2012-05-14,7.11
2012-05-21,7.04
2012-05-28,6.86
2012-06-04,7.08
2012-06-11,7.25
2012-06-18,7.12
2012-06-25,7.22
2012-07-02,7.11
2012-07-09,6.91
2012-07-16,6.56
2012-07-23,6.38
2012-07-30,6.44
2012-08-06,6.79
2012-08-13,6.91
2012-08-20,7.0
2012-08-27,6.72
2012-09-03,6.82
2012-09-10,6.99
2012-09-17,6.93
2012-09-24,6.85
2012-10-01,6.87
2012-10-08,6.75
2012-10-15,6.91
2012-10-22,6.54
2012-10-29,6.47
2012-11-05,6.35
2012-11-12,6.34
2012-11-19,6.52
2012-11-26,6.65
2012-12-03,6.87
2012-12-10,7.1
2012-12-17,7.36
2012-12-24,7.1
2012-12-31,7.57
2013-01-07,7.66
2013-01-14,7.55
2013-01-21,7.49
2013-01-28,7.31
2013-02-04,7.19
2013-02-11,7.54
2013-02-18,7.37
2013-02-25,7.29
2013-03-04,7.45
2013-03-11,7.33
2013-03-18,7.52
2013-03-25,7.36
2013-04-01,7.22
2013-04-08,8.14
2013-04-15,8.05
2013-04-22,8.24
2013-04-29,8.57
2013-05-06,8.81
2013-05-13,9.1
2013-05-20,9.02
2013-05-27,9.0
2013-06-03,8.86
2013-06-10,8.81
2013-06-17,8.66
2013-06-24,8.74
2013-07-01,8.72
2013-07-08,9.1
2013-07-15,9.41
2013-07-22,9.38
2013-07-29,9.61
2013-08-05,9.5
2013-08-12,9.36
