datetime,close
2005-11-14,51.71
2005-11-21,52.85
2005-11-28,52.32
2005-12-05,52.18
2005-12-12,52.79
2005-12-19,52.97
2005-12-26,51.96
2006-01-02,52.97
2006-01-09,52.87
2006-01-16,50.8
2006-01-23,52.23
2006-01-30,51.17
2006-02-06,51.85
2006-02-13,52.82
2006-02-20,54.0099983
2006-02-27,53.2
2006-03-06,53.35
2006-03-13,54.13
2006-03-20,54.060001
2006-03-27,53.22
2006-04-03,53.52
2006-04-10,53.59
2006-04-17,54.32
2006-04-24,56.7
2006-05-01,57.02
2006-05-08,55.6
2006-05-15,54.72
2006-05-22,55.19
2006-05-29,55.74
2006-06-05,55.3
2006-06-12,53.48
2006-06-19,52.8
2006-06-26,53.73
2006-07-03,53.76
2006-07-10,53.040001
2006-07-17,54.55
2006-07-24,55.92
2006-07-31,56.42
2006-08-07,55.080002
2006-08-14,56.12
2006-08-21,55.47
2006-08-28,55.65
2006-09-04,55.45
2006-09-11,56.060001
2006-09-18,56.15
2006-09-25,56.63
2006-10-02,57.040001
2006-10-09,57.43
2006-10-16,56.67
2006-10-23,56.87
2006-10-30,56.3
2006-11-06,57.12
2006-11-13,57.44
2006-11-20,57.0
2006-11-27,56.47
2006-12-04,57.46
2006-12-11,58.18
2006-12-18,58.31
2006-12-25,58.25
2007-01-01,58.02
2007-01-08,58.22
2007-01-15,58.35
2007-01-22,58.26
2007-01-29,59.11
2007-02-05,58.91
2007-02-12,60.15
2007-02-19,59.65
2007-02-26,57.22
2007-03-05,57.32
2007-03-12,55.62
2007-03-19,57.63
2007-03-26,56.8
2007-04-02,56.49
2007-04-09,56.32
2007-04-16,58.34
2007-04-23,58.22
2007-04-30,58.56
2007-05-07,58.5
2007-05-14,58.9
2007-05-21,58.45
2007-05-28,58.77
2007-06-04,57.61
2007-06-11,57.2
2007-06-18,55.8
2007-06-25,55.48
2007-07-02,56.22
2007-07-09,56.5
2007-07-16,54.85
2007-07-23,51.82
2007-07-30,50.26
2007-08-06,52.0
2007-08-13,54.4
2007-08-20,54.02
2007-08-27,52.38
2007-09-03,51.15
2007-09-10,52.53
2007-09-17,53.27
2007-09-24,52.4
2007-10-01,54.35
2007-10-08,53.18
2007-10-15,49.54
2007-10-22,51.02
2007-10-29,47.91
2007-11-05,46.34
2007-11-12,46.080002
2007-11-19,45.65
2007-11-26,48.2
2007-12-03,47.76
2007-12-10,44.65
2007-12-17,44.21
2007-12-24,43.46
2007-12-31,40.97
2008-01-07,41.53
2008-01-14,38.22
2008-01-21,42.55
2008-01-28,47.34
2008-02-04,43.41
2008-02-11,43.23
2008-02-18,43.39
2008-02-25,40.8
2008-03-03,38.5
2008-03-10,38.28
2008-03-17,42.7
2008-03-24,38.69
2008-03-31,40.62
2008-04-07,38.86
2008-04-14,40.18
2008-04-21,41.5
2008-04-28,42.45
2008-05-05,40.099998
2008-05-12,39.91
2008-05-19,37.7
2008-05-26,37.55
2008-06-02,34.61
2008-06-09,33.21
2008-06-16,30.68
2008-06-23,29.26
2008-06-30,28.25
2008-07-07,27.0
2008-07-14,30.91
2008-07-21,31.28
2008-07-28,33.060001
2008-08-04,33.72
2008-08-11,32.71
2008-08-18,31.62
2008-08-25,32.77
2008-09-01,34.2
2008-09-08,35.45
2008-09-15,39.3
2008-09-22,36.2
2008-09-29,33.38
2008-10-06,25.97
2008-10-13,28.2
2008-10-20,25.14
2008-10-27,29.02
2008-11-03,26.6
2008-11-10,23.95
2008-11-17,18.37
2008-11-24,23.72
2008-12-01,23.56
2008-12-08,21.6
2008-12-15,21.41
2008-12-22,20.68
2008-12-29,22.34
2009-01-05,19.78
2009-01-12,15.69
2009-01-19,14.17
2009-01-26,14.28
2009-02-02,15.19
2009-02-09,13.02
2009-02-16,10.86
2009-02-23,12.18
2009-03-02,9.31
2009-03-09,12.79
2009-03-16,12.91
2009-03-23,14.52
2009-03-30,15.28
2009-04-06,16.83
2009-04-13,18.47
2009-04-20,17.08
2009-04-27,16.040001
2009-05-04,21.62
2009-05-11,18.3
2009-05-18,17.89
2009-05-25,18.86
2009-06-01,18.49
2009-06-08,19.28
2009-06-15,18.43
2009-06-22,18.0
2009-06-29,17.5
2009-07-06,17.01
2009-07-13,18.42
2009-07-20,18.52
2009-07-27,20.1
2009-08-03,22.54
2009-08-10,22.77
2009-08-17,23.33
2009-08-24,23.6
2009-08-31,22.45
2009-09-07,22.59
2009-09-14,23.67
2009-09-21,22.9
2009-09-28,22.18
2009-10-05,23.54
2009-10-12,23.49
2009-10-19,23.08
2009-10-26,20.92
2009-11-02,21.26
2009-11-09,21.39
2009-11-16,21.66
2009-11-23,21.32
2009-11-30,21.99
2009-12-07,21.63
2009-12-14,21.15
2009-12-21,21.52
2009-12-28,21.17
2010-01-04,23.32
2010-01-11,23.16
2010-01-18,22.96
2010-01-25,23.09
2010-02-01,22.24
2010-02-08,22.23
2010-02-15,23.15
2010-02-22,23.51
2010-03-01,24.14
2010-03-08,25.049999
2010-03-15,25.37
2010-03-22,26.01
2010-03-29,25.99
2010-04-05,27.48
2010-04-12,27.26
2010-04-19,28.72
2010-04-26,27.66
2010-05-03,25.7
2010-05-10,26.52
2010-05-17,25.059999
2010-05-24,24.77
2010-05-31,23.67
2010-06-07,24.3
2010-06-14,24.84
2010-06-21,24.41
2010-06-28,22.34
2010-07-05,24.5
2010-07-12,23.4
2010-07-19,23.76
2010-07-26,24.19
2010-08-02,24.1
2010-08-09,22.86
2010-08-16,22.29
2010-08-23,21.91
2010-08-30,23.13
2010-09-06,23.17
2010-09-13,23.23
2010-09-20,23.27
2010-09-27,23.17
2010-10-04,23.53
2010-10-11,22.46
2010-10-18,22.81
2010-10-25,22.59
2010-11-01,24.19
2010-11-08,23.35
2010-11-15,22.88
2010-11-22,22.15
2010-11-29,23.89
2010-12-06,25.31
2010-12-13,24.88
2010-12-20,25.7
2010-12-27,25.91
2011-01-03,26.23
2011-01-10,27.14
2011-01-17,26.61
2011-01-24,26.040001
2011-01-31,26.91
2011-02-07,27.62
2011-02-14,27.42
2011-02-21,26.63
2011-02-28,25.98
2011-03-07,26.12
2011-03-14,25.81
2011-03-21,25.71
2011-03-28,26.040001
2011-04-04,26.08
2011-04-11,25.4
2011-04-18,25.09
2011-04-25,25.61
2011-05-02,25.21
2011-05-09,24.63
2011-05-16,24.75
2011-05-23,24.77
2011-05-30,23.75
