datetime,close
2021-11-15,9.66
2021-11-22,9.67
2021-11-29,9.7
2021-12-06,9.66
2021-12-13,9.69
2021-12-20,9.69
2021-12-27,9.64
2022-01-03,9.66
2022-01-10,9.69
2022-01-17,9.69
2022-01-24,9.65
2022-01-31,9.615
2022-02-07,9.62
2022-02-14,9.7
2022-02-21,9.63
2022-02-28,9.65
2022-03-07,9.69
2022-03-14,9.65
2022-03-21,9.68
2022-03-28,9.67
2022-04-04,9.65
2022-04-11,9.65
2022-04-18,9.69
2022-04-25,9.71
2022-05-02,9.7
2022-05-09,9.63
2022-05-16,9.64
2022-05-23,9.63
2022-05-30,9.66
2022-06-06,9.72
2022-06-13,9.69
2022-06-20,9.69
2022-06-27,9.69
2022-07-04,9.65
2022-07-11,9.69
2022-07-18,9.75
2022-07-25,9.75
2022-08-01,9.75
2022-08-08,9.74
2022-08-15,9.74
2022-08-22,9.73
2022-08-29,9.7
2022-09-05,9.72
2022-09-12,9.845
2022-09-19,9.83
2022-09-26,9.82
2022-10-03,9.81
2022-10-10,9.83
2022-10-17,9.84
2022-10-24,9.85
2022-10-31,9.87
2022-11-07,9.87
2022-11-14,9.86
2022-11-21,9.88
2022-11-28,9.92
2022-12-05,9.97
2022-12-12,9.94
2022-12-19,10.0
2022-12-26,10.0
2023-01-02,10.05
2023-01-09,10.04
2023-01-16,10.05
2023-01-23,10.16
2023-01-30,9.11
2023-02-06,9.27
2023-02-13,40.7
2023-02-20,24.0
2023-02-27,16.28
2023-03-06,15.67
2023-03-13,12.5
2023-03-20,10.79
2023-03-27,10.8
2023-04-03,10.9
2023-04-10,10.13
2023-04-17,8.81
2023-04-24,7.75
2023-05-01,7.02
2023-05-08,8.15
2023-05-15,7.16
2023-05-22,6.75
2023-05-29,7.31
2023-06-05,8.79
2023-06-12,9.83
2023-06-19,8.46
2023-06-26,8.19
2023-07-03,8.72
2023-07-10,9.63
2023-07-17,8.51
2023-07-24,8.57
2023-07-31,7.74
2023-08-07,8.49
2023-08-14,4.98
2023-08-21,4.44
2023-08-28,4.89
2023-09-04,4.3
2023-09-11,4.22
2023-09-18,3.93
2023-09-25,3.65
2023-10-02,3.93
2023-10-09,3.67
2023-10-16,3.09
2023-10-23,2.67
2023-10-30,3.41
2023-11-06,2.85
2023-11-13,2.99
2023-11-20,3.03
2023-11-27,2.94
2023-12-04,3.06
2023-12-11,2.8
2023-12-18,2.5
2023-12-25,2.555
2024-01-01,2.3
2024-01-08,2.56
2024-01-15,2.61
2024-01-22,2.57
2024-01-29,3.74
2024-02-05,4.99
2024-02-12,7.32
2024-02-19,9.59
2024-02-26,5.85
2024-03-04,5.47
2024-03-11,5.49
2024-03-18,6.4
2024-03-25,6.25
2024-04-01,5.52
2024-04-08,5.08
2024-04-15,5.2
2024-04-22,5.44
2024-04-29,5.57
2024-05-06,5.77
2024-05-13,5.14
2024-05-20,5.13
2024-05-27,5.01
2024-06-03,4.49
2024-06-10,3.88
2024-06-17,3.66
2024-06-24,3.3
2024-07-01,3.59
2024-07-08,4.19
2024-07-15,4.21
2024-07-22,4.41
2024-07-29,3.54
2024-08-05,3.62
2024-08-12,3.96
2024-08-19,5.24
2024-08-26,4.97
2024-09-02,5.04
2024-09-09,6.13
2024-09-16,9.15
2024-09-23,8.78
2024-09-30,7.62
2024-10-07,7.61
2024-10-14,8.24
2024-10-21,7.99
2024-10-28,8.11
2024-11-04,9.73
2024-11-11,12.42
2024-11-18,15.12
2024-11-25,16.35
2024-12-02,12.42
2024-12-09,11.685
2024-12-16,13.57
2024-12-23,18.39
2024-12-30,21.89
2025-01-06,17.87
2025-01-13,18.51
2025-01-20,23.07
2025-01-27,21.68
2025-02-03,18.4
2025-02-10,19.62
2025-02-17,18.075001
2025-02-24,14.58
2025-03-03,8.77
2025-03-10,7.31
2025-03-17,7.09
2025-03-24,8.07
2025-03-31,6.87
2025-04-07,7.72
2025-04-14,7.45
2025-04-21,8.58
2025-04-28,9.3
2025-05-05,9.24
2025-05-12,12.36
2025-05-19,11.34
2025-05-26,11.41
2025-06-02,11.71
2025-06-09,10.45
2025-06-16,10.18
2025-06-23,10.96
2025-06-30,10.79
2025-07-07,10.86
2025-07-14,12.41
2025-07-21,12.82
2025-07-28,10.61
2025-08-04,9.81
2025-08-11,9.085
2025-08-18,8.965
2025-08-25,8.77
2025-09-01,8.49
2025-09-08,8.78
2025-09-15,9.71
2025-09-22,10.08
2025-09-29,11.44
2025-10-06,12.23
2025-10-13,12.4
2025-10-20,12.81
2025-10-27,11.93
2025-11-03,9.59
2025-11-10,9.53
2025-11-17,8.62
2025-11-24,9.5
2025-12-01,11.21
2025-12-08,11.97
2025-12-15,14.94
2025-12-22,15.25
2025-12-29,17.88
2026-01-05,18.56
2026-01-12,21.58
2026-01-19,20.030001
2026-01-26,18.99
2026-02-02,17.52
2026-02-09,16.13
2026-02-16,17.55
2026-02-23,16.48
2026-03-02,17.63
2026-03-09,17.6
2026-03-16,17.83
2026-03-23,17.52
2026-03-30,23.99
2026-04-06,23.57
2026-04-13,27.58
2026-04-20,25.53
2026-04-27,25.62
2026-05-04,28.97
2026-05-11,33.89
2026-05-18,38.26
2026-05-25,43.83
2026-06-01,29.36
2026-06-08,26.62
2026-06-15,22.85
2026-06-22,19.79
2026-06-29,19.58
2026-07-06,16.14
2026-07-13,13.52
2026-07-20,12.92
2026-07-27,12.34
2026-08-03,16.4
2026-08-10,19.01
2026-08-17,18.32
2026-08-24,15.37
2026-08-31,14.81
2026-09-07,15.68
