datetime,close
2024-04-29,14.83
2024-05-06,8.45
2024-05-13,9.01
2024-05-20,10.15
2024-05-27,10.07
2024-06-03,8.35
2024-06-10,9.46
2024-06-17,9.02
2024-06-24,8.47
2024-07-01,7.65
2024-07-08,8.61
2024-07-15,8.61
2024-07-22,9.2
2024-07-29,8.19
2024-08-05,7.49
2024-08-12,7.51
2024-08-19,7.05
2024-08-26,5.97
2024-09-02,5.59
2024-09-09,6.31
2024-09-16,8.41
2024-09-23,8.84
2024-09-30,11.19
2024-10-07,9.15
2024-10-14,18.23
2024-10-21,19.11
2024-10-28,21.67
2024-11-04,24.47
2024-11-11,18.0
2024-11-18,25.2
2024-11-25,23.54
2024-12-02,21.91
2024-12-09,18.53
2024-12-16,21.52
2024-12-23,22.78
2024-12-30,27.25
2025-01-06,25.24
2025-01-13,26.049999
2025-01-20,41.82
2025-01-27,41.61
2025-02-03,55.49
2025-02-10,52.62
2025-02-17,38.79
2025-02-24,33.39
2025-03-03,26.27
2025-03-10,27.72
2025-03-17,27.16
2025-03-24,22.39
2025-03-31,19.8
2025-04-07,22.5
2025-04-14,21.98
2025-04-21,23.74
2025-04-28,26.24
2025-05-05,28.09
2025-05-12,37.72
2025-05-19,48.87
2025-05-26,52.72
2025-06-02,50.29
2025-06-09,63.66
2025-06-16,57.95
2025-06-23,55.26
2025-06-30,53.72
2025-07-07,56.080002
2025-07-14,68.98
2025-07-21,75.5
2025-07-28,71.49
2025-08-04,75.32
2025-08-11,71.059998
2025-08-18,70.38
2025-08-25,73.64
2025-09-01,69.79
2025-09-08,82.71
2025-09-15,135.23
2025-09-22,110.53
2025-09-29,127.36
2025-10-06,147.16
2025-10-13,163.39
2025-10-20,136.050003
2025-10-27,132.77
2025-11-03,112.65
2025-11-10,97.57
2025-11-17,88.17
2025-11-24,91.38
2025-12-01,104.67
2025-12-08,87.42
2025-12-15,83.23
2025-12-22,76.92
2025-12-29,77.8
2026-01-05,105.31
2026-01-12,94.95
2026-01-19,87.63
2026-01-26,79.62
2026-02-02,71.099998
2026-02-09,65.69
2026-02-16,63.83
2026-02-23,62.95
2026-03-02,58.25
2026-03-09,58.37
2026-03-16,53.97
2026-03-23,50.23
2026-03-30,48.13
2026-04-06,50.25
2026-04-13,66.81
2026-04-20,71.0
2026-04-27,70.4
2026-05-04,72.51
2026-05-11,62.25
2026-05-18,65.88
2026-05-25,66.88
2026-06-01,58.09
2026-06-08,57.49
2026-06-15,61.17
2026-06-22,50.0
2026-06-29,52.36
2026-07-06,48.85
2026-07-13,41.11
2026-07-20,40.25
2026-07-27,38.83
2026-08-03,48.42
2026-08-10,44.38
2026-08-17,42.09
2026-08-24,40.14
2026-08-31,41.27
2026-09-07,43.31
