datetime,close
2005-10-17,14.75
2005-10-24,14.75
2005-10-31,15.05
2005-11-07,15.05
2005-11-14,15.28
2005-11-21,15.36
2005-11-28,15.41
2005-12-05,15.4
2005-12-12,15.58
2005-12-19,15.77
2005-12-26,15.52
2006-01-02,15.89
2006-01-09,15.79
2006-01-16,15.46
2006-01-23,15.79
2006-01-30,15.86
2006-02-06,16.22
2006-02-13,16.5
2006-02-20,16.61
2006-02-27,16.69
2006-03-06,16.64
2006-03-13,17.07
2006-03-20,17.22
2006-03-27,17.19
2006-04-03,17.26
2006-04-10,17.26
2006-04-17,17.74
2006-04-24,17.34
2006-05-01,17.77
2006-05-08,17.3
2006-05-15,16.86
2006-05-22,16.75
2006-05-29,16.89
2006-06-05,16.22
2006-06-12,16.28
2006-06-19,16.28
2006-06-26,16.51
2006-07-03,16.32
2006-07-10,15.96
2006-07-17,15.99
2006-07-24,16.5
2006-07-31,16.42
2006-08-07,15.92
2006-08-14,16.55
2006-08-21,16.34
2006-08-28,16.68
2006-09-04,16.52
2006-09-11,16.69
2006-09-18,16.64
2006-09-25,17.049999
2006-10-02,17.38
2006-10-09,17.78
2006-10-16,17.41
2006-10-23,17.5
2006-10-30,17.21
2006-11-06,17.55
2006-11-13,18.09
2006-11-20,18.23
2006-11-27,18.14
2006-12-04,18.35
2006-12-11,18.53
2006-12-18,18.49
2006-12-25,18.57
2007-01-01,18.61
2007-01-08,19.02
2007-01-15,18.91
2007-01-22,18.8
2007-01-29,19.32
2007-02-05,19.5
2007-02-12,19.78
2007-02-19,19.83
2007-02-26,18.86
2007-03-05,19.24
2007-03-12,19.14
2007-03-19,19.64
2007-03-26,19.36
2007-04-02,19.66
2007-04-09,19.7
2007-04-16,20.12
2007-04-23,20.38
2007-04-30,20.6
2007-05-07,20.8
2007-05-14,21.030001
2007-05-21,20.96
2007-05-28,21.36
2007-06-04,21.11
2007-06-11,21.57
2007-06-18,21.34
2007-06-25,21.44
2007-07-02,21.97
2007-07-09,22.29
2007-07-16,22.37
2007-07-23,21.35
2007-07-30,21.94
2007-08-06,21.64
2007-08-13,21.45
2007-08-20,22.3
2007-08-27,22.26
2007-09-03,21.94
2007-09-10,22.39
2007-09-17,23.1
2007-09-24,23.71
2007-10-01,23.88
2007-10-08,24.12
2007-10-15,23.059999
2007-10-22,23.76
2007-10-29,23.78
2007-11-05,22.92
2007-11-12,22.87
2007-11-19,22.48
2007-11-26,23.11
2007-12-03,23.66
2007-12-10,22.77
2007-12-17,23.049999
2007-12-24,22.7
2007-12-31,21.84
2008-01-07,20.96
2008-01-14,19.81
2008-01-21,20.09
2008-01-28,21.21
2008-02-04,20.4
2008-02-11,20.62
2008-02-18,20.57
2008-02-25,20.1
2008-03-03,19.62
2008-03-10,19.44
2008-03-17,19.43
2008-03-24,19.56
2008-03-31,20.24
2008-04-07,19.85
2008-04-14,20.61
2008-04-21,21.15
2008-04-28,21.27
2008-05-05,21.07
2008-05-12,21.79
2008-05-19,21.059999
2008-05-26,21.58
2008-06-02,20.24
2008-06-09,20.18
2008-06-16,19.8
2008-06-23,18.68
2008-06-30,18.44
2008-07-07,18.2
2008-07-14,18.66
2008-07-21,18.99
2008-07-28,18.54
2008-08-04,19.75
2008-08-11,19.79
2008-08-18,19.37
2008-08-25,19.42
2008-09-01,18.81
2008-09-08,19.01
2008-09-15,18.08
2008-09-22,17.58
2008-09-29,15.86
2008-10-06,13.32
2008-10-13,13.67
2008-10-20,12.49
2008-10-27,14.12
2008-11-03,13.36
2008-11-10,12.52
2008-11-17,11.83
2008-11-24,13.0
2008-12-01,12.68
2008-12-08,13.05
2008-12-15,13.51
2008-12-22,13.39
2008-12-29,14.63
2009-01-05,14.19
2009-01-12,13.87
2009-01-19,13.51
2009-01-26,13.59
2009-02-02,13.74
2009-02-09,13.38
2009-02-16,12.46
2009-02-23,11.36
2009-03-02,10.33
2009-03-09,11.09
2009-03-16,11.28
2009-03-23,12.19
2009-03-30,12.33
2009-04-06,12.78
2009-04-13,13.01
2009-04-20,13.27
2009-04-27,13.59
2009-05-04,14.2
2009-05-11,13.59
2009-05-18,13.61
2009-05-25,14.07
2009-06-01,15.21
2009-06-08,14.95
2009-06-15,14.36
2009-06-22,13.89
2009-06-29,13.65
2009-07-06,13.3
2009-07-13,14.16
2009-07-20,14.29
2009-07-27,14.63
2009-08-03,15.08
2009-08-10,14.97
2009-08-17,15.27
2009-08-24,15.58
2009-08-31,15.56
2009-09-07,16.02
2009-09-14,16.46
2009-09-21,15.99
2009-09-28,15.61
2009-10-05,16.26
2009-10-12,16.43
2009-10-19,16.22
2009-10-26,15.44
2009-11-02,16.09
2009-11-09,16.57
2009-11-16,16.49
2009-11-23,16.59
2009-11-30,16.96
2009-12-07,17.09
2009-12-14,16.9
2009-12-21,17.23
2009-12-28,17.07
2010-01-04,17.69
2010-01-11,17.74
2010-01-18,16.97
2010-01-25,16.74
2010-02-01,16.65
2010-02-08,16.76
2010-02-15,17.48
2010-02-22,17.53
2010-03-01,18.21
2010-03-08,18.36
2010-03-15,18.63
2010-03-22,18.74
2010-03-29,18.71
2010-04-05,18.84
2010-04-12,18.91
2010-04-19,19.68
2010-04-26,19.07
2010-05-03,17.71
2010-05-10,18.27
2010-05-17,17.41
2010-05-24,17.5
2010-05-31,16.81
2010-06-07,17.030001
