datetime,close
2015-05-18,2.831
2015-05-25,2.72
2015-06-01,2.739
2015-06-08,3.363
2015-06-15,3.552
2015-06-22,3.352
2015-06-29,3.131
2015-07-06,2.96
2015-07-13,3.227
2015-07-20,3.357
2015-07-27,3.739
2015-08-03,3.516
2015-08-10,3.456
2015-08-17,2.777
2015-08-24,2.8
2015-08-31,2.681
2015-09-07,2.636
2015-09-14,3.566
2015-09-21,3.391
2015-09-28,3.581
2015-10-05,3.702
2015-10-12,3.433
2015-10-19,3.166
2015-10-26,3.222
2015-11-02,3.154
2015-11-09,2.833
2015-11-16,2.823
2015-11-23,2.671
2015-11-30,2.712
2015-12-07,2.476
2015-12-14,2.531
2015-12-21,2.534
2015-12-28,2.58
2016-01-04,2.493
2016-01-11,1.989
2016-01-18,2.307
2016-01-25,2.322
2016-02-01,2.187
2016-02-08,1.933
2016-02-15,2.057
2016-02-22,2.2
2016-02-29,2.516
2016-03-07,2.67
2016-03-14,2.849
2016-03-21,2.699
2016-03-28,2.845
2016-04-04,2.955
2016-04-11,3.097
2016-04-18,3.181
2016-04-25,3.185
2016-05-02,2.772
2016-05-09,2.629
2016-05-16,2.61
2016-05-23,2.857
2016-05-30,2.958
2016-06-06,2.828
2016-06-13,2.894
2016-06-20,2.907
2016-06-27,3.083
2016-07-04,3.1
2016-07-11,3.232
2016-07-18,3.287
2016-07-25,3.427
2016-08-01,3.701
2016-08-08,3.938
2016-08-15,4.241
2016-08-22,4.152
2016-08-29,4.242
2016-09-05,4.104
2016-09-12,4.149
2016-09-19,4.335
2016-09-26,4.292
2016-10-03,4.436
2016-10-10,4.282
2016-10-17,4.348
2016-10-24,4.084
2016-10-31,3.915
2016-11-07,3.966
2016-11-14,4.405
2016-11-21,4.327
2016-11-28,3.905
2016-12-05,4.222
2016-12-12,4.205
2016-12-19,4.134
2016-12-26,4.287
2017-01-02,4.69
2017-01-09,4.81
2017-01-16,5.0089998
2017-01-23,5.154
2017-01-30,5.212
2017-02-06,5.522
2017-02-13,6.152
2017-02-20,6.175
2017-02-27,6.029
2017-03-06,6.415
2017-03-13,6.699
2017-03-20,6.898
2017-03-27,6.809
2017-04-03,6.871
2017-04-10,7.063
2017-04-17,7.638
2017-04-24,7.595
2017-05-01,8.553
2017-05-08,9.358
2017-05-15,8.887
2017-05-22,9.074
2017-05-29,9.753
2017-06-05,9.145
2017-06-12,8.693
2017-06-19,9.448
2017-06-26,8.69
2017-07-03,8.899
2017-07-10,9.241
2017-07-17,8.942
2017-07-24,9.298
2017-07-31,9.628
2017-08-07,9.171
2017-08-14,9.458
2017-08-21,10.374
2017-08-28,11.086
2017-09-04,11.361
2017-09-11,12.026
2017-09-18,12.027
2017-09-25,11.649
2017-10-02,9.792
2017-10-09,9.422
2017-10-16,10.21
2017-10-23,10.727
2017-10-30,9.871
2017-11-06,10.0010004
2017-11-13,10.489
2017-11-20,11.181
2017-11-27,10.327
2017-12-04,10.077
2017-12-11,10.522
2017-12-18,10.386
2017-12-25,10.1
2018-01-01,11.058
2018-01-08,11.28
2018-01-15,11.548
2018-01-22,12.907
2018-01-29,12.512
2018-02-05,11.955
2018-02-12,13.753
2018-02-19,13.7
2018-02-26,13.675
2018-03-05,14.916
2018-03-12,14.722
2018-03-19,14.166
2018-03-26,12.459
2018-04-02,11.742
2018-04-09,11.751
2018-04-16,12.679
2018-04-23,12.662
2018-04-30,13.613
2018-05-07,14.447
2018-05-14,14.706
2018-05-21,14.364
2018-05-28,15.08
2018-06-04,16.281
2018-06-11,16.844
2018-06-18,16.253
2018-06-25,14.589
2018-07-02,15.681
2018-07-09,16.618
2018-07-16,17.175
2018-07-23,16.014999
2018-07-30,14.187
2018-08-06,14.922
2018-08-13,13.719
2018-08-20,14.058
2018-08-27,14.567
2018-09-03,14.064
2018-09-10,15.477
2018-09-17,16.152
2018-09-24,16.446
2018-10-01,14.56
2018-10-08,13.52
2018-10-15,12.707
2018-10-22,13.295
2018-10-29,14.555
2018-11-05,14.09
2018-11-12,15.102
2018-11-19,13.481
2018-11-26,15.266
2018-12-03,14.688
2018-12-10,14.017
2018-12-17,12.241
2018-12-24,13.346
2018-12-31,13.806
2019-01-07,14.943
2019-01-14,15.843
2019-01-21,16.282
2019-01-28,17.059
2019-02-04,17.595
2019-02-11,17.819
2019-02-18,18.363
2019-02-25,19.152
2019-03-04,18.976
2019-03-11,20.598
2019-03-18,19.875
2019-03-25,20.662
2019-04-01,19.665
2019-04-08,21.483
2019-04-15,22.072001
2019-04-22,22.228
2019-04-29,26.403
2019-05-06,25.883
2019-05-13,27.35
2019-05-20,27.585
2019-05-27,27.49
2019-06-03,30.505
2019-06-10,30.511
2019-06-17,32.685
2019-06-24,30.014999
2019-07-01,31.372
2019-07-08,31.0020008
2019-07-15,33.0
2019-07-22,33.654
2019-07-29,33.219
2019-08-05,36.995
2019-08-12,35.874
2019-08-19,38.275
2019-08-26,38.539
2019-09-02,38.042
2019-09-09,33.831
2019-09-16,31.882
2019-09-23,30.569
2019-09-30,32.72
2019-10-07,32.926
2019-10-14,31.434
2019-10-21,31.745
2019-10-28,31.676
2019-11-04,29.764
2019-11-11,31.238
2019-11-18,31.452
2019-11-25,33.675
2019-12-02,36.46
2019-12-09,38.557
2019-12-16,39.007
2019-12-23,40.8
2019-12-30,40.429
2020-01-06,42.917
2020-01-13,45.488
2020-01-20,46.548
2020-01-27,46.566
2020-02-03,47.869
2020-02-10,53.122
2020-02-17,52.066002
2020-02-24,46.331
2020-03-02,47.207
2020-03-09,39.09
2020-03-16,34.606
2020-03-23,42.162
2020-03-30,35.765
2020-04-06,41.774
2020-04-13,59.039001
2020-04-20,64.319
2020-04-27,61.364
2020-05-04,70.897
2020-05-11,76.7
2020-05-18,82.517
2020-05-25,75.78
2020-06-01,72.777
2020-06-08,74.258
2020-06-15,88.099998
2020-06-22,91.0
2020-06-29,102.997
2020-07-06,103.186
2020-07-13,92.813
2020-07-20,92.981
2020-07-27,102.4
2020-08-03,105.312
2020-08-10,98.79
2020-08-17,102.112
2020-08-24,104.206
2020-08-31,97.302
2020-09-07,91.45
2020-09-14,90.134
2020-09-21,96.092003
2020-09-28,102.899
2020-10-05,109.6
2020-10-12,106.721
2020-10-19,102.622
2020-10-26,92.543
2020-11-02,104.5
2020-11-09,91.83
2020-11-16,98.851
2020-11-23,103.439
2020-11-30,105.389
2020-12-07,105.787
2020-12-14,117.096001
2020-12-21,122.552
2020-12-28,113.195
2021-01-04,118.892
2021-01-11,117.046997
2021-01-18,119.67
2021-01-25,109.859
2021-02-01,128.77499
2021-02-08,145.549
2021-02-15,143.50101
2021-02-22,128.097
2021-03-01,113.101
2021-03-08,114.063004
2021-03-15,112.095001
2021-03-22,106.521
2021-03-29,115.541
2021-04-05,122.73
2021-04-12,120.78
2021-04-19,109.903
2021-04-26,118.251
2021-05-03,110.86
2021-05-10,108.501
2021-05-17,122.412
2021-05-24,124.287
2021-05-31,120.574
2021-06-07,124.702
2021-06-14,146.687
2021-06-21,147.354
2021-06-28,146.47501
2021-07-05,149.49899
2021-07-12,144.263
2021-07-19,164.332
2021-07-26,149.993
2021-08-02,152.506
2021-08-09,149.8
2021-08-16,145.070007
2021-08-23,153.142
2021-08-30,155.425
2021-09-06,148.41
2021-09-13,148.629
2021-09-20,144.39999
2021-09-27,135.076004
2021-10-04,137.80299
2021-10-11,142.45799
2021-10-18,142.58501
2021-10-25,146.673
2021-11-01,152.806
2021-11-08,166.952
2021-11-15,169.059998
2021-11-22,157.67
2021-11-29,141.0
2021-12-06,146.158
2021-12-13,132.34
2021-12-20,143.933
2021-12-27,137.739
2022-01-03,114.448
2022-01-10,110.291
2022-01-17,88.212
2022-01-24,87.223
2022-01-31,87.6
2022-02-07,85.4
2022-02-14,65.688
2022-02-21,67.695
2022-02-28,60.084
2022-03-07,54.437
2022-03-14,78.0
2022-03-21,67.953
2022-03-28,69.3
2022-04-04,60.318
2022-04-11,57.951
2022-04-18,45.997
2022-04-25,42.682
2022-05-02,37.749
2022-05-09,40.248
2022-05-16,36.385
2022-05-23,36.904
2022-05-30,35.366
2022-06-06,34.843
2022-06-13,31.689
2022-06-20,38.523
2022-06-27,31.41
2022-07-04,35.57
2022-07-11,31.27
2022-07-18,37.35
2022-07-25,34.83
2022-08-01,40.81
2022-08-08,40.76
2022-08-15,34.2
2022-08-22,32.42
2022-08-29,30.11
2022-09-05,34.81
2022-09-12,31.73
2022-09-19,28.76
2022-09-26,26.94
2022-10-03,27.21
2022-10-10,26.059999
2022-10-17,29.75
2022-10-24,34.19
2022-10-31,32.15
2022-11-07,39.44
2022-11-14,36.59
2022-11-21,36.79
2022-11-28,43.060001
2022-12-05,38.38
2022-12-12,36.09
2022-12-19,33.71
2022-12-26,34.71
2023-01-02,36.85
2023-01-09,38.89
2023-01-16,40.48
2023-01-23,50.080002
2023-01-30,52.93
2023-02-06,48.3
2023-02-13,43.61
2023-02-20,40.75
2023-02-27,43.4
2023-03-06,41.46
2023-03-13,44.68
2023-03-20,44.98
2023-03-27,47.94
2023-04-03,45.35
2023-04-10,46.39
2023-04-17,48.94
2023-04-24,48.45
2023-05-01,62.029999
2023-05-08,61.33
2023-05-15,60.2
2023-05-22,59.26
2023-05-29,58.29
2023-06-05,61.36
2023-06-12,64.71
2023-06-19,63.79
2023-06-26,64.6
2023-07-03,61.67
2023-07-10,68.45
2023-07-17,65.57
2023-07-24,66.040001
2023-07-31,57.93
2023-08-07,55.27
2023-08-14,53.14
2023-08-21,55.54
2023-08-28,66.71
2023-09-04,63.0099983
2023-09-11,62.38
2023-09-18,53.080002
2023-09-25,54.57
2023-10-02,53.65
2023-10-09,51.55
2023-10-16,51.14
2023-10-23,46.4
2023-10-30,61.47
2023-11-06,61.34
2023-11-13,68.34
2023-11-20,70.35
2023-11-27,73.86
2023-12-04,72.52
2023-12-11,76.82
2023-12-18,76.83
2023-12-25,77.9
2024-01-01,74.51
2024-01-08,81.4
2024-01-15,80.010002
2024-01-22,81.55
2024-01-29,82.93
2024-02-05,90.72
2024-02-12,81.29
2024-02-19,76.24
2024-02-26,76.59
2024-03-04,76.16
2024-03-11,77.15
2024-03-18,78.72
2024-03-25,77.17
2024-04-01,75.28
2024-04-08,70.0
2024-04-15,69.67
2024-04-22,71.33
2024-04-29,74.46
2024-05-06,58.94
2024-05-13,58.53
2024-05-20,56.97
2024-05-27,59.15
2024-06-03,61.59
2024-06-10,67.66
2024-06-17,65.029999
2024-06-24,66.050003
2024-07-01,67.63
2024-07-08,64.89
2024-07-15,63.16
2024-07-22,59.94
2024-07-29,54.43
2024-08-05,69.3
2024-08-12,74.55
2024-08-19,76.14
2024-08-26,74.07
2024-09-02,67.010002
2024-09-09,72.45
2024-09-16,78.72
2024-09-23,79.21
2024-09-30,82.43
2024-10-07,83.24
2024-10-14,82.68
2024-10-21,79.050003
2024-10-28,78.99
2024-11-04,87.12
2024-11-11,108.49
2024-11-18,106.96
2024-11-25,115.6
2024-12-02,118.37
2024-12-09,114.63
2024-12-16,108.95
2024-12-23,108.18
2024-12-30,109.25
2025-01-06,103.71
2025-01-13,103.35
2025-01-20,107.68
2025-01-27,116.8
2025-02-03,117.41
2025-02-10,128.35001
2025-02-17,115.56
2025-02-24,112.0
2025-03-03,100.13
2025-03-10,94.85
2025-03-17,104.21
2025-03-24,96.68
2025-03-31,76.89
2025-04-07,83.71
2025-04-14,83.65
2025-04-21,97.12
2025-04-28,99.25
2025-05-05,91.77
2025-05-12,110.75
2025-05-19,101.51
2025-05-26,107.22
2025-06-02,111.41
2025-06-09,105.34
2025-06-16,106.4
2025-06-23,113.65
2025-06-30,116.52
2025-07-07,112.11
2025-07-14,127.07
2025-07-21,124.43
2025-07-28,118.6
2025-08-04,149.61
2025-08-11,141.47
2025-08-18,142.11
2025-08-25,141.28
2025-09-01,146.82001
2025-09-08,143.38
2025-09-15,153.3
2025-09-22,140.25
2025-09-29,161.14
2025-10-06,151.020004
2025-10-13,157.75999
2025-10-20,172.95
2025-10-27,173.86
2025-11-03,152.41
2025-11-10,146.039993
2025-11-17,147.8
2025-11-24,158.64
2025-12-01,161.080002
2025-12-08,164.19
2025-12-15,169.57001
2025-12-22,170.83
2025-12-29,157.2
2026-01-05,164.48
2026-01-12,155.81
2026-01-19,137.89
2026-01-26,131.23
2026-02-02,112.050003
2026-02-09,112.7
2026-02-16,126.2
2026-02-23,120.73
2026-03-02,130.2
2026-03-09,122.96
2026-03-16,116.78
2026-03-23,111.85
2026-03-30,118.25
2026-04-06,110.79
2026-04-13,131.14999
2026-04-20,125.83
2026-04-27,127.67
2026-05-04,110.41
2026-05-11,100.28
2026-05-18,103.0
2026-05-25,118.71
2026-06-01,109.54
2026-06-08,108.24
2026-06-15,108.85
2026-06-22,116.86
2026-06-29,119.46
2026-07-06,122.54
2026-07-13,123.56
2026-07-20,113.75
2026-07-27,117.15
2026-08-03,151.57001
2026-08-10,154.32001
2026-08-17,149.25
2026-08-24,152.89999
2026-08-31,145.089996
2026-09-07,134.145
