datetime,close
2008-04-07,263.60001
2008-04-14,265.79999
2008-04-21,264.10001
2008-04-28,258.0
2008-05-05,263.10001
2008-05-12,294.89999
2008-05-19,291.89999
2008-05-26,278.0
2008-06-02,278.0
2008-06-09,268.0
2008-06-16,278.89999
2008-06-23,261.0
2008-06-30,228.2
2008-07-07,234.2
2008-07-14,239.3
2008-07-21,222.39999
2008-07-28,232.0
2008-08-04,225.60001
2008-08-11,241.2
2008-08-18,262.39999
2008-08-25,262.79999
2008-09-01,227.2
2008-09-08,210.89999
2008-09-15,219.5
2008-09-22,202.0
2008-09-29,159.0
2008-10-06,116.8
2008-10-13,121.0
2008-10-20,91.6
2008-10-27,104.0
2008-11-03,107.0
2008-11-10,83.7
2008-11-17,59.5
2008-11-24,80.5
2008-12-01,74.2
2008-12-08,71.7
2008-12-15,78.7
2008-12-22,78.099998
2008-12-29,92.7
2009-01-05,89.099998
2009-01-12,78.099998
2009-01-19,69.8
2009-01-26,72.5
2009-02-02,73.9
2009-02-09,71.8
2009-02-16,59.3
2009-02-23,53.5
2009-03-02,48.3
2009-03-09,55.2
2009-03-16,55.4
2009-03-23,73.3
2009-03-30,74.7
2009-04-06,77.6
2009-04-13,79.0
2009-04-20,76.0
2009-04-27,83.4
2009-05-04,94.2
2009-05-11,86.0
2009-05-18,92.9
2009-05-25,97.0
2009-06-01,106.5
2009-06-08,111.0
2009-06-15,99.0
2009-06-22,94.9
2009-06-29,94.7
2009-07-06,83.3
2009-07-13,89.5
2009-07-20,105.5
2009-07-27,98.8
2009-08-03,98.2
2009-08-10,93.5
2009-08-17,88.4
2009-08-24,88.0
2009-08-31,86.4
2009-09-07,96.9
2009-09-14,105.6
2009-09-21,99.099998
2009-09-28,91.4
2009-10-05,98.6
2009-10-12,96.0
2009-10-19,94.6
2009-10-26,84.3
2009-11-02,87.0
2009-11-09,89.2
2009-11-16,91.9
2009-11-23,92.2
2009-11-30,97.5
2009-12-07,97.6
2009-12-14,100.099998
2009-12-21,102.099998
2009-12-28,102.5
2010-01-04,112.8
2010-01-11,100.6
2010-01-18,88.8
2010-01-25,87.7
2010-02-01,85.8
2010-02-08,83.3
2010-02-15,83.6
2010-02-22,77.6
2010-03-01,83.2
2010-03-08,85.3
2010-03-15,81.0
2010-03-22,84.0
2010-03-29,85.8
2010-04-05,86.5
2010-04-12,86.3
2010-04-19,86.8
2010-04-26,84.4
2010-05-03,71.2
2010-05-10,71.9
2010-05-17,66.8
2010-05-24,66.6
2010-05-31,64.2
2010-06-07,68.0
2010-06-14,73.0
2010-06-21,69.3
2010-06-28,67.4
2010-07-05,77.0
2010-07-12,75.6
2010-07-19,80.9
2010-07-26,76.2
2010-08-02,80.7
2010-08-09,75.0
2010-08-16,73.9
2010-08-23,72.9
2010-08-30,78.4
2010-09-06,77.7
2010-09-13,79.099998
2010-09-20,82.2
2010-09-27,85.2
2010-10-04,84.7
2010-10-11,89.099998
2010-10-18,84.4
2010-10-25,84.099998
2010-11-01,87.0
2010-11-08,79.6
2010-11-15,74.5
2010-11-22,72.6
2010-11-29,73.7
2010-12-06,75.7
2010-12-13,73.0
2010-12-20,74.3
2010-12-27,73.0
2011-01-03,74.6
2011-01-10,78.2
2011-01-17,80.8
2011-01-24,78.3
2011-01-31,83.0
2011-02-07,84.6
2011-02-14,90.0
2011-02-21,85.0
2011-02-28,80.5
2011-03-07,73.7
2011-03-14,81.0
2011-03-21,82.8
2011-03-28,87.5
2011-04-04,84.6
2011-04-11,83.099998
2011-04-18,82.2
2011-04-25,88.0
2011-05-02,81.0
2011-05-09,79.7
2011-05-16,74.7
2011-05-23,70.8
2011-05-30,71.3
2011-06-06,66.0
2011-06-13,67.7
2011-06-20,67.7
2011-06-27,71.7
2011-07-04,69.6
2011-07-11,66.099998
2011-07-18,68.4
2011-07-25,64.3
2011-08-01,56.8
2011-08-08,56.3
2011-08-15,48.8
2011-08-22,53.6
2011-08-29,50.2
2011-09-05,45.8
2011-09-12,44.3
2011-09-19,36.5
2011-09-26,32.3
2011-10-03,32.7
2011-10-10,34.9
2011-10-17,32.6
2011-10-24,37.9
2011-10-31,35.2
2011-11-07,32.8
2011-11-14,29.1
2011-11-21,27.6
2011-11-28,30.7
2011-12-05,29.8
2011-12-12,25.9
2011-12-19,25.8
2011-12-26,24.7
2012-01-02,25.6
2012-01-09,29.6
2012-01-16,29.8
2012-01-23,31.7
2012-01-30,32.7
2012-02-06,34.5
2012-02-13,33.16
2012-02-20,29.88
2012-02-27,28.13
2012-03-05,27.02
2012-03-12,27.73
2012-03-19,26.3
2012-03-26,24.88
2012-04-02,22.91
2012-04-09,22.48
2012-04-16,22.61
2012-04-23,22.34
2012-04-30,21.86
2012-05-07,20.61
2012-05-14,17.39
2012-05-21,17.33
2012-05-28,17.040001
2012-06-04,17.41
2012-06-11,18.52
2012-06-18,18.97
2012-06-25,18.34
2012-07-02,18.12
2012-07-09,17.07
2012-07-16,16.56
2012-07-23,16.01
2012-07-30,15.65
2012-08-06,17.16
2012-08-13,17.46
2012-08-20,17.81
2012-08-27,16.71
2012-09-03,16.81
2012-09-10,18.37
2012-09-17,17.84
2012-09-24,16.76
2012-10-01,16.52
2012-10-08,15.79
2012-10-15,15.05
2012-10-22,14.73
2012-10-29,14.76
2012-11-05,14.56
2012-11-12,12.78
2012-11-19,13.09
2012-11-26,14.31
2012-12-03,14.75
2012-12-10,16.83
2012-12-17,16.74
2012-12-24,15.21
2012-12-31,18.27
2013-01-07,18.96
2013-01-14,18.17
2013-01-21,18.41
2013-01-28,18.08
2013-02-04,17.97
2013-02-11,19.89
2013-02-18,19.34
2013-02-25,17.76
2013-03-04,18.55
2013-03-11,17.19
2013-03-18,16.75
2013-03-25,16.0
2013-04-01,15.31
2013-04-08,17.57
2013-04-15,17.17
2013-04-22,19.68
2013-04-29,20.26
2013-05-06,21.55
2013-05-13,23.63
2013-05-20,24.85
2013-05-27,24.92
2013-06-03,24.57
2013-06-10,23.92
2013-06-17,22.99
2013-06-24,23.75
2013-07-01,24.73
2013-07-08,25.4
2013-07-15,27.55
2013-07-22,27.72
2013-07-29,27.39
2013-08-05,27.049999
2013-08-12,26.44
2013-08-19,28.39
2013-08-26,27.16
2013-09-02,29.66
2013-09-09,29.83
2013-09-16,30.98
2013-09-23,33.47
2013-09-30,36.099998
2013-10-07,37.19
2013-10-14,39.5
2013-10-21,37.7
2013-10-28,37.67
2013-11-04,40.21
2013-11-11,40.59
2013-11-18,39.19
2013-11-25,38.61
2013-12-02,35.93
2013-12-09,33.78
2013-12-16,34.67
2013-12-23,34.83
2013-12-30,38.24
2014-01-06,40.31
2014-01-13,41.77
2014-01-20,37.46
2014-01-27,39.33
2014-02-03,39.72
2014-02-10,41.51
2014-02-17,43.29
2014-02-24,46.7
2014-03-03,49.92
2014-03-10,46.029999
2014-03-17,46.049999
2014-03-24,44.029999
2014-03-31,43.93
2014-04-07,40.060001
2014-04-14,40.53
2014-04-21,42.34
2014-04-28,41.060001
2014-05-05,38.2
2014-05-12,37.67
2014-05-19,40.48
2014-05-26,40.79
2014-06-02,39.84
2014-06-09,42.0
2014-06-16,44.77
2014-06-23,44.41
2014-06-30,44.7
2014-07-07,42.15
2014-07-14,41.74
2014-07-21,41.23
2014-07-28,38.61
2014-08-04,40.37
2014-08-11,42.24
2014-08-18,43.78
2014-08-25,43.39
2014-09-01,45.36
2014-09-08,45.41
2014-09-15,43.62
2014-09-22,42.2
2014-09-29,40.040001
2014-10-06,34.96
2014-10-13,35.89
2014-10-20,37.44
2014-10-27,38.35
2014-11-03,36.27
2014-11-10,34.95
2014-11-17,37.89
2014-11-24,35.73
2014-12-01,35.21
2014-12-08,33.61
2014-12-15,34.21
2014-12-22,34.51
2014-12-29,33.98
2015-01-05,33.44
2015-01-12,32.78
2015-01-19,33.19
2015-01-26,33.83
2015-02-02,37.040001
2015-02-09,38.79
2015-02-16,38.44
2015-02-23,39.5
2015-03-02,43.79
2015-03-09,42.79
2015-03-16,45.34
2015-03-23,44.45
2015-03-30,45.7
2015-04-06,48.02
2015-04-13,48.0
2015-04-20,48.51
2015-04-27,47.49
2015-05-04,47.040001
2015-05-11,48.44
2015-05-18,44.27
2015-05-25,42.49
2015-06-01,41.85
2015-06-08,42.34
2015-06-15,42.7
2015-06-22,41.13
2015-06-29,38.55
2015-07-06,36.49
2015-07-13,37.48
2015-07-20,35.47
2015-07-27,35.32
2015-08-03,33.29
2015-08-10,33.17
2015-08-17,28.15
2015-08-24,30.1
2015-08-31,29.09
2015-09-07,30.22
2015-09-14,29.43
2015-09-21,26.86
2015-09-28,28.66
2015-10-05,31.69
2015-10-12,32.24
2015-10-19,31.08
2015-10-26,29.8
2015-11-02,30.45
2015-11-09,26.68
2015-11-16,26.33
2015-11-23,26.41
2015-11-30,28.25
2015-12-07,26.69
2015-12-14,31.8
2015-12-21,31.76
2015-12-28,30.64
2016-01-04,27.3
2016-01-11,23.52
2016-01-18,24.36
2016-01-25,25.21
2016-02-01,23.94
2016-02-08,20.43
2016-02-15,21.87
2016-02-22,23.12
2016-02-29,24.12
2016-03-07,24.55
2016-03-14,24.4
2016-03-21,22.34
2016-03-28,22.64
2016-04-04,22.44
2016-04-11,23.19
2016-04-18,24.33
2016-04-25,23.82
2016-05-02,22.13
2016-05-09,20.98
2016-05-16,21.49
2016-05-23,21.96
2016-05-30,21.53
2016-06-06,20.65
2016-06-13,20.35
2016-06-20,19.86
2016-06-27,21.0
2016-07-04,21.44
2016-07-11,21.38
2016-07-18,21.62
2016-07-25,21.42
2016-08-01,21.97
2016-08-08,21.47
2016-08-15,21.64
2016-08-22,21.12
2016-08-29,21.13
2016-09-05,20.69
2016-09-12,19.66
2016-09-19,20.049999
2016-09-26,20.31
2016-10-03,20.2
2016-10-10,20.21
2016-10-17,20.58
2016-10-24,19.34
2016-10-31,18.31
2016-11-07,17.56
2016-11-14,17.32
2016-11-21,17.88
2016-11-28,17.28
2016-12-05,18.36
2016-12-12,17.65
2016-12-19,16.76
2016-12-26,16.57
2017-01-02,17.4
2017-01-09,17.67
2017-01-16,17.69
2017-01-23,17.55
2017-01-30,17.47
2017-02-06,17.79
2017-02-13,18.53
2017-02-20,18.96
2017-02-27,18.25
2017-03-06,17.87
2017-03-13,17.96
2017-03-20,17.29
2017-03-27,17.28
2017-04-03,17.2
2017-04-10,17.31
2017-04-17,17.040001
2017-04-24,17.5
2017-05-01,17.87
2017-05-08,18.14
2017-05-15,18.09
2017-05-22,18.4
2017-05-29,18.55
2017-06-05,18.6
2017-06-12,18.34
2017-06-19,19.8
2017-06-26,19.89
2017-07-03,19.76
2017-07-10,20.64
2017-07-17,21.32
2017-07-24,21.6
2017-07-31,21.83
2017-08-07,21.47
2017-08-14,21.63
2017-08-21,21.48
2017-08-28,21.92
2017-09-04,21.84
2017-09-11,22.37
2017-09-18,22.19
2017-09-25,21.65
2017-10-02,21.93
2017-10-09,22.38
2017-10-16,22.52
2017-10-23,23.97
2017-10-30,24.34
2017-11-06,24.67
2017-11-13,24.55
2017-11-20,25.4
2017-11-27,24.21
2017-12-04,24.35
2017-12-11,24.53
2017-12-18,25.29
2017-12-25,25.13
2018-01-01,25.91
2018-01-08,26.6
2018-01-15,25.97
2018-01-22,25.51
2018-01-29,24.049999
2018-02-05,22.4
2018-02-12,24.84
2018-02-19,24.91
2018-02-26,24.31
2018-03-05,25.25
2018-03-12,25.22
2018-03-19,24.64
2018-03-26,24.56
2018-04-02,24.38
2018-04-09,24.69
2018-04-16,25.3
2018-04-23,25.11
2018-04-30,24.25
2018-05-07,25.9
2018-05-14,26.55
2018-05-21,25.91
2018-05-28,25.17
2018-06-04,23.19
2018-06-11,23.25
2018-06-18,23.7
2018-06-25,23.1
2018-07-02,23.54
2018-07-09,23.28
2018-07-16,22.86
2018-07-23,22.76
2018-07-30,22.15
2018-08-06,22.16
2018-08-13,21.08
2018-08-20,21.89
2018-08-27,21.83
2018-09-03,20.79
2018-09-10,20.87
2018-09-17,21.58
2018-09-24,20.74
2018-10-01,20.15
2018-10-08,19.08
2018-10-15,19.059999
2018-10-22,17.86
2018-10-29,19.46
2018-11-05,20.19
2018-11-12,20.46
2018-11-19,20.08
2018-11-26,21.049999
2018-12-03,20.27
2018-12-10,20.049999
2018-12-17,18.47
2018-12-24,18.57
2018-12-31,19.45
2019-01-07,20.39
2019-01-14,20.46
2019-01-21,21.76
2019-01-28,22.72
2019-02-04,22.74
2019-02-11,23.23
2019-02-18,25.16
2019-02-25,25.049999
2019-03-04,23.19
2019-03-11,24.02
2019-03-18,23.27
2019-03-25,23.16
2019-04-01,24.8
2019-04-08,24.61
2019-04-15,25.09
2019-04-22,25.55
2019-04-29,26.21
2019-05-06,25.39
2019-05-13,25.25
2019-05-20,25.5
2019-05-27,25.67
2019-06-03,27.01
2019-06-10,27.3
2019-06-17,28.0
2019-06-24,28.27
2019-07-01,29.26
2019-07-08,28.75
2019-07-15,29.040001
2019-07-22,28.51
2019-07-29,30.38
2019-08-05,30.81
2019-08-12,29.81
2019-08-19,30.049999
2019-08-26,30.55
2019-09-02,29.74
2019-09-09,29.59
2019-09-16,32.13
2019-09-23,29.21
2019-09-30,29.6
2019-10-07,29.79
2019-10-14,29.0
2019-10-21,29.02
2019-10-28,28.18
2019-11-04,27.84
2019-11-11,27.85
2019-11-18,27.42
2019-11-25,27.99
2019-12-02,28.77
2019-12-09,29.7
2019-12-16,30.68
2019-12-23,30.87
2019-12-30,31.73
2020-01-06,32.42
2020-01-13,33.67
2020-01-20,33.38
2020-01-27,32.15
2020-02-03,34.79
2020-02-10,37.51
2020-02-17,40.77
2020-02-24,36.47
2020-03-02,36.88
2020-03-09,27.17
2020-03-16,22.75
2020-03-23,24.97
2020-03-30,23.82
2020-04-06,27.97
2020-04-13,28.9
2020-04-20,28.37
2020-04-27,28.8
2020-05-04,32.21
2020-05-11,30.89
2020-05-18,32.7
2020-05-25,33.76
2020-06-01,35.56
2020-06-08,34.060001
2020-06-15,35.16
2020-06-22,34.89
2020-06-29,37.34
2020-07-06,41.37
2020-07-13,43.89
2020-07-20,44.93
2020-07-27,45.0099983
2020-08-03,51.2
2020-08-10,51.56
2020-08-17,52.44
2020-08-24,56.86
2020-08-31,51.5
2020-09-07,52.72
2020-09-14,55.22
2020-09-21,57.64
2020-09-28,66.59
2020-10-05,75.66
2020-10-12,73.51
2020-10-19,71.12
2020-10-26,68.77
2020-11-02,75.55
2020-11-09,73.64
2020-11-16,78.019997
2020-11-23,85.42
2020-11-30,81.42
2020-12-07,83.8
2020-12-14,96.0
2020-12-21,102.8
2020-12-28,102.76
2021-01-04,119.13
2021-01-11,106.89
2021-01-18,121.11
2021-01-25,108.69
2021-02-01,116.69
2021-02-08,121.32
2021-02-15,110.64
2021-02-22,101.32
2021-03-01,87.48
2021-03-08,97.3
2021-03-15,89.58
2021-03-22,88.019997
2021-03-29,90.68
2021-04-05,86.46
2021-04-12,85.49
2021-04-19,90.94
2021-04-26,83.15
2021-05-03,75.15
2021-05-10,72.54
2021-05-17,78.51
2021-05-24,79.11
2021-05-31,76.84
2021-06-07,79.82
2021-06-14,82.47
2021-06-21,85.57
2021-06-28,88.18
2021-07-05,88.21
2021-07-12,80.63
2021-07-19,83.46
2021-07-26,85.67
2021-08-02,86.24
2021-08-09,82.82
2021-08-16,79.65
2021-08-23,84.11
2021-08-30,86.040001
2021-09-06,83.33
2021-09-13,85.22
2021-09-20,80.54
2021-09-27,81.059998
2021-10-04,78.53
2021-10-11,87.15
2021-10-18,88.44
2021-10-25,99.099998
2021-11-01,95.76
2021-11-08,99.61
2021-11-15,98.12
2021-11-22,90.67
2021-11-29,82.16
2021-12-06,83.64
2021-12-13,79.040001
2021-12-20,77.91
2021-12-27,76.97
2022-01-03,70.75
2022-01-10,70.45
2022-01-17,63.74
2022-01-24,60.51
2022-01-31,63.41
2022-02-07,62.58
2022-02-14,62.48
2022-02-21,66.42
2022-02-28,67.96
2022-03-07,73.63
2022-03-14,76.040001
2022-03-21,75.36
2022-03-28,76.21
2022-04-04,72.71
2022-04-11,72.040001
2022-04-18,64.5
2022-04-25,64.23
2022-05-02,64.77
2022-05-09,61.71
2022-05-16,67.19
2022-05-23,71.28
2022-05-30,73.65
2022-06-06,73.44
2022-06-13,70.13
2022-06-20,73.77
2022-06-27,72.0
2022-07-04,76.68
