datetime,close
2007-04-16,57.099998
2007-04-23,56.8
2007-04-30,57.6
2007-05-07,61.82
2007-05-14,73.16
2007-05-21,70.019997
2007-05-28,73.18
2007-06-04,65.099998
2007-06-11,71.2
2007-06-18,67.66
2007-06-25,66.080002
2007-07-02,70.34
2007-07-09,74.42
2007-07-16,78.74
2007-07-23,70.4
2007-07-30,62.32
2007-08-06,55.0
2007-08-13,52.36
2007-08-20,56.7
2007-08-27,54.58
2007-09-03,54.44
2007-09-10,50.2
2007-09-17,53.0
2007-09-24,54.56
2007-10-01,49.58
2007-10-08,49.7
2007-10-15,43.84
2007-10-22,42.8
2007-10-29,43.72
2007-11-05,32.2
2007-11-12,37.3
2007-11-19,31.1
2007-11-26,34.2
2007-12-03,35.22
2007-12-10,36.040001
2007-12-17,41.02
2007-12-24,39.0
2007-12-31,34.52
2008-01-07,34.44
2008-01-14,34.66
2008-01-21,33.5
2008-01-28,37.02
2008-02-04,33.44
2008-02-11,32.22
2008-02-18,29.66
2008-02-25,31.9
2008-03-03,32.4
2008-03-10,30.4
2008-03-17,31.2
2008-03-24,33.3
2008-03-31,37.2
2008-04-07,36.72
2008-04-14,38.94
2008-04-21,39.96
2008-04-28,39.88
2008-05-05,39.24
2008-05-12,43.46
2008-05-19,42.78
2008-05-26,42.48
2008-06-02,41.36
2008-06-09,38.76
2008-06-16,37.76
2008-06-23,34.52
2008-06-30,30.22
2008-07-07,30.9
2008-07-14,30.4
2008-07-21,31.96
2008-07-28,33.26
2008-08-04,34.5
2008-08-11,34.98
2008-08-18,34.7
2008-08-25,33.74
2008-09-01,33.5
2008-09-08,35.78
2008-09-15,33.86
2008-09-22,27.8
2008-09-29,29.24
2008-10-06,26.059999
2008-10-13,27.16
2008-10-20,25.46
2008-10-27,27.48
2008-11-03,27.0
2008-11-10,23.54
2008-11-17,22.2
2008-11-24,29.28
2008-12-01,30.78
2008-12-08,29.66
2008-12-15,31.36
2008-12-22,28.66
2008-12-29,29.72
2009-01-05,34.5
2009-01-12,27.08
2009-01-19,25.56
2009-01-26,27.18
2009-02-02,29.86
2009-02-09,29.3
2009-02-16,25.0
2009-02-23,29.0
2009-03-02,28.72
2009-03-09,33.7
2009-03-16,33.26
2009-03-23,35.040001
2009-03-30,36.66
2009-04-06,34.44
2009-04-13,33.16
2009-04-20,32.2
2009-04-27,34.099998
2009-05-04,34.74
2009-05-11,33.46
2009-05-18,33.44
2009-05-25,34.26
2009-06-01,28.32
