datetime,close
2007-04-02,6.97
2007-04-09,6.55
2007-04-16,5.71
2007-04-23,5.82
2007-04-30,5.91
2007-05-07,5.2
2007-05-14,4.92
2007-05-21,5.0
2007-05-28,4.75
2007-06-04,3.76
2007-06-11,4.01
2007-06-18,4.0
2007-06-25,4.0
2007-07-02,3.45
2007-07-09,3.6
2007-07-16,3.43
2007-07-23,3.48
2007-07-30,3.53
2007-08-06,3.51
2007-08-13,3.16
2007-08-20,3.56
2007-08-27,3.5
2007-09-03,3.25
2007-09-10,3.5
2007-09-17,3.5
2007-09-24,4.4
2007-10-01,4.02
2007-10-08,3.8
2007-10-15,3.7
2007-10-22,3.9
2007-10-29,3.93
2007-11-05,4.38
2007-11-12,4.48
2007-11-19,3.92
2007-11-26,3.65
2007-12-03,3.34
2007-12-10,3.32
2007-12-17,3.15
2007-12-24,3.12
2007-12-31,3.29
2008-01-07,2.99
2008-01-14,2.26
2008-01-21,2.45
2008-01-28,2.9
2008-02-04,2.68
2008-02-11,2.89
2008-02-18,3.44
2008-02-25,3.54
2008-03-03,2.95
2008-03-10,2.58
2008-03-17,2.6
2008-03-24,2.82
2008-03-31,2.59
2008-04-07,2.46
2008-04-14,2.11
2008-04-21,2.53
2008-04-28,2.45
2008-05-05,2.28
2008-05-12,2.46
2008-05-19,2.52
2008-05-26,2.54
2008-06-02,2.48
2008-06-09,2.1
2008-06-16,2.28
2008-06-23,3.4
2008-06-30,2.58
2008-07-07,2.3
2008-07-14,2.21
2008-07-21,2.25
2008-07-28,2.13
2008-08-04,2.03
2008-08-11,2.08
2008-08-18,1.82
2008-08-25,1.99
2008-09-01,1.71
2008-09-08,1.09
2008-09-15,1.07
2008-09-22,0.95999998
2008-09-29,0.68000001
2008-10-06,0.5
2008-10-13,0.47
2008-10-20,0.49000001
2008-10-27,0.46000001
2008-11-03,0.37
2008-11-10,0.31999999
2008-11-17,0.25
2008-11-24,0.27000001
2008-12-01,0.20999999
2008-12-08,0.19
2008-12-15,0.34
2008-12-22,0.28999999
2008-12-29,0.40000001
2009-01-05,0.57999998
2009-01-12,0.50999999
2009-01-19,0.51999998
2009-01-26,0.46000001
2009-02-02,0.47
2009-02-09,0.47
