datetime,close
2018-07-30,9.99
2018-08-06,9.85
2018-08-13,9.83
2018-08-20,9.8
2018-08-27,9.73
2018-09-03,9.78
2018-09-10,9.8
2018-09-17,9.75
2018-09-24,9.75
2018-10-01,9.72
2018-10-08,9.75
2018-10-15,9.82
2018-10-22,9.7
2018-10-29,9.75
2018-11-05,9.84
2018-11-12,9.85
2018-11-19,9.83
2018-11-26,9.85
2018-12-03,9.78
2018-12-10,9.72
2018-12-17,9.8
2018-12-24,9.73
2018-12-31,9.78
2019-01-07,9.84
2019-01-14,9.85
2019-01-21,9.86
2019-01-28,9.95
2019-02-04,9.95
2019-02-11,9.89
2019-02-18,9.9
2019-02-25,9.94
2019-03-04,9.97
2019-03-11,9.98
2019-03-18,9.95
2019-03-25,10.02
2019-04-01,10.01
2019-04-08,10.0
2019-04-15,10.05
2019-04-22,10.12
2019-04-29,10.1
2019-05-06,10.08
2019-05-13,10.1
2019-05-20,10.07
2019-05-27,10.08
2019-06-03,10.1
2019-06-10,10.1
2019-06-17,10.19
2019-06-24,10.14
2019-07-01,10.13
2019-07-08,10.18
2019-07-15,10.18
2019-07-22,10.23
2019-07-29,10.25
2019-08-05,10.19
2019-08-12,10.24
2019-08-19,10.195
2019-08-26,10.25
2019-09-02,10.19
2019-09-09,10.24
2019-09-16,10.28
2019-09-23,10.27
2019-09-30,10.27
2019-10-07,10.23
2019-10-14,10.22
2019-10-21,10.27
2019-10-28,10.27
2019-11-04,10.24
2019-11-11,10.28
2019-11-18,10.25
2019-11-25,10.23
2019-12-02,10.39
2019-12-09,10.94
2019-12-16,10.98
2019-12-23,10.94
2019-12-30,11.24
2020-01-06,11.67
2020-01-13,11.4
2020-01-20,11.91
2020-01-27,12.4
2020-02-03,12.88
2020-02-10,13.0
2020-02-17,12.85
2020-02-24,11.79
2020-03-02,10.0
2020-03-09,8.9
2020-03-16,7.36
2020-03-23,8.22
2020-03-30,7.9
2020-04-06,9.19
2020-04-13,10.28
2020-04-20,10.26
2020-04-27,10.29
2020-05-04,11.01
2020-05-11,11.45
2020-05-18,12.07
2020-05-25,12.73
2020-06-01,14.0
2020-06-08,14.26
2020-06-15,13.82
2020-06-22,12.27
2020-06-29,14.07
2020-07-06,13.9
2020-07-13,14.24
2020-07-20,13.58
2020-07-27,14.5
2020-08-03,16.49
2020-08-10,16.3
2020-08-17,15.91
2020-08-24,16.5
2020-08-31,16.1
2020-09-07,16.95
2020-09-14,17.61
2020-09-21,16.82
2020-09-28,17.59
2020-10-05,18.040001
2020-10-12,18.34
2020-10-19,18.84
2020-10-26,17.65
2020-11-02,16.96
2020-11-09,17.99
2020-11-16,18.62
2020-11-23,18.85
2020-11-30,19.75
2020-12-07,18.98
2020-12-14,19.19
2020-12-21,18.93
2020-12-28,18.67
2021-01-04,18.07
2021-01-11,19.51
2021-01-18,20.01
2021-01-25,20.12
2021-02-01,20.9
2021-02-08,21.44
2021-02-15,21.63
2021-02-22,20.93
2021-03-01,20.049999
2021-03-08,21.07
2021-03-15,20.45
2021-03-22,19.49
2021-03-29,21.01
2021-04-05,21.43
2021-04-12,22.47
2021-04-19,21.77
2021-04-26,22.7
2021-05-03,23.01
2021-05-10,23.31
2021-05-17,23.65
2021-05-24,24.82
2021-05-31,25.35
2021-06-07,26.21
2021-06-14,26.12
2021-06-21,27.15
2021-06-28,26.95
2021-07-05,27.39
2021-07-12,26.56
2021-07-19,27.74
