datetime,close
2016-10-03,15.9
2016-10-10,16.1
2016-10-17,15.7
2016-10-24,15.2
2016-10-31,14.0
2016-11-07,14.71
2016-11-14,14.1
2016-11-21,14.0
2016-11-28,13.85
2016-12-05,16.4
2016-12-12,14.06
2016-12-19,14.385
2016-12-26,15.5
2017-01-02,16.2
2017-01-09,16.45
2017-01-16,16.94
2017-01-23,16.73
2017-01-30,16.7
2017-02-06,17.95
2017-02-13,17.35
2017-02-20,16.62
2017-02-27,16.26
2017-03-06,15.69
2017-03-13,16.08
2017-03-20,15.8
2017-03-27,16.3
2017-04-03,16.25
2017-04-10,16.17
2017-04-17,15.2
2017-04-24,14.95
2017-05-01,15.03
2017-05-08,15.58
2017-05-15,15.04
2017-05-22,14.99
2017-05-29,14.99
2017-06-05,15.8
2017-06-12,16.7
2017-06-19,16.75
2017-06-26,16.79
2017-07-03,16.44
2017-07-10,16.02
2017-07-17,16.39
2017-07-24,16.43
2017-07-31,16.66
2017-08-07,17.21
2017-08-14,17.54
2017-08-21,17.75
2017-08-28,17.84
2017-09-04,17.65
2017-09-11,17.78
2017-09-18,18.15
2017-09-25,18.69
2017-10-02,18.79
2017-10-09,19.0
2017-10-16,19.030001
2017-10-23,20.3
2017-10-30,19.23
2017-11-06,18.61
2017-11-13,19.15
2017-11-20,19.28
2017-11-27,18.73
2017-12-04,17.75
2017-12-11,17.31
2017-12-18,17.98
2017-12-25,18.32
2018-01-01,18.68
2018-01-08,18.57
2018-01-15,19.49
2018-01-22,19.79
2018-01-29,19.15
2018-02-05,17.88
2018-02-12,18.83
2018-02-19,19.02
2018-02-26,19.59
2018-03-05,20.69
2018-03-12,20.43
2018-03-19,20.19
2018-03-26,20.83
2018-04-02,19.68
2018-04-09,21.65
2018-04-16,21.88
2018-04-23,22.74
2018-04-30,23.01
2018-05-07,22.94
2018-05-14,23.01
2018-05-21,23.95
2018-05-28,24.34
2018-06-04,24.56
2018-06-11,23.75
2018-06-18,23.65
2018-06-25,23.66
2018-07-02,22.91
2018-07-09,23.44
2018-07-16,23.18
2018-07-23,22.35
2018-07-30,22.62
2018-08-06,22.78
2018-08-13,22.42
2018-08-20,22.66
2018-08-27,23.54
2018-09-03,22.5
2018-09-10,23.35
2018-09-17,23.84
2018-09-24,24.88
2018-10-01,25.62
2018-10-08,24.22
2018-10-15,22.65
2018-10-22,22.11
2018-10-29,24.39
2018-11-05,24.08
2018-11-12,23.67
2018-11-19,22.86
2018-11-26,23.48
2018-12-03,23.95
2018-12-10,24.71
2018-12-17,21.43
2018-12-24,22.3
2018-12-31,23.07
2019-01-07,23.79
2019-01-14,24.2
2019-01-21,24.65
2019-01-28,25.07
2019-02-04,25.93
2019-02-11,26.51
2019-02-18,26.89
2019-02-25,26.55
2019-03-04,25.13
2019-03-11,25.59
2019-03-18,25.98
2019-03-25,26.030001
2019-04-01,25.94
2019-04-08,26.1
2019-04-15,26.01
2019-04-22,27.02
2019-04-29,26.66
2019-05-06,24.83
2019-05-13,24.81
2019-05-20,24.48
2019-05-27,23.56
2019-06-03,24.31
2019-06-10,23.77
2019-06-17,24.1
2019-06-24,22.64
2019-07-01,22.54
2019-07-08,22.58
2019-07-15,21.83
2019-07-22,21.75
2019-07-29,22.040001
2019-08-05,22.13
2019-08-12,23.69
2019-08-19,23.98
2019-08-26,24.95
2019-09-02,25.53
2019-09-09,26.25
2019-09-16,27.14
2019-09-23,26.74
2019-09-30,26.93
2019-10-07,27.09
2019-10-14,26.79
2019-10-21,27.1
2019-10-28,27.17
2019-11-04,26.0
2019-11-11,26.2
2019-11-18,26.53
2019-11-25,26.53
2019-12-02,24.09
2019-12-09,23.71
2019-12-16,24.01
2019-12-23,22.82
2019-12-30,23.08
2020-01-06,22.76
2020-01-13,22.94
2020-01-20,22.17
2020-01-27,22.52
2020-02-03,22.3
2020-02-10,23.29
2020-02-17,23.43
2020-02-24,19.23
2020-03-02,20.53
2020-03-09,15.49
2020-03-16,14.08
2020-03-23,16.39
2020-03-30,15.83
2020-04-06,17.79
2020-04-13,17.54
2020-04-20,18.040001
2020-04-27,19.35
2020-05-04,18.9
2020-05-11,18.57
2020-05-18,19.81
2020-05-25,20.44
2020-06-01,20.87
2020-06-08,20.2
2020-06-15,19.83
2020-06-22,18.13
2020-06-29,19.040001
2020-07-06,18.87
2020-07-13,19.62
2020-07-20,18.88
2020-07-27,18.66
2020-08-03,18.9
2020-08-10,19.049999
2020-08-17,19.1
2020-08-24,19.3
2020-08-31,18.23
2020-09-07,18.51
2020-09-14,18.11
2020-09-21,18.01
2020-09-28,17.99
2020-10-05,17.99
2020-10-12,19.02
2020-10-19,19.28
2020-10-26,17.37
2020-11-02,18.26
2020-11-09,19.73
2020-11-16,18.2
2020-11-23,19.59
2020-11-30,19.15
2020-12-07,18.28
2020-12-14,17.65
2020-12-21,18.71
2020-12-28,19.66
2021-01-04,20.99
2021-01-11,21.51
2021-01-18,21.34
2021-01-25,19.97
2021-02-01,21.049999
2021-02-08,21.33
2021-02-15,22.91
2021-02-22,17.25
2021-03-01,17.82
2021-03-08,18.4
2021-03-15,17.3
2021-03-22,16.87
2021-03-29,17.72
2021-04-05,17.5
2021-04-12,17.8
2021-04-19,17.49
2021-04-26,16.87
2021-05-03,16.049999
2021-05-10,16.38
2021-05-17,16.68
2021-05-24,16.17
2021-05-31,17.4
2021-06-07,18.63
2021-06-14,17.47
2021-06-21,18.39
2021-06-28,19.040001
2021-07-05,19.32
2021-07-12,18.81
2021-07-19,19.1
2021-07-26,19.15
2021-08-02,18.56
2021-08-09,18.4
2021-08-16,18.13
2021-08-23,18.68
2021-08-30,19.11
2021-09-06,18.44
2021-09-13,17.79
2021-09-20,17.56
2021-09-27,16.85
2021-10-04,17.9
2021-10-11,19.68
2021-10-18,19.11
2021-10-25,19.59
2021-11-01,20.5
2021-11-08,19.65
2021-11-15,20.049999
2021-11-22,20.16
2021-11-29,20.71
2021-12-06,21.02
2021-12-13,21.23
2021-12-20,22.030001
2021-12-27,22.77
2022-01-03,22.71
2022-01-10,22.59
2022-01-17,21.72
2022-01-24,21.67
2022-01-31,21.83
