datetime,close
2016-10-24,16.99
2016-10-31,15.2
2016-11-07,14.58
2016-11-14,16.3
2016-11-21,15.9
2016-11-28,13.83
2016-12-05,14.13
2016-12-12,12.64
2016-12-19,12.57
2016-12-26,12.07
2017-01-02,13.34
2017-01-09,12.84
2017-01-16,13.6
2017-01-23,12.42
2017-01-30,12.24
2017-02-06,12.41
2017-02-13,14.01
2017-02-20,14.15
2017-02-27,13.02
2017-03-06,11.23
2017-03-13,12.69
2017-03-20,12.67
2017-03-27,13.09
2017-04-03,11.97
2017-04-10,12.63
2017-04-17,13.01
2017-04-24,13.93
2017-05-01,13.82
2017-05-08,14.6
2017-05-15,14.0
2017-05-22,14.33
2017-05-29,14.59
2017-06-05,14.53
2017-06-12,14.32
2017-06-19,14.34
2017-06-26,13.96
2017-07-03,14.45
2017-07-10,15.94
2017-07-17,15.04
2017-07-24,14.71
2017-07-31,14.59
2017-08-07,13.25
2017-08-14,13.73
2017-08-21,13.49
2017-08-28,13.8
2017-09-04,13.9
2017-09-11,15.07
2017-09-18,14.84
2017-09-25,14.04
2017-10-02,13.61
2017-10-09,15.63
2017-10-16,15.6
2017-10-23,15.73
2017-10-30,16.58
2017-11-06,17.61
2017-11-13,16.83
2017-11-20,16.47
2017-11-27,16.0
2017-12-04,15.28
2017-12-11,14.95
2017-12-18,15.92
2017-12-25,15.85
2018-01-01,16.049999
2018-01-08,15.76
2018-01-15,16.49
2018-01-22,15.84
2018-01-29,15.56
2018-02-05,14.94
2018-02-12,15.5
2018-02-19,15.56
2018-02-26,15.93
2018-03-05,15.72
2018-03-12,15.44
2018-03-19,14.76
2018-03-26,14.99
2018-04-02,14.9
2018-04-09,15.92
2018-04-16,16.48
2018-04-23,16.34
2018-04-30,16.7
2018-05-07,16.95
2018-05-14,17.6
2018-05-21,19.3
2018-05-28,20.71
2018-06-04,21.040001
2018-06-11,21.15
2018-06-18,19.36
2018-06-25,20.0
2018-07-02,19.66
2018-07-09,20.61
2018-07-16,21.27
2018-07-23,20.09
2018-07-30,19.39
2018-08-06,21.13
2018-08-13,19.33
2018-08-20,19.52
2018-08-27,18.46
2018-09-03,17.69
2018-09-10,17.76
2018-09-17,17.97
2018-09-24,16.57
2018-10-01,15.61
2018-10-08,16.24
2018-10-15,15.48
2018-10-22,15.48
2018-10-29,16.67
2018-11-05,15.97
2018-11-12,16.97
2018-11-19,16.48
2018-11-26,17.16
2018-12-03,15.83
2018-12-10,16.44
2018-12-17,15.93
2018-12-24,16.0
2018-12-31,16.16
2019-01-07,17.36
2019-01-14,17.99
2019-01-21,17.43
2019-01-28,17.37
2019-02-04,17.91
2019-02-11,18.81
2019-02-18,19.61
2019-02-25,19.59
2019-03-04,20.17
2019-03-11,19.059999
2019-03-18,17.69
2019-03-25,18.28
2019-04-01,18.9
2019-04-08,19.52
2019-04-15,19.6
2019-04-22,19.97
2019-04-29,19.98
2019-05-06,19.01
2019-05-13,17.93
2019-05-20,17.95
2019-05-27,18.040001
2019-06-03,17.56
2019-06-10,18.61
2019-06-17,19.030001
2019-06-24,19.12
2019-07-01,19.87
2019-07-08,19.82
2019-07-15,19.66
2019-07-22,19.7
2019-07-29,19.1
2019-08-05,19.059999
2019-08-12,19.38
2019-08-19,19.54
2019-08-26,20.51
2019-09-02,21.16
2019-09-09,21.25
2019-09-16,21.76
2019-09-23,20.58
2019-09-30,20.72
2019-10-07,20.68
2019-10-14,20.84
2019-10-21,22.13
2019-10-28,21.74
2019-11-04,22.45
2019-11-11,22.37
2019-11-18,20.74
2019-11-25,21.28
2019-12-02,20.92
2019-12-09,21.57
2019-12-16,22.91
2019-12-23,23.52
2019-12-30,23.3
2020-01-06,23.0
2020-01-13,24.18
2020-01-20,22.61
2020-01-27,21.72
2020-02-03,23.76
2020-02-10,24.02
2020-02-17,24.72
2020-02-24,23.46
2020-03-02,26.6
2020-03-09,25.6
2020-03-16,24.69
2020-03-23,25.51
2020-03-30,26.92
2020-04-06,27.13
2020-04-13,28.79
2020-04-20,28.89
2020-04-27,28.41
2020-05-04,31.15
2020-05-11,33.33
2020-05-18,30.69
2020-05-25,32.62
2020-06-01,34.56
2020-06-08,34.89
2020-06-15,38.64
2020-06-22,36.93
2020-06-29,37.53
2020-07-06,37.12
2020-07-13,36.17
2020-07-20,34.88
2020-07-27,37.049999
2020-08-03,36.34
2020-08-10,33.67
2020-08-17,31.87
2020-08-24,32.72
2020-08-31,33.27
2020-09-07,31.62
2020-09-14,30.66
2020-09-21,30.5
2020-09-28,29.08
2020-10-05,29.91
2020-10-12,28.84
2020-10-19,30.27
2020-10-26,28.98
2020-11-02,31.35
2020-11-09,32.73
2020-11-16,30.12
2020-11-23,29.51
2020-11-30,28.22
2020-12-07,28.0
2020-12-14,27.95
2020-12-21,28.02
2020-12-28,29.16
2021-01-04,28.76
2021-01-11,29.52
2021-01-18,33.040001
2021-01-25,33.080002
2021-02-01,35.36
2021-02-08,38.48
2021-02-15,36.93
2021-02-22,33.74
2021-03-01,34.96
2021-03-08,33.07
2021-03-15,28.61
2021-03-22,28.68
2021-03-29,30.1
2021-04-05,28.2
2021-04-12,29.57
2021-04-19,32.28
2021-04-26,32.16
2021-05-03,31.96
2021-05-10,30.83
2021-05-17,32.029999
2021-05-24,32.09
2021-05-31,31.86
2021-06-07,31.6
2021-06-14,28.92
2021-06-21,30.72
2021-06-28,29.3
2021-07-05,29.08
2021-07-12,29.19
2021-07-19,28.01
2021-07-26,27.059999
2021-08-02,27.9
2021-08-09,27.21
2021-08-16,26.46
2021-08-23,26.059999
2021-08-30,30.84
2021-09-06,30.76
2021-09-13,30.83
