date,AAVE,ADA,APT,AVAX,BTC,DOT,DYDX,ETH,FIL,JUP,LINK,POL,NEAR,OKB,ONDO,RENDER,SOL,GRAM,TRX,UNI,ZEC,INJ,XLM,LTC,XRP,GLM,BCH,ICP,BNB,RAY,GT,PENDLE,HBAR,ETHFI,HYPE
2016-01-01,,,,,430.0,,,10.0,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,
2016-01-08,,,,,538.86,,,14.53,,,,,,,,,,,,,563.4,,,,,,,,,,,,,,
2016-01-15,,,,,650.58,,,19.6,,,,,,,,,,,,,538.06,,,,,,,,,,,,,,
2016-01-22,,,,,772.59,,,26.71,,,,,,,,,,,,,547.5,,,,,,,,,,,,,,
2016-01-29,,,,,766.97,,,26.58,,,,,,,,,,,,,526.82,,,,,,,,,,,,,,
2016-02-05,,,,,814.19,,,28.18,,,,,,,,,,,,,499.55,,,,,,,,,,,,,,
2016-02-12,,,,,791.95,,,29.51,,,,,,,,,,,,,475.34,,,,,,,,,,,,,,
2016-02-19,,,,,840.96,,,30.53,,,,,,,,,,,,,490.92,,,,,,,,,,,,,,
2016-02-26,,,,,808.28,,,30.12,,,,,,,,,,,,,519.48,,,,,,,,,,,,,,
2016-03-04,,,,,833.38,,,30.33,,,,,,,,,,,,,523.42,,,,,,,,,,,,,,
2016-03-11,,,,,842.92,,,28.42,,,,,,,,,,,,,528.35,,,,,,,,,,,,,,
2016-03-18,,,,,868.17,,,29.98,,,,,,,,,,,,,588.73,,,,,,,,,,,,,,
2016-03-25,,,,,887.17,,,29.22,,,,,,,,,,,,,578.98,,,,,,,,,,,,,,
2016-04-01,,,,,891.62,,,33.11,,,,,,,,,,,,,619.68,,,,,,,,,,,,,,
2016-04-08,,,,,929.61,,,34.08,,,,,,,,,,,,,662.36,,,,,,,,,,,,,,
2016-04-15,,,,,915.73,,,33.68,,,,,,,,,,,,,698.32,,,,,,,,,,,,,,
2016-04-22,,,,,955.03,,,31.36,,,,,,,,,,,,,696.92,,,,,,,,,,,,,,
2016-04-29,,,,,1001.81,,,32.16,,,,,,,,,,,,,710.97,,,,,,,,,,,,,,
2016-05-06,,,,,1056.01,,,34.89,,,,,,,,,,,,,687.63,,,,,,,,,,,,,,
2016-05-13,,,,,1011.52,,,36.19,,,,,,,,,,,,,667.33,,,,,,,,,,,,,,
2016-05-20,,,,,1031.47,,,33.74,,,,,,,,,,,,,694.11,,,,,,,,,,,,,,
2016-05-27,,,,,1085.65,,,35.07,,,,,,,,,,,,,738.06,,,,,,,,,,,,,,
2016-06-03,,,,,1124.35,,,32.74,,,,,,,,,,,,,764.42,,,,,,,,,,,,,,
2016-06-10,,,,,1185.39,,,33.63,,,,,,,,,,,,,780.49,,,,,,,,,,,,,,
2016-06-17,,,,,1183.54,,,33.43,,,,,,,,,,,,,772.84,,,,,,,,,,,,,,
2016-06-24,,,,,1246.23,,,32.35,,,,,,,,,,,,,771.72,,,,,,,,,,,,,,
2016-07-01,,,,,1242.46,,,33.51,,,,,,,,,,,,,826.45,,,,,,,,,,,,,,
2016-07-08,,,,,1200.29,,,34.05,,,,,,,,,,,,,887.34,,,,,,,,,,,,,,
2016-07-15,,,,,1243.86,,,36.35,,,,,,,,,,,,,820.16,,,,,,,,,,,,,,
2016-07-22,,,,,1339.3,,,36.88,,,,,,,,,,,,,834.79,,,,,,,,,,,,,,
2016-07-29,,,,,1361.68,,,41.19,,,,,,,,,,,,,842.35,,,,,,,,,,,,,,
2016-08-05,,,,,1433.83,,,38.6,,,,,,,,,,,,,832.7,,,,,,,,,,,,,,
