date,BTC_kraken,ETH_kraken,BTC_okx,ETH_okx,BTC_coinbase,ETH_coinbase
2016-08-04,591.0,12.22,591.0,12.22,,
2016-08-11,573.2,10.77,573.2,10.77,,
2016-08-18,582.1,11.09,582.1,11.09,,
2016-08-25,574.2,11.61,574.2,11.61,,
2016-09-01,617.3,11.58,617.3,11.58,,
2016-09-08,613.9,11.96,613.9,11.96,,
2016-09-15,599.6,13.78,599.6,13.78,,
2016-09-22,604.9,13.27,604.9,13.27,,
2016-09-29,614.9,13.02,614.9,13.02,,
2016-10-06,635.2,11.85,635.2,11.85,,
2016-10-13,631.5,12.03,631.5,12.03,,
2016-10-20,677.3,11.51,677.3,11.51,,
2016-10-27,747.0,10.84,747.0,10.84,,
2016-11-03,722.4,10.69,722.4,10.69,,
2016-11-10,741.6,10.04,741.6,10.04,,
2016-11-17,741.9,9.8,741.9,9.8,,
2016-11-24,742.3,8.55,742.3,8.55,,
2016-12-01,765.0,8.32,765.0,8.32,,
2016-12-08,777.5,8.21,777.5,8.21,,
2016-12-15,830.0,7.82,830.0,7.82,,
2016-12-22,978.0,7.54,978.0,7.54,,
2016-12-29,1133.2,11.02,1133.2,11.02,,
2017-01-05,789.8,9.79,789.8,9.79,,
2017-01-12,892.3,10.35,892.3,10.35,,
2017-01-19,896.8,10.5,896.8,10.5,,
2017-01-26,988.7,10.59,988.7,10.59,,
2017-02-02,1055.8,11.39,1055.8,11.39,,
2017-02-09,1015.7,12.99,1015.7,12.99,,
2017-02-16,1125.6,12.69,1125.6,12.69,,
2017-02-23,1225.0,17.3,1225.0,17.3,,
2017-03-02,1143.3,16.4,1143.3,16.4,,
2017-03-09,1252.9,34.75,1252.9,34.75,,
2017-03-16,1032.0,41.24,1032.0,41.24,,
2017-03-23,1043.4,53.01,1043.4,53.01,,
2017-03-30,1138.1,45.28,1138.1,45.28,,
2017-04-06,1219.1,46.5,1219.1,46.5,,
2017-04-13,1204.2,48.0,1204.2,48.0,,
2017-04-20,1290.5,53.24,1290.5,53.24,,
2017-04-27,1513.5,80.39,1513.5,80.39,,
2017-05-04,1782.0,88.4,1782.0,88.4,,
2017-05-11,1836.0,87.7,1836.0,87.7,,
2017-05-18,2408.2,185.23,2408.2,185.23,,
2017-05-25,2291.3,228.5,2291.3,228.5,,
2017-06-01,2690.0,256.18,2690.0,256.18,,
2017-06-08,2452.6,347.23,2452.6,347.23,,
2017-06-15,2644.9,324.47,2644.9,324.47,,
2017-06-22,2554.0,316.2,2554.0,316.2,,
2017-06-29,2611.3,266.3,2611.3,266.3,,
2017-07-06,2373.8,223.0,2373.8,223.0,,
2017-07-13,2254.9,193.5,2254.9,193.5,,
2017-07-20,2525.0,202.21,2525.0,202.21,,
2017-07-27,2700.8,218.48,2700.8,218.48,,
2017-08-03,3371.8,297.78,3371.8,297.78,,
2017-08-10,4388.0,302.25,4388.0,302.25,,
2017-08-17,4151.0,317.31,4151.0,317.31,,
2017-08-24,4579.7,383.5,4579.7,383.5,,
2017-08-31,4641.6,341.84,4641.6,341.84,,
2017-09-07,3882.2,276.21,3882.2,276.21,,
2017-09-14,3863.1,282.36,3863.1,282.36,,
2017-09-21,4213.8,310.33,4213.8,310.33,,
2017-09-28,4223.6,292.0,4223.6,292.0,,
2017-10-05,4822.6,303.0,5848.0,331.0,,
2017-10-12,5579.4,314.36,5987.5,297.72,,
2017-10-19,5762.8,296.87,5900.0,304.66,,
2017-10-26,6741.9,290.1,7453.3,293.18,,
2017-11-02,7463.5,308.38,6175.3,301.44,,
2017-11-09,7260.0,329.31,7745.1,357.78,,
2017-11-16,8250.6,379.5,9057.1,454.99,,
2017-11-23,9795.8,424.0,11727.4,477.21,,
2017-11-30,13737.7,417.01,15361.5,442.65,,
2017-12-07,16150.1,680.0,19200.0,700.11,,
2017-12-14,16220.7,784.55,12570.2,608.04,,
2017-12-21,15445.9,741.26,13234.7,721.41,,
2017-12-28,15185.7,938.0,16484.5,1099.11,,
2018-01-04,14937.6,1245.02,12645.3,1230.43,,
2018-01-11,11185.0,1019.97,11485.8,1050.2,,
2018-01-18,11419.8,1063.77,11753.0,1220.0,,
2018-01-25,10101.6,1105.3,8837.6,897.0,,
2018-02-01,7559.0,748.54,8426.0,848.0,,
2018-02-08,9489.7,920.56,10594.7,932.61,,
2018-02-15,10468.1,840.35,9399.9,825.23,,
2018-02-22,10310.0,850.1,11142.1,857.0,,
2018-03-01,9903.0,750.0,9062.7,700.0,,
2018-03-08,8174.2,610.89,7380.8,462.19,,
2018-03-15,8880.0,559.79,8478.0,515.01,,
2018-03-22,7943.3,445.87,6449.8,360.7,,
2018-03-29,6790.4,377.95,7041.0,401.41,,
2018-04-05,6941.0,430.13,8275.9,521.97,,
2018-04-12,8170.0,525.76,8939.0,633.86,,
2018-04-19,8855.7,616.98,9299.7,681.38,,
2018-04-26,9217.1,687.02,9510.0,775.17,,
2018-05-03,9305.4,750.1,8602.0,725.83,,
2018-05-10,8344.9,706.01,8391.0,713.79,,
2018-05-17,7500.3,577.15,7340.7,572.17,,
2018-05-24,7374.9,556.38,7726.9,623.17,,
2018-05-31,7659.8,605.61,7223.0,567.51,,
2018-06-07,6294.2,476.0,6517.2,502.08,,
2018-06-14,6755.4,535.99,5776.1,421.81,,
2018-06-21,6134.2,441.53,6313.0,449.39,,
2018-06-28,6584.2,466.59,6738.9,490.0,,
2018-07-05,6377.9,444.67,6388.0,453.38,,
2018-07-12,7367.4,479.36,7522.4,469.16,,
2018-07-19,8166.0,471.72,8230.8,467.44,,
2018-07-26,7604.1,419.82,7002.0,406.1,,
2018-08-02,6275.9,355.18,6319.6,321.74,,
2018-08-09,6269.5,281.2,6406.4,300.46,,
2018-08-16,6359.8,270.02,6675.2,273.72,,
2018-08-23,7022.7,288.07,7219.1,291.62,,
2018-08-30,6686.6,227.92,6371.2,201.55,,
2018-09-06,6319.5,183.02,6481.0,217.51,,
2018-09-13,6392.1,209.83,6687.7,241.71,,
2018-09-20,6453.5,213.9,6602.8,233.35,,
2018-09-27,6463.9,219.02,6580.2,223.56,,
2018-10-04,6530.5,223.33,6379.3,202.0,,
2018-10-11,6442.5,203.56,6645.3,210.21,,
2018-10-18,6413.9,200.8,6488.6,204.91,,
2018-10-25,6307.5,196.88,6482.7,205.9,,
2018-11-01,6503.3,216.95,6381.8,210.56,,
2018-11-08,5600.9,177.8,5644.0,177.27,,
2018-11-15,4548.2,134.6,3883.6,112.06,,
2018-11-22,4219.8,121.73,4174.5,117.47,,
2018-11-29,3694.3,100.5,3576.4,95.55,,
2018-12-06,3435.2,89.14,3243.3,86.25,,
2018-12-13,3683.6,99.4,3906.2,125.58,,
2018-12-20,3808.2,130.34,3769.0,135.72,,
2018-12-27,3886.2,153.51,3805.0,150.94,,
2019-01-03,3999.9,149.29,3575.6,122.18,,
2019-01-10,3606.6,122.14,3523.1,116.95,,
2019-01-17,3556.1,116.59,3555.5,113.37,,
2019-01-24,3435.4,107.5,3464.0,107.59,,
2019-01-31,3367.4,103.26,3627.3,116.86,,
2019-02-07,3574.0,120.58,3621.1,126.1,,
2019-02-14,3942.0,147.29,3777.4,139.82,,
2019-02-21,3799.1,134.11,3797.6,131.3,,
2019-02-28,3851.7,136.92,3906.0,135.27,,
2019-03-07,3853.4,131.26,3988.6,139.35,,
2019-03-14,4032.1,138.78,3993.2,136.49,,
2019-03-21,4025.8,139.1,4097.5,141.0,,
2019-03-28,4972.2,161.3,5120.4,166.79,,
2019-04-04,5321.0,177.54,5061.4,163.17,,
2019-04-11,5224.9,166.57,5237.5,167.88,,
2019-04-18,5442.2,165.6,5334.0,158.99,,
2019-04-25,5323.3,158.36,5770.9,162.96,,
2019-05-02,5939.6,169.21,6875.5,185.5,,
2019-05-09,8203.0,249.13,7960.8,254.81,,
2019-05-16,7622.1,243.2,7982.1,248.55,,
2019-05-23,8663.2,269.5,8679.3,267.78,,
2019-05-30,7787.1,245.88,7717.1,235.82,,
2019-06-06,8171.0,262.5,9202.0,271.94,,
2019-06-13,9277.1,268.91,10809.9,313.61,,
2019-06-20,12933.7,334.51,11151.1,298.61,,
2019-06-27,11979.8,302.1,11222.4,291.28,,
2019-07-04,12096.2,288.46,10415.9,234.15,,
2019-07-11,9703.9,211.5,10440.6,222.29,,
2019-07-18,9769.8,216.51,9523.0,208.73,,
2019-07-25,10090.1,218.68,10946.5,220.63,,
2019-08-01,11962.7,225.97,11384.2,210.41,,
2019-08-08,10018.0,186.2,10390.5,193.92,,
2019-08-15,10125.0,187.27,10067.1,187.91,,
2019-08-22,9716.1,172.81,9605.7,170.16,,
2019-08-29,10584.9,175.02,10387.5,181.35,,
2019-09-05,10160.7,178.47,10304.3,188.82,,
2019-09-12,10157.6,210.23,9990.4,210.51,,
2019-09-19,8439.0,169.92,7966.3,167.28,,
2019-09-26,8382.3,180.88,8008.8,173.63,,
2019-10-03,8590.8,193.5,8403.6,183.59,,
2019-10-10,8000.0,174.39,8023.4,173.01,,
2019-10-17,7475.0,162.37,9521.8,183.71,,
2019-10-24,9166.2,183.54,9182.0,181.26,,
2019-10-31,9338.4,191.06,8797.1,186.8,,
2019-11-07,8762.1,187.75,8525.4,184.27,,
2019-11-14,8083.1,174.26,6983.7,143.53,,
2019-11-21,7525.9,152.85,7304.2,149.44,,
2019-11-28,7190.5,145.3,7546.8,150.61,,
2019-12-05,7202.0,143.19,7119.0,143.11,,
2019-12-12,7287.9,132.88,7185.5,129.56,,
2019-12-19,7192.1,124.87,7395.4,132.0,,
2019-12-26,7174.4,130.33,7467.3,137.24,,
2020-01-02,8043.3,140.7,8154.4,144.96,,
2020-01-09,8810.3,166.31,8633.9,164.76,,
2020-01-16,8659.0,167.66,8459.5,163.32,,
2020-01-23,9280.9,173.48,9448.3,192.52,,
2020-01-30,9616.2,203.76,10097.7,226.86,,
2020-02-06,10354.6,266.4,9862.6,258.89,,
2020-02-13,9602.2,258.85,9864.1,270.02,,
2020-02-20,8783.5,223.71,8557.8,220.36,,
2020-02-27,8758.7,224.48,8399.9,216.7,,
2020-03-05,7943.3,194.81,5325.8,123.98,,
2020-03-12,5415.2,118.61,6073.6,127.96,,
2020-03-19,6689.9,136.35,6130.8,129.01,,
2020-03-26,6662.9,135.88,6784.8,143.65,,
2020-04-02,7368.0,173.78,7018.3,161.9,,
2020-04-09,6619.8,152.62,7097.4,178.78,,
2020-04-16,7136.9,183.16,7544.9,193.92,,
2020-04-23,8779.9,215.45,8814.1,208.16,,
2020-04-30,9166.1,199.48,8652.0,188.31,,
2020-05-07,9317.1,200.07,9821.9,208.79,,
2020-05-14,9510.1,209.87,9055.2,205.49,,
2020-05-21,9213.9,208.28,9477.5,233.61,,
2020-05-28,9664.1,244.54,9498.9,237.36,,
2020-06-04,9892.4,247.96,9418.3,235.39,,
2020-06-11,9453.1,233.61,9372.5,230.63,,
2020-06-18,9282.0,234.54,9158.2,226.14,,
2020-06-25,9234.5,231.11,9028.7,224.99,,
2020-07-02,9440.1,246.97,9216.1,237.68,,
2020-07-09,9195.0,238.37,9120.3,233.68,,
2020-07-16,9529.9,264.53,9959.1,310.76,,
2020-07-23,11108.2,318.18,11086.8,368.14,,
2020-07-30,11746.0,401.25,11569.8,386.67,,
2020-08-06,11576.6,387.15,11860.6,430.36,,
2020-08-13,11757.4,407.57,11651.8,392.68,,
2020-08-20,11469.5,385.71,11615.6,416.88,,
2020-08-27,11396.9,439.81,10174.5,344.35,,
2020-09-03,10229.7,351.29,10280.7,360.71,,
2020-09-10,10951.1,364.99,10835.5,370.77,,
2020-09-17,10230.7,320.12,10755.2,355.46,,
2020-09-24,10774.9,359.69,10591.8,346.74,,
2020-10-01,10669.9,341.8,11403.3,375.01,,
2020-10-08,11433.1,379.08,11446.3,375.54,,
2020-10-15,12813.0,391.51,12915.6,404.99,,
2020-10-22,13289.5,388.63,13689.1,386.36,,
2020-10-29,14163.3,402.68,15343.7,455.26,,
2020-11-05,15708.7,464.39,15874.8,451.86,,
2020-11-12,17800.0,479.11,18254.4,532.81,,
2020-11-19,18723.4,569.52,18116.1,554.36,,
2020-11-26,19231.4,597.74,19122.5,594.65,,
2020-12-03,18548.5,573.21,19220.7,585.15,,
2020-12-10,21378.1,638.28,23877.8,654.3,,
2020-12-17,23226.7,585.5,27362.7,698.81,,
2020-12-24,28879.9,752.5,33517.4,918.0,,
2020-12-31,36876.7,1211.85,39671.0,1303.17,,
2021-01-07,37390.1,1129.9,35735.0,1241.41,,
2021-01-14,35511.8,1378.0,31953.6,1319.99,,
2021-01-21,30424.2,1240.68,32859.6,1310.56,,
2021-01-28,37670.9,1667.78,37924.8,1537.46,,
2021-02-04,44847.5,1743.48,48543.2,1799.52,,
2021-02-11,52130.0,1850.95,57321.3,1960.41,,
2021-02-18,49727.7,1625.01,43395.9,1318.5,,
2021-02-25,50400.0,1566.41,50588.2,1651.53,,
2021-03-04,55851.0,1795.79,59673.2,1857.88,,
2021-03-11,58933.0,1823.76,57158.5,1789.04,,
2021-03-18,52293.8,1582.0,56364.5,1709.38,,
2021-03-25,58786.2,1918.89,57928.1,2077.08,,
2021-04-01,55928.5,1961.94,59641.7,2148.67,,
2021-04-08,62969.0,2432.04,55450.3,2144.06,,
2021-04-15,53815.2,2358.01,50250.3,2341.86,,
2021-04-22,54899.3,2749.19,56597.9,2929.0,,
2021-04-29,57497.1,3527.69,57379.1,3877.28,,
2021-05-06,49502.7,3858.37,47712.3,3631.41,,
2021-05-13,36742.3,2443.62,33317.5,1925.07,,
2021-05-20,39283.9,2889.61,35488.0,2382.08,,
2021-05-27,37565.3,2705.05,36161.8,2721.01,,
2021-06-03,37396.4,2608.1,36037.2,2351.17,,
2021-06-10,38337.1,2367.47,34417.7,2111.14,,
2021-06-17,33683.3,1967.62,33198.8,1843.59,,
2021-06-24,35046.2,2276.66,35513.5,2330.79,,
2021-07-01,33885.1,2318.11,33951.4,2145.33,,
2021-07-08,32815.2,1993.71,31373.7,1890.55,,
2021-07-15,32125.0,1995.0,34180.0,2138.56,,
2021-07-22,40011.0,2300.1,41289.0,2583.02,,
2021-07-29,39749.0,2724.91,43989.5,3031.64,,
2021-08-05,45571.7,3164.5,46168.9,3156.72,,
2021-08-12,44714.7,3014.36,48517.0,3180.0,,
2021-08-19,48991.3,3228.54,48476.4,3187.18,,
2021-08-26,48872.2,3829.08,50217.8,3907.39,,
2021-09-02,46073.4,3500.0,45895.5,3416.61,,
