date,LTC_kraken,ETC_kraken,LTC_okx,ETC_okx
2016-07-21,3.94,1.59,3.94,1.59
2016-07-28,3.73,2.626,3.73,2.626
2016-08-04,3.76,1.705,3.76,1.705
2016-08-11,3.62,1.74,3.62,1.74
2016-08-18,3.97,1.446,3.97,1.446
2016-08-25,3.65,1.19,3.65,1.19
2016-09-01,4.04,1.485,4.04,1.485
2016-09-08,3.85,1.303,3.85,1.303
2016-09-15,3.78,1.219,3.78,1.219
2016-09-22,3.84,1.241,3.84,1.241
2016-09-29,3.86,1.178,3.86,1.178
2016-10-06,3.8,1.035,3.8,1.035
2016-10-13,3.8,1.053,3.8,1.053
2016-10-20,3.95,1.032,3.95,1.032
2016-10-27,4.11,0.895,4.11,0.895
2016-11-03,3.82,0.914,3.82,0.914
2016-11-10,3.9,0.902,3.9,0.902
2016-11-17,3.92,0.814,3.92,0.814
2016-11-24,3.83,0.744,3.83,0.744
2016-12-01,3.65,0.823,3.65,0.823
2016-12-08,3.59,0.988,3.59,0.988
2016-12-15,3.61,1.131,3.61,1.131
2016-12-22,4.56,1.119,4.56,1.119
2016-12-29,4.58,1.762,4.58,1.762
2017-01-05,3.94,1.281,3.94,1.281
2017-01-12,3.9,1.21,3.9,1.21
2017-01-19,3.71,1.284,3.71,1.284
2017-01-26,4.07,1.354,4.07,1.354
2017-02-02,3.99,1.426,3.99,1.426
2017-02-09,3.9,1.262,3.9,1.262
2017-02-16,3.91,1.217,3.91,1.217
2017-02-23,3.86,1.393,3.86,1.393
2017-03-02,3.8,1.276,3.8,1.276
2017-03-09,4.35,1.77,4.35,1.77
2017-03-16,3.86,2.278,3.86,2.278
2017-03-23,4.28,2.323,4.28,2.323
2017-03-30,12.5,2.75,12.5,2.75
2017-04-06,11.8,2.634,11.8,2.634
2017-04-13,10.1,3.09,10.1,3.09
2017-04-20,15.01,4.599,15.01,4.599
2017-04-27,21.49,6.708,21.49,6.708
2017-05-04,31.78,6.418,31.78,6.418
2017-05-11,25.65,5.714,25.65,5.714
2017-05-18,33.8,18.3,33.8,18.3
2017-05-25,25.78,16.721,25.78,16.721
2017-06-01,28.48,17.097,28.48,17.097
2017-06-08,29.05,17.699,29.05,17.699
2017-06-15,43.73,19.165,43.73,19.165
2017-06-22,41.9,18.734,41.9,18.734
2017-06-29,53.19,17.34,53.19,17.34
2017-07-06,46.78,18.749,46.78,18.749
2017-07-13,39.9,14.15,39.9,14.15
2017-07-20,41.84,14.612,41.84,14.612
2017-07-27,41.85,14.517,41.85,14.517
2017-08-03,48.2,15.46,48.2,15.46
2017-08-10,44.05,14.149,44.05,14.149
2017-08-17,53.99,15.37,53.99,15.37
2017-08-24,65.8,15.96,65.8,15.96
2017-08-31,82.41,19.204,82.41,19.204
2017-09-07,61.88,14.278,61.88,14.278
2017-09-14,51.25,11.162,51.25,11.162
2017-09-21,57.0,13.2,57.0,13.2
2017-09-28,51.01,11.8,51.01,11.8
2017-10-05,50.75,11.408,50.75,11.408
2017-10-12,60.89,11.475,60.89,11.475
2017-10-19,56.39,10.43,56.39,10.43
2017-10-26,53.46,10.2,53.78,13.22
2017-11-02,62.16,13.89,57.37,16.06
2017-11-09,63.26,17.055,70.5,17.96
2017-11-16,71.88,18.0,84.92,21.32
