Date,SPY,QQQ,DIA,XLE,XLP,XLV,XLU,AAPL,NVDA,MSFT,XLK
1996-01-01,36.3956,,,,,,,0.2561,,3.2769,
1996-01-08,35.5924,,,,,,,0.2533,,3.2532,
1996-01-15,36.2017,,,,,,,0.2234,,3.4855,
1996-01-22,36.7742,,,,,,,0.2290,,3.4334,
1996-01-29,37.6051,,,,,,,0.2187,,3.5282,
1996-02-05,38.8977,,,,,,,0.2075,,3.7985,
1996-02-12,38.3714,,,,,,,0.2056,,3.7132,
1996-02-19,38.9623,,,,,,,0.2234,,3.9266,
1996-02-26,38.3437,,,,,,,0.2010,,3.6231,
1996-03-04,37.5220,,,,,,,0.1944,,3.6088,
1996-03-11,38.0596,,,,,,,0.1935,,3.8839,
1996-03-18,38.6717,,,,,,,0.1897,,3.8365,
1996-03-25,38.3935,,,,,,,0.1837,,3.9123,
1996-04-01,38.8850,,,,,,,0.1804,,3.9598,
1996-04-08,37.8185,,,,,,,0.1907,,3.8365,
1996-04-15,38.3008,,,,,,,0.1874,,4.1637,
1996-04-22,38.8386,,,,,,,0.1851,,4.3059,
1996-04-29,38.1709,,,,,,,0.1785,,4.2064,
1996-05-06,38.8015,,,,,,,0.2038,,4.3581,
1996-05-13,39.8773,,,,,,,0.2066,,4.4387,
1996-05-20,40.4615,,,,,,,0.2000,,4.4956,
1996-05-27,39.6918,,,,,,,0.1953,,4.5051,
1996-06-03,40.1370,,,,,,,0.1823,,4.6000,
1996-06-10,39.7289,,,,,,,0.1790,,4.6664,
1996-06-17,39.8648,,,,,,,0.1692,,4.6995,
1996-06-24,40.0420,,,,,,,0.1570,,4.5573,
1996-07-01,39.1283,,,,,,,0.1458,,4.4909,
1996-07-08,38.5223,,,,,,,0.1351,,4.2633,
1996-07-15,38.1681,,,,,,,0.1552,,4.5899,
1996-07-22,38.0189,,,,,,,0.1645,,4.5193,
1996-07-29,39.7157,,,,,,,0.1617,,4.6806,
1996-08-05,39.5106,,,,,,,0.1729,,4.7233,
1996-08-12,39.8835,,,,,,,0.1682,,4.7138,
1996-08-19,39.8928,,,,,,,0.1785,,4.6758,
1996-08-26,38.9792,,,,,,,0.1813,,4.6474,
1996-09-02,39.3427,,,,,,,0.1720,,4.6474,
1996-09-09,40.9090,,,,,,,0.1570,,4.9699,
1996-09-16,41.1664,,,,,,,0.1710,,5.2402,
1996-09-23,41.1945,,,,,,,0.1668,,5.0979,
1996-09-30,42.1878,,,,,,,0.1706,,5.1738,
1996-10-07,42.1691,,,,,,,0.1813,,5.2022,
1996-10-14,42.7126,,,,,,,0.1986,,5.1121,
1996-10-21,42.1691,,,,,,,0.1832,,5.1761,
1996-10-28,42.3377,,,,,,,0.1813,,5.2117,
1996-11-04,44.0339,,,,,,,0.1963,,5.4441,
1996-11-11,44.3993,,,,,,,0.1869,,5.6527,
1996-11-18,45.0834,,,,,,,0.1888,,5.7096,
1996-11-25,45.5895,,,,,,,0.1804,,5.9515,
1996-12-02,44.5680,,,,,,,0.1879,,5.7997,
1996-12-09,43.9683,,,,,,,0.1738,,6.0700,
1996-12-16,45.1072,,,,,,,0.1757,,6.3451,
1996-12-23,45.7288,,,,,,,0.1729,,6.3925,
1996-12-30,45.2579,,,,,,,0.1626,,6.4210,
1997-01-06,45.8794,,,,,,,0.1365,,6.3925,
1997-01-13,46.7458,,,,,,,0.1252,,6.6107,
1997-01-20,46.2561,,,,,,,0.1262,,7.2793,
1997-01-27,47.2543,,,,,,,0.1243,,7.7393,
1997-02-03,47.7440,,,,,,,0.1182,,7.6160,
1997-02-10,48.9305,,,,,,,0.1220,,7.4263,
1997-02-17,48.4408,,,,,,,0.1224,,7.2082,
1997-02-24,47.7063,,,,,,,0.1215,,7.3979,
1997-03-03,48.7234,,,,,,,0.1234,,7.3410,
1997-03-10,48.0265,,,,,,,0.1238,,7.5117,
1997-03-17,47.4542,,,,,,,0.1243,,7.1323,
