| date | open | last | high | low | volume | amount | exchange |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 2026-07-29 | 373.89 | 371.08 | 377.62 | 366.53 | 20094816 | 7469643342 | 0.00 |
| 2026-07-24 | 367.79 | 371.9 | 382.22 | 366.8 | 30781203 | 11501337853 | 0.00 |
| 2026-07-17 | 372.77 | 368.41 | 376.28 | 363.6 | 36653460 | 13532885756 | 0.00 |
| 2026-07-10 | 380.21 | 377.01 | 383.6 | 368.95 | 26660509 | 10047629685 | 0.00 |
| 2026-07-02 | 370.58 | 378.13 | 380.27 | 366.97 | 26974576 | 10077115056 | 0.00 |
| 2026-06-26 | 384.25 | 373.63 | 386.41 | 363.32 | 42734424 | 15967411139 | 0.00 |
| 2026-06-18 | 399.49 | 387.12 | 402.04 | 385.6 | 37451429 | 14794202292 | 0.00 |
| 2026-06-12 | 397.52 | 386.54 | 400.48 | 371.88 | 51735865 | 19944368841 | 0.00 |
| 2026-06-05 | 409.86 | 396.24 | 414.4 | 395.92 | 31141188 | 12649319449 | 0.00 |
| 2026-05-29 | 415.16 | 417.12 | 421.82 | 404.3 | 26612775 | 10982586686 | 0.00 |
| 2026-05-22 | 419.82 | 413.82 | 420.93 | 409.88 | 27261026 | 11317178388 | 0.00 |
| 2026-05-15 | 434.18 | 417.29 | 436.04 | 414.12 | 29792053 | 12717108494 | 0.00 |
| 2026-05-08 | 418.84 | 433.77 | 437.42 | 413.28 | 30776582 | 13144527717 | 0.00 |
| 2026-05-01 | 431.66 | 423.18 | 431.8 | 414.16 | 32925535 | 13926768640 | 0.00 |
| 2026-04-24 | 443.13 | 433.25 | 443.42 | 428.22 | 34031594 | 14827703191 | 0.00 |
| 2026-04-17 | 434.78 | 445.93 | 448.7 | 431.63 | 35799046 | 15825471722 | 0.00 |
| 2026-04-10 | 428.87 | 437.13 | 440.91 | 423.1 | 35312157 | 15332555429 | 0.00 |
| 2026-04-02 | 419.54 | 429.41 | 440.19 | 412.66 | 52678127 | 22490914848 | 0.00 |
| 2026-03-27 | 405.12 | 414.7 | 420.66 | 399.2 | 102325571 | 41809846843 | 0.00 |
| 2026-03-20 | 461.27 | 413.38 | 462.8 | 411.23 | 92360711 | 39999312989 | 0.00 |
| 2026-03-13 | 468.09 | 460.84 | 481.31 | 460.22 | 49611695 | 23361725125 | 0.00 |
| 2026-03-06 | 490.1 | 473.51 | 492.15 | 458.93 | 74658643 | 35415896621 | 0.00 |
| 2026-02-27 | 474.65 | 483.75 | 483.9 | 442.04 | 73713076 | 35196822805 | 0.00 |
| 2026-02-20 | 450.26 | 468.62 | 468.62 | 445.53 | 43930076 | 20130291418 | 0.00 |
| 2026-02-13 | 461.39 | 462.62 | 468.61 | 448.06 | 64250235 | 29628781739 | 0.00 |
| 2026-02-06 | 434.01 | 455.46 | 463.1 | 422.55 | 125139598 | 55653703842 | 0.00 |
| 2026-01-30 | 466.78 | 444.95 | 509.7 | 430.8 | 263261149 | 124133003179 | 0.00 |
| 2026-01-23 | 436.69 | 458 | 458.75 | 434.1 | 100921423 | 44996573673 | 0.00 |
| 2026-01-16 | 421.52 | 421.29 | 426.86 | 417.04 | 91095710 | 38562907597 | 0.00 |
| 2026-01-09 | 406.39 | 414.47 | 415.29 | 406.15 | 58358165 | 23971291580 | 0.00 |
| 2026-01-02 | 403.66 | 398.28 | 403.8 | 395.33 | 51425577 | 20518607291 | 0.00 |
| 2025-12-26 | 406.98 | 416.74 | 418.45 | 405.72 | 44589997 | 18334552858 | 0.00 |
| 2025-12-19 | 397.76 | 399.02 | 402.21 | 394.07 | 52735795 | 20991730631 | 0.00 |
| 2025-12-12 | 387.02 | 395.44 | 400.39 | 384.01 | 50333976 | 19676527555 | 0.00 |
| 2025-12-05 | 390.61 | 386.44 | 391.74 | 382.91 | 43372030 | 16819737215 | 0.00 |
| 2025-11-28 | 374.88 | 387.88 | 388 | 374.19 | 36907602 | 14081102328 | 0.00 |
| 2025-11-21 | 374.04 | 374.27 | 380.17 | 368.52 | 55795562 | 20882904484 | 0.00 |
| 2025-11-14 | 375.93 | 375.96 | 388.18 | 370.89 | 71479008 | 27204023420 | 0.00 |
| 2025-11-07 | 368.91 | 368.31 | 370.84 | 361.39 | 45103078 | 16524341498 | 0.00 |
| 2025-10-31 | 371.13 | 368.12 | 371.59 | 360.12 | 87697708 | 32156751404 | 0.00 |
| 2025-10-24 | 397.45 | 377.52 | 403.3 | 368.93 | 146107862 | 56034253498 | 0.00 |
| 2025-10-17 | 376.5 | 388.99 | 397.28 | 375.58 | 153168786 | 59381607016 | 0.00 |
| 2025-10-10 | 362.16 | 369.12 | 373.57 | 361.37 | 119850303 | 44088608017 | 0.00 |
| 2025-10-03 | 351.79 | 357.64 | 358.67 | 350.87 | 75231596 | 26685471986 | 0.00 |
| 2025-09-26 | 342.75 | 346.74 | 348.75 | 341.84 | 67817264 | 23427126334 | 0.00 |
| 2025-09-19 | 336.31 | 339.18 | 341.24 | 333.81 | 69162549 | 23354169762 | 0.00 |
| 2025-09-12 | 333.66 | 335.42 | 338.31 | 326.19 | 70907286 | 23770549644 | 0.00 |
| 2025-09-05 | 320.82 | 331.05 | 331.44 | 320.24 | 65078032 | 21276995378 | 0.00 |
| 2025-08-29 | 309.67 | 318.07 | 318.09 | 309.67 | 45315803 | 14228851988 | 0.00 |
| 2025-08-22 | 307.79 | 310.58 | 311.03 | 305.19 | 31030957 | 9555501829 | 0.00 |
| 2025-08-15 | 308.62 | 307.43 | 310.39 | 306.52 | 36554851 | 11265660256 | 0.00 |
| 2025-08-08 | 310.8 | 313.05 | 313.53 | 309.84 | 52833142 | 16471940990 | 0.00 |
| 2025-08-01 | 306.44 | 309.11 | 309.55 | 300.96 | 50300469 | 15352692262 | 0.00 |
| 2025-07-25 | 311.88 | 307.4 | 316.24 | 306.2 | 52310274 | 16329250535 | 0.00 |
| 2025-07-18 | 309.07 | 308.39 | 311.09 | 305.12 | 43831526 | 13501596868 | 0.00 |
| 2025-07-11 | 305.07 | 309.14 | 310.28 | 302.77 | 46083126 | 14100782710 | 0.00 |
| 2025-07-03 | 302.39 | 307.14 | 309.4 | 301.95 | 31119948 | 9543865914 | 0.00 |
| 2025-06-27 | 310.34 | 301.22 | 312.67 | 299.89 | 51545073 | 15774004385 | 0.00 |
| 2025-06-20 | 314.8 | 310.13 | 314.87 | 309.25 | 39248051 | 12234193343 | 0.00 |
| 2025-06-13 | 305.39 | 316.29 | 317.6 | 305.06 | 51603860 | 16056623249 | 0.00 |
| 2025-06-06 | 309.21 | 305.18 | 312.2 | 305.1 | 49014362 | 15167389241 | 0.00 |
| 2025-05-30 | 303.81 | 303.6 | 306.89 | 301.5 | 37437491 | 11389096963 | 0.00 |
| 2025-05-23 | 297.85 | 309.75 | 310.25 | 296.48 | 59965397 | 18213827663 | 0.00 |
