date,baseline_nav,ai_nav
2016-02-16,1.000000,1.000000
2016-02-22,1.000000,1.000000
2016-02-29,1.000000,1.000000
2016-03-07,1.000000,1.000000
2016-03-14,1.000000,1.000000
2016-03-21,1.000000,1.000000
2016-03-28,1.000000,1.000000
2016-04-04,1.000000,1.000000
2016-04-11,1.000000,1.000000
2016-04-18,1.000000,1.000000
2016-04-25,1.000000,1.000000
2016-05-02,1.000000,1.000000
2016-05-09,1.000000,1.000000
2016-05-16,1.000000,1.000000
2016-05-23,1.000000,1.000000
2016-05-31,1.000000,1.000000
2016-06-06,1.000000,1.000000
2016-06-13,1.000000,1.000000
2016-06-20,1.000000,1.000000
2016-06-27,1.000000,1.000000
2016-07-05,1.000000,1.000000
2016-07-11,1.000000,1.000000
2016-07-18,1.000000,1.000000
2016-07-25,1.000000,1.000000
2016-07-27,1.000000,1.000000
2016-08-01,1.000000,1.000000
2016-08-02,1.000000,1.000000
2016-08-08,1.000000,1.000000
2016-08-15,1.000000,1.000000
2016-08-16,1.000000,1.000000
2016-08-22,1.000000,1.000000
2016-08-29,1.000000,1.000000
2016-09-06,1.000000,1.000000
2016-09-07,1.000000,1.000000
2016-09-12,1.000000,1.000000
2016-09-19,1.000000,1.000000
2016-09-26,1.000000,1.000000
2016-10-03,1.000000,1.000000
2016-10-10,1.000000,1.000000
2016-10-17,1.000000,1.000000
2016-10-21,1.000000,1.000000
2016-10-24,1.000000,1.000000
2016-10-25,1.000000,1.000000
2016-10-31,1.000000,1.000000
2016-11-01,1.000000,1.000000
2016-11-07,1.000000,1.000000
2016-11-14,1.000000,1.000000
2016-11-21,1.000000,1.000000
2016-11-28,1.000000,1.000000
2016-12-05,1.000000,1.000000
2016-12-12,1.000000,1.000000
2016-12-13,1.000000,1.000000
2016-12-19,1.000000,1.000000
2016-12-27,0.987807,0.987807
2016-12-30,0.988584,0.988584
2017-01-03,0.989565,0.989565
2017-01-05,0.989326,0.989326
2017-01-09,0.988776,0.988776
2017-01-10,0.988776,0.988776
2017-01-17,0.988776,0.988776
2017-01-18,0.989694,0.989694
2017-01-23,0.989326,0.989326
2017-01-24,0.990238,0.990238
2017-01-30,0.988987,0.988987
2017-02-06,0.976257,0.976257
2017-02-07,0.976708,0.976708
2017-02-13,0.976708,0.976708
2017-02-21,0.945273,0.945273
2017-02-22,0.944412,0.944412
2017-02-27,0.944848,0.944848
2017-03-03,0.945168,0.945168
2017-03-06,0.944419,0.944419
2017-03-13,0.955020,0.955020
2017-03-14,0.955366,0.955366
2017-03-20,0.956084,0.956084
2017-03-27,0.990539,0.990539
2017-04-03,1.013962,1.013962
2017-04-10,1.011350,1.011350
2017-04-12,1.011565,1.011565
2017-04-17,1.001139,1.001139
2017-04-24,1.017282,1.017282
2017-05-01,1.018522,1.018522
2017-05-02,1.019147,1.019147
2017-05-08,1.018527,1.018527
2017-05-09,1.018527,1.018527
2017-05-15,1.018527,1.018527
2017-05-17,1.017814,1.017814
2017-05-22,1.019155,1.019155
2017-05-24,1.019155,1.019155
2017-05-30,1.019155,1.019155
2017-05-31,1.026619,1.026619
2017-06-05,1.006972,1.006972
2017-06-12,1.007584,1.007826
2017-06-13,1.006692,1.006934
2017-06-19,1.008576,1.008818
2017-06-26,0.968227,0.968460
2017-06-30,0.971468,0.971702
2017-07-03,0.969260,0.969493
2017-07-05,0.974730,0.974965
2017-07-10,0.971764,0.971997
2017-07-12,0.974426,0.974660
2017-07-17,0.974837,0.975071
2017-07-24,0.969213,0.969240
2017-07-31,0.960893,0.960939
2017-08-07,0.954679,0.954725
2017-08-14,0.948541,0.948543
2017-08-16,0.949555,0.949558
2017-08-21,0.950103,0.950106
2017-08-28,0.975581,0.975382
